"Country.Name","ISO.Code","Quantile","Indicator","Subgroup","X1931.5","X1932.5","X1933.5","X1934.5","X1935.5","X1936.5","X1937.5","X1938.5","X1939.5","X1940.5","X1941.5","X1942.5","X1943.5","X1944.5","X1945.5","X1946.5","X1947.5","X1948.5","X1949.5","X1950.5","X1951.5","X1952.5","X1953.5","X1954.5","X1955.5","X1956.5","X1957.5","X1958.5","X1959.5","X1960.5","X1961.5","X1962.5","X1963.5","X1964.5","X1965.5","X1966.5","X1967.5","X1968.5","X1969.5","X1970.5","X1971.5","X1972.5","X1973.5","X1974.5","X1975.5","X1976.5","X1977.5","X1978.5","X1979.5","X1980.5","X1981.5","X1982.5","X1983.5","X1984.5","X1985.5","X1986.5","X1987.5","X1988.5","X1989.5","X1990.5","X1991.5","X1992.5","X1993.5","X1994.5","X1995.5","X1996.5","X1997.5","X1998.5","X1999.5","X2000.5","X2001.5","X2002.5","X2003.5","X2004.5","X2005.5","X2006.5","X2007.5","X2008.5","X2009.5","X2010.5","X2011.5","X2012.5","X2013.5","X2014.5","X2015.5","X2016.5","X2017.5","X2018.5","X2019.5","X2020.5","X2021.5","X2022.5","X2023.5","X2024.5","X2025.5","X2026.5","X2027.5","X2028.5","X2029.5","X2030.5"
"Afghanistan","AFG","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,293.176082325801,295.612065775655,297.239225147438,297.428471607409,296.439631804021,295.121394372705,292.580162058735,289.378866908061,285.501326260064,281.887015337749,277.734041608393,273.321280564344,268.752523484014,264.158189810402,302.926446808246,297.308098425839,250.53567355633,246.510271173725,242.227572374993,237.810301920902,233.212260041909,228.870004346055,223.907833904745,218.986922580743,213.752372223583,248.007882583508,243.232159871318,272.771059010304,266.597553226466,226.077526817822,220.688818987396,176.05240268265,170.557633152143,164.898624916952,159.654918069087,154.334322593277,149.73784436648,145.193091040944,140.870133970762,137.031379585598,133.29841287146,129.5935903731,125.919241065941,122.086572983507,118.146032198008,114.163411426936,109.984340745253,105.723159349064,101.439481247924,97.2298918856692,92.9551101409699,88.8192794805642,84.6831125173072,80.5292104265651,76.7135391710858,73.1544649330917,69.809339800982,66.7319217745393,63.7292472046095,60.7199113032062,57.7286140448669,54.7883169035707,51.9277477691657,49.2534414182228,46.7499590846328,44.2745562159313,42.017225586058,39.6788802303626,37.331381892807,35.0429962126752,32.8643221418792,30.7591932889357,28.9442460713746,27.1842167434559
"Afghanistan","AFG","Median","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,368.196610358209,362.068536367921,356.445237823317,350.550811097808,345.193254417785,340.16288192029,334.982342668731,329.747572685277,324.479101546251,319.532520545591,314.840118229978,310.011140165322,304.920851528628,300.047739630718,344.286485974113,337.910137249894,284.746880207601,279.501207190828,274.217995756602,268.646042801445,262.877697240643,256.940651755683,251.108891966423,245.161603903051,239.011378681369,277.035182070739,271.190071031841,303.820358178728,296.04744513461,250.475894740229,244.224517141228,194.298539266493,187.781604787229,181.384583734027,175.173283456266,169.131970216607,163.536368993548,158.272356260917,153.384824820441,148.773595776566,144.409539644964,140.162392712438,135.95363948867,131.707237184146,127.479861753329,123.07344698106,118.547496515675,113.944019411895,109.329354079257,104.807773175688,100.374320591922,96.0869144510178,91.8807089667426,87.9567152953438,84.2932228716156,80.8145093811916,77.5974987280601,74.614073412131,71.898430064046,69.3718842033515,67.070567378779,64.8232011210301,62.7157343545631,60.6923210418833,58.7116726089786,56.7704025164549,54.8650977048867,53.0320211332446,51.4146648955091,49.7138053716542,48.0101542784938,46.4849295502021,44.975133609682,43.6471001531554
"Afghanistan","AFG","Upper","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,459.761852222566,443.287575516302,428.888044200191,415.242062860037,403.298517739622,392.796908243223,383.633572427144,376.195884262999,369.478216788986,363.148005243452,357.358313099476,351.932021654543,346.816291420434,341.439593695156,391.976669703187,385.093333622266,324.525780150431,318.609837285456,311.501644958875,304.924280356511,298.026724688128,291.334736741234,284.494791252691,277.62665714375,270.826192949726,314.173433713436,307.187108357048,343.376920689442,333.319364083699,281.207478370202,272.490710036086,215.647468859729,207.668547717744,199.567657307255,192.08538501986,184.860515817648,178.18267066681,172.200423276664,166.464273180571,161.164374273787,156.204145649969,151.654357097016,146.88764572597,142.381132365371,137.913876348098,133.255924983112,128.230811464652,123.128922846588,118.103964793218,113.192214808822,108.281855797198,103.732860823778,99.5525184175071,95.7086566246688,92.085560025401,88.805501018133,85.8426791184829,83.1981983666972,80.7451890234761,78.7578478981839,77.2102862577044,75.8419950780009,74.6557244332066,73.7930780672972,73.2330049279898,72.4822634415802,71.9238505573529,71.3642614511541,71.2297625009343,71.0273222092,70.8403100110047,70.5721173152985,70.7883145922369,70.5756547216143
"Albania","ALB","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2211554511123,61.2190282994391,59.3001454729282,56.9100639168829,54.5112144525046,51.8641193713262,49.2949236681544,46.7929887118371,44.3046307969259,41.8469478266452,39.6217708888979,37.6554428272332,35.9740079475801,34.5041276607942,33.2099149019172,32.0204146452736,30.9191310517221,29.8598981561197,28.7457682170115,27.6796163476603,26.6046124834309,25.5311437699037,24.5285341828234,23.5310775276064,22.5216863915135,21.4710097294614,20.3815858385757,19.1956766074826,17.9298907707264,16.6003370693008,15.2947892037004,14.04943991217,12.8671508816333,11.7880671116762,10.847645524864,10.1186000873438,9.5797450555459,9.23352222773118,9.05153767698164,8.982454848054,8.95936636110519,8.94547676847585,8.87917219661401,8.72033357977454,8.49107359921075,8.19903700923245,7.81105570318484,7.41401658105548,6.9960407613064,6.56145642786945,6.1771273017105,5.82903324687346,5.4685800374458
"Albania","ALB","Median","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5753503824426,88.7625868344757,81.5903164223057,74.9676659588918,68.9469104515254,63.5660411405593,58.8212585176583,54.6256360624911,50.949907169816,47.7386362161223,44.9752670437625,42.6019128513656,40.5699495033145,38.7860445451429,37.3063423331955,35.9560269644573,34.6997115851334,33.4618683540956,32.1943773388059,30.9034689538831,29.6170304956466,28.3089540629382,26.9688398690634,25.6239508820418,24.2575492620097,22.8518524556758,21.4132467072085,19.9592002521699,18.5097195342497,17.1033827588556,15.7640673293259,14.486812930077,13.2803295959687,12.1725325701359,11.220986192476,10.4771536390163,9.93481733243303,9.5862628554266,9.40075265965331,9.3363070136672,9.34431410257931,9.38666962804236,9.43527214299489,9.45683249358583,9.43638524515984,9.35723908797041,9.22708033362451,9.05812608488851,8.85877641348572,8.64101944564094,8.40916926306056,8.18072725247152,7.93836875295652
"Albania","ALB","Upper","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.459566158459,123.210873459469,108.739283238246,96.596064582358,86.0758705315875,77.1784295997597,69.6969200549937,63.6278082197772,58.6068276805804,54.4349355720977,50.9885508149072,48.1269484013629,45.7623035285869,43.6454434308758,41.9015004702559,40.4086917957879,38.9544817384461,37.5228987327671,36.0395115569142,34.5573294968263,33.0147413885255,31.3976129363137,29.7098126912783,27.9443371521825,26.1386563127739,24.3119186452354,22.4727477862699,20.75226613621,19.1073161801273,17.6157408177445,16.2304339981106,14.937972828635,13.7097232469962,12.5704319067386,11.605033155722,10.8450140989607,10.3008698914678,9.95792789532023,9.77768895721426,9.72579923657803,9.75358328854904,9.84389886437554,10.0143276388744,10.2443261701261,10.469352661316,10.6840323811084,10.8678348209291,11.0618272239327,11.1829703367127,11.2960895786667,11.3727433016735,11.5040216996829,11.5743581027419
"Algeria","DZA","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,179.921438188753,186.586854047116,193.244121404746,198.080691975726,202.105374586174,205.488564389814,208.246838160383,209.410245787926,211.086727240183,212.407818516242,213.464490254616,214.915192414636,216.082987473542,216.649119353658,216.740722865083,216.218827783969,214.616883214636,211.761390051654,207.61610061545,202.876323436317,197.577010005125,191.676933320087,185.654323305933,179.063798262141,171.665367160912,162.591636685538,151.328331376789,137.149389313854,120.217852005918,102.682275470297,86.8565734257897,74.1627497723783,64.3075892923077,57.2091004526506,52.5313168363347,49.5120538894192,47.6435546476758,46.5973258505819,45.9567570020071,45.480570862578,44.9521584846492,44.2377280178221,43.4514115112483,42.5638705095503,41.5559443985914,40.4245446265614,39.2263769474865,37.8923089192693,36.4613446463652,35.0165689459295,33.516825453434,32.1034518610136,30.7545694249689,29.532854036653,28.422602862554,27.3868390185456,26.508899010291,25.7675839355979,25.1050774679005,24.5303705484518,23.9890800344251,23.5140016198405,23.0488088923543,22.6305422988446,22.2677148577439,21.9023274158707,21.5051543277847,21.0567143705594,20.5246578221482,19.8262883182398,18.9889422095676,18.1038804734437,17.0896922732341,16.1234141898055,15.1424742945181,14.2050612260412,13.3445588575614
"Algeria","DZA","Median","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,243.137917122686,242.157121752476,241.306080832416,240.484527316651,239.780085274357,239.196740657759,239.236024646485,239.501941301551,240.004586346391,241.178633925864,242.293393131741,243.673547339697,244.757053933416,245.244980102875,244.975439982112,243.58224428022,240.530687105049,236.208742088874,230.63443773135,224.015839032664,216.542477830406,208.345658551529,199.521654358568,190.122914170155,180.121154275481,168.781372840228,155.572599810663,140.286825079686,123.064801452142,105.219372243747,89.1218283602537,76.0912220542533,66.2988335201762,59.5667031256544,55.3920227444233,52.9575689327854,51.56789970177,50.76190774637,50.1916210656616,49.6465756022038,48.9706308480344,48.1003926701526,47.0333838553116,45.8635077925368,44.563543921598,43.1684416225624,41.6936057426721,40.1653886367019,38.5910097276341,37.0015595229242,35.4302571545235,33.9266559432102,32.5199302327891,31.2308719652108,30.0598284262153,29.0149343069942,28.0897833431847,27.2825744285144,26.56630898447,25.948047639108,25.4021080944743,24.9102378764238,24.4555924949313,24.0348261165257,23.6525446831753,23.2817921196319,22.9212293664691,22.5991185296161,22.2843959166658,21.9786143991698,21.6402794757543,21.229059584915,20.787675737471,20.2877719597065,19.7697244393671,19.223591384178,18.6829437575664
"Algeria","DZA","Upper","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,320.037297432928,306.002906870466,296.051162587483,287.895742305959,281.823592011003,278.375131568226,276.099588521107,275.173000713368,275.759105706774,276.885711945655,277.999506156849,278.969218697599,279.430861945491,279.106193794191,277.951268854364,275.042613294476,270.480243531797,263.939355574343,256.152147708289,246.927621877369,237.258164832712,226.389529617907,214.659055777321,202.370014751217,189.233558387901,175.218208027683,159.95977639154,143.502388389668,125.975567393554,107.786480986977,91.3379823541665,78.0578871904177,68.3382002748826,62.0414941600741,58.4045963568796,56.5159402306907,55.5515562021948,55.1367691302794,54.754515917379,54.2331710475864,53.4477326602202,52.3372273458147,50.9557598638105,49.3744916945999,47.6770636524361,45.9839765795422,44.2714627720159,42.5685166198472,40.8228559627611,39.1108707501314,37.4891492498035,35.916017830754,34.4454094356427,33.1309066540907,31.8593744141653,30.7224076556142,29.7423332257246,28.8780026975835,28.146819874045,27.4870089232166,26.9350402762758,26.4237435140451,25.9464027759699,25.5109094663991,25.1087451008074,24.7275687687126,24.4181129513743,24.2203492561985,24.2142764144096,24.3894291298902,24.6407436579239,24.8955512165227,25.0975675623958,25.3234739440088,25.4122434050925,25.5723000420348,25.7767896806481
"Andorra","AND","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67904100871664,2.76299383062777,2.86985045857486,2.97417203183805,3.09637734576942,3.20514452254151,3.30566702925252,3.43346169034278,3.5045519614116,3.59199869359212,3.64956694348899,3.72628058023131,3.7741274963276,3.81038190113256,3.7969874582605,3.77055079595593,3.75274740283139,3.70667711797309,3.60054880614402,3.46364781747623,3.29535167849919,3.11235436059898,2.90049101957719,2.6717646433272,2.41908700108841,2.18658645016566,1.95377040383031,1.72172315158744,1.52348529290277,1.33825025815088,1.1819805854643,1.05492514191679,0.952078164954233,0.886444915872369,0.823172981103531,0.765511088220554,0.714487180434825,0.671697943702266,0.637643992581424,0.606375521835616,0.573767604009753,0.541969204993161,0.519606330720614,0.496772431923854,0.472978253483704,0.45331071057262
