"Country.Name","ISO.Code","Quantile","Indicator","Subgroup","X1931.5","X1932.5","X1933.5","X1934.5","X1935.5","X1936.5","X1937.5","X1938.5","X1939.5","X1940.5","X1941.5","X1942.5","X1943.5","X1944.5","X1945.5","X1946.5","X1947.5","X1948.5","X1949.5","X1950.5","X1951.5","X1952.5","X1953.5","X1954.5","X1955.5","X1956.5","X1957.5","X1958.5","X1959.5","X1960.5","X1961.5","X1962.5","X1963.5","X1964.5","X1965.5","X1966.5","X1967.5","X1968.5","X1969.5","X1970.5","X1971.5","X1972.5","X1973.5","X1974.5","X1975.5","X1976.5","X1977.5","X1978.5","X1979.5","X1980.5","X1981.5","X1982.5","X1983.5","X1984.5","X1985.5","X1986.5","X1987.5","X1988.5","X1989.5","X1990.5","X1991.5","X1992.5","X1993.5","X1994.5","X1995.5","X1996.5","X1997.5","X1998.5","X1999.5","X2000.5","X2001.5","X2002.5","X2003.5","X2004.5","X2005.5","X2006.5","X2007.5","X2008.5","X2009.5","X2010.5","X2011.5","X2012.5","X2013.5","X2014.5","X2015.5","X2016.5","X2017.5","X2018.5","X2019.5","X2020.5","X2021.5"
"Afghanistan","AFG","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5456342943386,59.7780946062941,61.7444473909044,62.5416406546653,62.7059687949204,61.8154339450245,60.3840779365561,58.2601317616829,55.2589420620207,51.7249499021871,48.026065412357,44.5223033134186,41.3354539402388,38.4656564335763,35.8082143695296,33.4930286211144,31.4589678499325,29.7208145891206,28.3085988714522,27.1541464750391,25.9122644779501,24.705522460957,23.8269654408754,22.9511858683007,22.3476856275031,21.6348591536367,20.8261659680432,20.0202283598349,19.1265558245498,18.1996433377671,17.299152074137,16.4329739703491,15.7053569218732,15.1326443499426,14.9127219855386,15.0414868241108,15.6265081579905,16.5898704780258,17.6901168155955,18.7942432876059,19.7951589626086,20.63945067091,21.1169640642169,21.0760203644261,20.5754118051966,19.6645031629258,18.6238627337266,17.5898413714717,16.5340731101817,15.6368878372917
"Afghanistan","AFG","Median","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.4196817634723,83.3693102372174,84.3724126816118,85.4599462302211,86.2580540487537,86.694781489089,86.9311142703513,86.308011800095,85.0038721369018,83.1385733814545,80.8857258939501,77.8997661179834,74.7970998632611,71.5132427915504,68.2473417530642,64.6632138353434,60.981954050103,57.3799415308578,53.6565833229531,50.17025325505,46.6688212897807,43.2330870484103,39.9213847181815,37.0000184479987,34.1725121945828,31.5083923320816,29.1023822689381,26.9093911785126,24.7800687948543,22.9535676524114,21.3471764160915,20.0011766716628,18.9331597723254,18.1998081769821,17.9198111577934,18.064583848811,18.6881556498883,19.7851361060645,21.2371505156865,22.9867133300589,24.9549092137314,27.053786836153,29.0522061456989,30.59151813976,31.4685343035374,31.693027823393,31.6123964618621,31.2257163444135,30.684948964513,30.2772798417692
"Afghanistan","AFG","Upper","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.504737449587,123.041066084813,119.425296608432,119.486094735309,119.187270570664,120.307712215484,122.149066843116,126.41363344083,132.901947951417,138.835594289665,144.941062838749,150.422772548016,153.968721570127,153.87729356346,152.164578946375,150.268325768577,143.533625448821,136.298959081381,126.328591788557,114.439898370729,102.137531650563,89.094911055139,77.1165403786194,66.5547953364143,57.1098990435549,49.1108607551908,42.250038488557,36.6020256759179,32.3886076600316,28.9799506432065,26.2372126259415,24.1447010838568,22.6542830088301,21.6647901142061,21.2580505424713,21.4256222151802,22.2085799184129,23.5522863538758,25.6928978118983,28.4390687264869,31.714450221508,35.5816419648019,40.0241531110006,44.8663803002243,48.8464840392502,52.0799515870967,54.673542438995,56.1424742496162,58.0458781951147,59.6999435925023
"Albania","ALB","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24062123035534,7.00866047655837,7.69995430283434,8.29064561502322,8.75901601375752,9.0869188231243,9.30278409553073,9.44817747054537,9.58498538849623,11.8774575023007,9.39568505257004,8.99060951000091,8.41311377278692,7.74759480080949,7.07488736406814,6.5039623299618,6.06778743370682,5.73867213747901,5.52978103821875,5.392497709939,5.34241214239933,5.32000632436651,5.30765485015375,5.26682699593304,5.15919871506359,4.95731273892789,4.67027366165011,4.35804154827553,4.07050427177485,3.81551973130681,3.61938920730211,3.45697683512325,3.29549330488045,3.12877079022659
"Albania","ALB","Median","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.84638736307939,7.42396716656431,8.01267748386585,8.57569595173416,9.05497191297211,9.39160736703881,9.6062138801313,9.77142956748808,9.91321666832634,12.3142350454141,9.72765329115503,9.29762536528795,8.70728215936712,8.05241382032761,7.43866283158622,6.96759655453322,6.62624407171281,6.39247291849409,6.22859589277013,6.11677809296232,6.03315437279002,5.95438986900663,5.85051282922349,5.69700292498078,5.4897575883348,5.21962286369777,4.90519278142354,4.58721903106723,4.29107217450678,4.04157876852493,3.84696735238281,3.70329526857893,3.59104593428598,3.50432542443105
"Albania","ALB","Upper","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51015595767013,7.85870008077204,8.32246637364852,8.86039687108891,9.35876239079406,9.69810206410208,9.92126318401368,10.1138274367828,10.2698145616042,12.766049137696,10.0732505061289,9.61744420765623,9.01323489436974,8.36927727336623,7.83998957149284,7.46611693235041,7.24829420329499,7.12505679617582,7.02828671653471,6.94563474882044,6.8320115246572,6.6708806110946,6.45539343130496,6.17312471340714,5.85491980865743,5.50253881570241,5.15211527182839,4.8274802702824,4.52699239850457,4.28116631133163,4.09127558485428,3.97425429174619,3.92556598385035,3.94157924047406
"Algeria","DZA","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1864885200762,22.7397439210503,21.1591101546821,19.6506028234874,18.0394273266909,16.6608853688498,15.361856301257,14.2575813342233,13.3345302686511,12.5265971827586,11.8959787009816,11.3857838898038,11.0455840992492,10.8517840335967,10.7566238994864,10.7985016179906,10.9104824061301,10.9041280623705,10.5518544627073,10.1456970996885,9.83276876342537,9.62983247968588,9.52587760999698,9.52293797547226,9.5931611369581,9.67962328793789,9.8008791832208,9.86893323212841,9.81592896132045,9.61674680863614,9.26097397604098,8.85383216899669,8.41017506730503,7.96195191894082,7.53437859221172,7.16929627075548,6.89426611476993,6.67123962389318,6.51516876925232,6.39094647593162,6.26780694528287,6.1577381111561,6.0718481734903,6.05590987105342,6.0654926943912,6.06562023585247,6.046113231129,5.99093013890198,5.92325263912404,5.81945668287225,5.66354868961934,5.4222674312033,5.09281048340859
"Algeria","DZA","Median","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8240976882757,35.2819296309622,32.0976545506385,29.1075144742513,26.5251967872119,24.1848007812682,22.1114220408332,20.2643354097718,18.6215359167403,17.2005182769358,15.9663102327227,14.9000394372754,13.9592578575475,13.1790010189989,12.5423323894824,12.0351431740925,11.6453661764134,11.3601671651546,11.1756667383326,11.0756774390924,11.0368354660101,11.0402928817832,11.0585881651542,11.067501897076,11.0512074534512,11.0015203383502,10.8752673564821,10.6663204391881,10.3552244410228,9.96636046512624,9.52877480682015,9.06943348195432,8.59994299292898,8.13236939039159,7.69558906948583,7.32629628841052,7.03611086110502,6.81557861939987,6.65390493616709,6.52446172217158,6.40427663784405,6.28646134755817,6.20347600012228,6.18089677521916,6.19775743233835,6.21179178879453,6.19303129917617,6.14183038006089,6.06148991275786,5.95082075156395,5.79563214283191,5.60999529021487,5.42004311821489
"Algeria","DZA","Upper","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.8424389229974,51.0555432114798,45.2657815536337,41.0503741357044,37.2245960700829,33.9576113216679,30.9411767332903,28.1755036048731,25.7418277530753,23.4167009709227,21.2686989223797,19.2942075880556,17.5551507115298,15.9332851571301,14.5293014195629,13.346034812961,12.3923108267451,11.8304971327035,11.8468398518459,12.1183997876717,12.3917469710314,12.6195489048595,12.8001018934551,12.857849575892,12.7756545642713,12.5072798940145,12.0792126962589,11.5434387331665,10.9264474144162,10.3339528714874,9.8057991609665,9.29114880673428,8.79231154310897,8.30165722526121,7.85496335311677,7.4843462228454,7.1821123109919,6.9658423176144,6.79456041804617,6.66337533327175,6.54533069873216,6.41875924412011,6.33671702023015,6.30989427799719,6.33821534302342,6.36347480605022,6.33678385359511,6.28935558826106,6.20299104047798,6.0859019564457,5.93498089453821,5.8002559373424,5.77180660423877
"Andorra","AND","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98296001551737,6.72137300618036,6.4747876973675,6.239314746549,6.00563457239793,5.77918312352048,5.57710010364899,5.37203198079241,5.18424755954713,5.01076096084321,4.85109421602982,4.68418469619025,4.53303732740164,4.38470376450908,4.26004002346145,4.12255736636398,3.97610486270582,3.83393249324388,3.70195500235179,3.57676525703206,3.45393405615682,3.32799504233891,3.22648364795566,3.11528926164078,3.01044788891481,2.90072105490416,2.80394112102877,2.71621824036053,2.63823204712931,2.5751552538281,2.51520614367341,2.46064564523373
