"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","CMR.median","Under.five.deaths.median","Infant.deaths.median","Child.deaths.median"
"South-Eastern Asia",1951,33523563,17993042,0,0,,,,,,
"Northern Africa and Western Asia",1951,19751384,10456745,0,0,,,,,,
"Western Asia",1951,9736282,5183578,0,0,,,,,,
"Northern Africa",1951,10015102,5273167,0,0,,,,,,
"Sub-Saharan Africa",1951,34080147,18169870,0,0,,,,,,
"Oceania",1951,1946794,939678,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1951,494092,258761,0,0,,,,,,
"Australia and New Zealand",1951,1452702,680917,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1951,122767518,59532331,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1951,34017655,18251803,0,0,,,,,,
"World",1951,460077148,238444125,0,0,,,,,,
"Least developed countries",1952,39032980,20772475,0,0,,,,,,
"Landlocked developing countries",1952,21096100,11115992,0,0,,,,,,
"Small island developing States",1952,3967816,2120870,0,0,,,,,,
"Europe and Northern America",1952,121110585,59546319,0,0,,,,,,
"Northern America",1952,24385232,11937000,0,0,,,,,,
"Europe",1952,96725353,47609319,0,0,,,,,,
"Latin America and the Caribbean",1952,32939208,17311465,0,0,,,,,,
"Central and Southern Asia",1952,95984962,50648144,0,0,,,,,,
"Central Asia",1952,3785706,1916046,0,0,,,,,,
"Southern Asia",1952,92199256,48732098,0,0,,,,,,
"Eastern and South-Eastern Asia",1952,159148712,84571633,0,0,,,,,,
"Eastern Asia",1952,124840261,66222885,0,0,,,,,,
"South-Eastern Asia",1952,34308451,18348748,0,0,,,,,,
"Northern Africa and Western Asia",1952,20122343,10624678,0,0,,,,,,
"Western Asia",1952,9980060,5316618,0,0,,,,,,
"Northern Africa",1952,10142283,5308060,0,0,,,,,,
"Sub-Saharan Africa",1952,34752935,18516044,0,0,,,,,,
"Oceania",1952,1955233,952103,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1952,498736,260268,0,0,,,,,,
"Australia and New Zealand",1952,1456497,691835,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1952,122567082,60238154,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1952,34807187,18609016,0,0,,,,,,
"World",1952,466013978,242170386,0,0,,,,,,
"Least developed countries",1953,39763579,21154073,0,0,,,,,,
"Landlocked developing countries",1953,21481105,11441525,0,0,,,,,,
"Small island developing States",1953,4057935,2172466,0,0,,,,,,
"Europe and Northern America",1953,121008591,60782291,0,0,,,,,,
"Northern America",1953,24323644,12054330,0,0,,,,,,
"Europe",1953,96684947,48727961,0,0,,,,,,
"Latin America and the Caribbean",1953,33516099,17630579,0,0,,,,,,
"Central and Southern Asia",1953,97699182,51621591,0,0,,,,,,
"Central Asia",1953,3869471,2066245,0,0,,,,,,
"Southern Asia",1953,93829711,49555346,0,0,,,,,,
"Eastern and South-Eastern Asia",1953,161406190,85123535,0,0,,,,,,
"Eastern Asia",1953,126343581,66450722,0,0,,,,,,
"South-Eastern Asia",1953,35062609,18672813,0,0,,,,,,
"Northern Africa and Western Asia",1953,20466714,10778680,0,0,,,,,,
"Western Asia",1953,10213411,5444862,0,0,,,,,,
"Northern Africa",1953,10253303,5333818,0,0,,,,,,
"Sub-Saharan Africa",1953,35423910,18866950,0,0,,,,,,
"Oceania",1953,1963967,971628,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1953,503270,261781,0,0,,,,,,
"Australia and New Zealand",1953,1460697,709847,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1953,122469288,61492138,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1953,35565879,18934594,0,0,,,,,,
"World",1953,471484653,245775254,0,0,,,,,,
"Least developed countries",1954,40462404,21526757,6.33,6.43,,,,,,
"Landlocked developing countries",1954,21830774,11710779,0,0,,,,,,
"Small island developing States",1954,4144944,2220061,0,0,,,,,,
"Europe and Northern America",1954,120947539,62079084,0,0,,,,,,
"Northern America",1954,24313328,12188247,0,0,,,,,,
"Europe",1954,96634211,49890837,0,0,,,,,,
"Latin America and the Caribbean",1954,34120161,17997832,0,0,,,,,,
"Central and Southern Asia",1954,99207758,52425437,0,0,,,,,,
"Central Asia",1954,3932715,2171608,0,0,,,,,,
"Southern Asia",1954,95275043,50253829,0,0,,,,,,
"Eastern and South-Eastern Asia",1954,163261707,85130731,0,0,,,,,,
"Eastern Asia",1954,127502806,66177526,0,0,,,,,,
"South-Eastern Asia",1954,35758901,18953205,0,0,,,,,,
"Northern Africa and Western Asia",1954,20762143,10896476,0,0,,,,,,
"Western Asia",1954,10424050,5548268,0,0,,,,,,
"Northern Africa",1954,10338093,5348208,0,0,,,,,,
"Sub-Saharan Africa",1954,36071847,19213663,7.1,7.2,,,,,,
"Oceania",1954,1973732,995062,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1954,507403,263215,0,0,,,,,,
"Australia and New Zealand",1954,1466329,731847,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1954,122413868,62810931,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1954,36266304,19216420,0,0,,,,,,
"World",1954,476344887,248738285,0.5,0.6,,,,,,
"Least developed countries",1955,41179342,21916330,6.37,6.47,,,,,,
"Landlocked developing countries",1955,22154545,11894517,0,0,,,,,,
"Small island developing States",1955,4228488,2263471,0,0,,,,,,
"Europe and Northern America",1955,120763318,62731017,0,0,,,,,,
"Northern America",1955,24351702,12326522,0,0,,,,,,
