"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Latin America and the Caribbean","1954","34103537","17991800","0","0",,,,,,
"Central and Southern Asia","1954","99244476","52438589","0","0",,,,,,
"Central Asia","1954","3947460","2176991","0","0",,,,,,
"Southern Asia","1954","95297016","50261598","0","0",,,,,,
"Eastern and South-Eastern Asia","1954","163304106","85151715","0","0",,,,,,
"Eastern Asia","1954","127520979","66187776","0","0",,,,,,
"South-Eastern Asia","1954","35783128","18963939","0","0",,,,,,
"Northern Africa and Western Asia","1954","20763977","10898043","0","0",,,,,,
"Western Asia","1954","10432077","5552049","0","0",,,,,,
"Northern Africa","1954","10331900","5345994","0","0",,,,,,
"Sub-Saharan Africa","1954","36059979","19203985","7.1","7.2",,,,,,
"Oceania","1954","1983417","998674","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1954","507179","263029","0","0",,,,,,
"Australia and New Zealand","1954","1476238","735645","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1954","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1954","0","0","NaN","NaN",,,,,,
"World","1954","476314393","248691430","0.5","0.6",,,,,,
"Least developed countries","1955","41157572","21903015","6.37","6.47",,,,,,
"Landlocked developing countries","1955","22152774","11893368","0","0",,,,,,
"Small island developing States","1955","4222689","2261003","0","0",,,,,,
"Europe and Northern America","1955","120678002","62664611","0","0",,,,,,
"Northern America","1955","24354621","12308223","0","0",,,,,,
"Europe","1955","96323382","50356389","0","0",,,,,,
"Latin America and the Caribbean","1955","34752037","18404342","0","0",,,,,,
"Central and Southern Asia","1955","100676330","53094917","0","0",,,,,,
"Central Asia","1955","3983097","2204618","0","0",,,,,,
"Southern Asia","1955","96693233","50890299","0","0",,,,,,
"Eastern and South-Eastern Asia","1955","165139608","85276069","0","0",,,,,,
"Eastern Asia","1955","128713877","66066312","0","0",,,,,,
"South-Eastern Asia","1955","36425732","19209757","0","0",,,,,,
"Northern Africa and Western Asia","1955","21008292","10976859","0","0",,,,,,
"Western Asia","1955","10612449","5617695","0","0",,,,,,
"Northern Africa","1955","10395844","5359165","0","0",,,,,,
"Sub-Saharan Africa","1955","36724042","19565332","7.14","7.25",,,,,,
"Oceania","1955","2008273","1028547","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1955","511007","264568","0","0",,,,,,
"Australia and New Zealand","1955","1497266","763979","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1955","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1955","0","0","NaN","NaN",,,,,,
"World","1955","480986583","251010676","0.5","0.6",,,,,,
"Least developed countries","1956","41899680","22308800","6.41","6.51",,,,,,
"Landlocked developing countries","1956","22464221","11992513","0","0",,,,,,
"Small island developing States","1956","4304921","2301252","0","0",,,,,,
"Europe and Northern America","1956","120457389","62596151","0","0",,,,,,
"Northern America","1956","24522236","12533229","0","0",,,,,,
"Europe","1956","95935153","50062923","0","0",,,,,,
"Latin America and the Caribbean","1956","35455709","18853954","0","0",,,,,,
"Central and Southern Asia","1956","102030449","53602357","0","0",,,,,,
"Central Asia","1956","3998929","2154157","0","0",,,,,,
"Southern Asia","1956","98031521","51448200","0","0",,,,,,
"Eastern and South-Eastern Asia","1956","167174387","85721064","0","0",,,,,,
"Eastern Asia","1956","130162441","66304707","0","0",,,,,,
"South-Eastern Asia","1956","37011946","19416357","0","0",,,,,,
"Northern Africa and Western Asia","1956","21225844","11026662","0","0",,,,,,
"Western Asia","1956","10776181","5649413","0","0",,,,,,
"Northern Africa","1956","10449663","5377250","0","0",,,,,,
"Sub-Saharan Africa","1956","37413881","19944258","7.18","7.28",,,,,,
"Oceania","1956","2048143","1062803","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1956","514842","266471","0","0",,,,,,
"Australia and New Zealand","1956","1533301","796332","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1956","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1956","0","0","NaN","NaN",,,,,,
"World","1956","485805801","252807247","0.6","0.6",,,,,,
"Least developed countries","1957","42668191","22725942","6.53","6.63",,,,,,
"Landlocked developing countries","1957","22766881","12011282","0","0",,,,,,
"Small island developing States","1957","4385288","2337102","0.76","0.76",,,,,,
"Europe and Northern America","1957","120038959","61587224","0","0",,,,,,
"Northern America","1957","24954166","12961559","0","0",,,,,,
"Europe","1957","95084793","48625665","0","0",,,,,,
"Latin America and the Caribbean","1957","36220749","19342839","0","0",,,,,,
"Central and Southern Asia","1957","103272431","53947846","0","0",,,,,,
"Central Asia","1957","4003947","2032586","0","0",,,,,,
"Southern Asia","1957","99268484","51915260","0","0",,,,,,
"Eastern and South-Eastern Asia","1957","168945960","86173532","0","0",,,,,,
"Eastern Asia","1957","131403953","66589152","0","0",,,,,,
"South-Eastern Asia","1957","37542007","19584380","0","0",,,,,,
"Northern Africa and Western Asia","1957","21433927","11064412","0","0",,,,,,
"Western Asia","1957","10934928","5663097","0","0",,,,,,
"Northern Africa","1957","10498999","5401315","0","0",,,,,,
"Sub-Saharan Africa","1957","38134398","20341067","7.31","7.4",,,,,,
"Oceania","1957","2098502","1097918","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1957","518907","268876","0","0",,,,,,
"Australia and New Zealand","1957","1579596","829043","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1957","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1957","0","0","NaN","NaN",,,,,,
"World","1957","490144924","253554836","0.6","0.6",,,,,,
"Least developed countries","1958","43453484","23165717","7.22","7.3",,,,,,
"Landlocked developing countries","1958","23021057","11964296","1.23","1.24",,,,,,
"Small island developing States","1958","4464041","2371462","0.91","0.9",,,,,,
"Europe and Northern America","1958","119540913","59912135","0","0",,,,,,
"Northern America","1958","25595448","13534318","0","0",,,,,,
"Europe","1958","93945465","46377817","0","0",,,,,,
"Latin America and the Caribbean","1958","37048448","19864287","0","0",,,,,,
"Central and Southern Asia","1958","104505212","54267396","0","0",,,,,,
"Central Asia","1958","3963402","1846699","0","0",,,,,,
"Southern Asia","1958","100541811","52420697","0","0",,,,,,
"Eastern and South-Eastern Asia","1958","169945177","86593983","0","0",,,,,,
"Eastern Asia","1958","131931780","66861988","0","0",,,,,,
"South-Eastern Asia","1958","38013397","19731995","0","0",,,,,,
"Northern Africa and Western Asia","1958","21642477","11122860","0","0",,,,,,
"Western Asia","1958","11086691","5673691","0","0",,,,,,
"Northern Africa","1958","10555786","5449169","0","0",,,,,,
"Sub-Saharan Africa","1958","38875552","20762672","8.09","8.16",,,,,,
"Oceania","1958","2156361","1134676","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1958","523537","271990","0","0",,,,,,
"Australia and New Zealand","1958","1632825","862686","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1958","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1958","0","0","NaN","NaN",,,,,,
"World","1958","493714139","253658008","0.6","0.7",,,,,,
"Least developed countries","1959","44314120","23670613","9.32","9.43",,,,,,
"Landlocked developing countries","1959","23228076","11916666","5.19","5.45",,,,,,
"Small island developing States","1959","4543792","2410047","0.9","0.89",,,,,,
"Europe and Northern America","1959","119300068","58225935","0","0",,,,,,
"Northern America","1959","26302652","14146950","0","0",,,,,,
"Europe","1959","92997416","44078986","0","0",,,,,,
"Latin America and the Caribbean","1959","37958168","20417282","0","0",,,,,,
"Central and Southern Asia","1959","105850621","54767593","0","0",,,,,,
"Central Asia","1959","3861214","1640977","0","0",,,,,,
"Southern Asia","1959","101989407","53126616","0","0",,,,,,
"Eastern and South-Eastern Asia","1959","170497080","87168332","0","0",,,,,,
"Eastern Asia","1959","132034544","67267791","0","0",,,,,,
"South-Eastern Asia","1959","38462537","19900541","0","0",,,,,,
"Northern Africa and Western Asia","1959","21886774","11245084","0","0",,,,,,
