"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"World","1987","1066915601","549018975","91.8","91.7","13.8786834152835","9.32134020126575","4.60022346190814","1505898","1028311","477587"
"Adhoc","1988","3234950","1744689","100","100","23.0161150934838","13.1757331919723","9.97176724619983","7615","4628","2987"
"World","1988","1077941015","560545836","96.8","96.7","13.978902442817","9.35237019395257","4.6702097796068","1537812","1053412","484400"
"Adhoc","1989","3309686","1784414","100","100","21.281197526734","12.1787075642501","9.21471326057277","7197","4373","2824"
"World","1989","1090177957","570775200","97.7","97.7","13.7767301706069","9.17655559068021","4.64277930228939","1535795","1052379","483417"
"Adhoc","1990","3414080","1842562","100","100","28.9791997674481","17.9587867626692","11.221945531644","10225","6678","3547"
"World","1990","1105530730","580653476","100","100","14.1342971051115","9.32824146307234","4.85130983156013","1598878","1088371","510507"
"Adhoc","1991","3396350","1840227","100","100","26.7708167383683","16.5954911675288","10.3470397780868","9396","6159","3237"
"World","1991","1123422934","590598080","100","100","14.1697396557517","9.29880936799358","4.91664927206843","1628736","1103502","525234"
"Adhoc","1992","3524874","1922942","100","100","23.4816139325076","14.4301485298544","9.18399176796191","8546","5590","2956"
"World","1992","1144400808","600504691","100","100","13.5555094468564","8.8295636622285","4.76804554632354","1585045","1065141","519904"
"Adhoc","1993","3996397","2196679","100","100","15.3143529581102","8.75433099166877","6.61795775915396","6253","3863","2390"
"World","1993","1166306415","610356482","100","100","13.2140772739974","8.55147508101969","4.70281822584647","1572511","1048372","524139"
"Adhoc","1994","4482136","2483213","100","100","14.0671921358669","8.04374868770181","6.07228740198617","6446","4011","2435"
"World","1994","1186596625","620019063","100","100","13.0866835797222","8.3378548635495","4.78875667429974","1582197","1038254","543943"
"Adhoc","1995","4757727","2654743","100","100","12.9616423182922","7.41007473686166","5.59301221998486","6308","3949","2359"
"World","1995","1205230080","628528373","100","100","12.175718126881","7.82900545892018","4.38101163194295","1494435","988018","506417"
"Adhoc","1996","4981301","2792771","100","100","11.9430481995307","6.82822578357325","5.14998769471967","6087","3827","2260"
"World","1996","1220341478","633003390","100","100","12.0165145077445","7.7080201134386","4.34196232725627","1490766","979616","511150"
"Adhoc","1997","5215501","2932673","100","100","11.038496954115","6.32906444394818","4.73942865958076","5893","3724","2169"
"World","1997","1229744178","631998491","100","100","11.70102930395","7.49952020905532","4.23325648747262","1458661","951505","507156"
"Adhoc","1998","5464312","3078246","100","100","14.9966679914236","8.51070436996041","6.54163756487333","8394","5262","3132"
"World","1998","1236285250","628750700","100","100","11.6774388782682","7.47816001760953","4.23091834506464","1459085","943909","515176"
"Adhoc","1999","5740272","3236483","100","100","9.61558633360848","5.53695183560584","4.10134343908608","5652","3594","2058"
"World","1999","1240883533","624027967","100","100","10.9422072517431","7.01499954758087","3.95495168846745","1367486","878593","488894"
"Adhoc","2000","6017665","3394081","100","100","9.04148627545098","5.21165689107549","3.84989370945628","5571","3547","2024"
"World","2000","1243054399","617725804","100","100","10.5844130635211","6.79498823598902","3.81535008648598","1320431","842350","478082"
"Adhoc","2001","6005143","3385360","100","100","8.61166211147968","4.96642762695071","3.66342863772463","5294","3371","1923"
"World","2001","1242336810","612888769","100","100","10.4005907475446","6.66873055246302","3.7569140425401","1294019","820173","473847"
"Adhoc","2002","6223589","3500046","100","100","8.28738182184408","4.7856013539917","3.51861917654782","5278","3358","1920"
"World","2002","1239178864","610982474","100","100","10.0633924560779","6.42342178788034","3.66350289249714","1248573","787449","461125"
"Adhoc","2003","6766822","3789013","100","100","8.09547017798595","4.67365019716221","3.43788746424874","5601","3550","2051"
"World","2003","1235637295","610525139","100","100","9.84333302134477","6.23403894763277","3.63193570233562","1218487","763588","454900"
"Adhoc","2004","7139260","3974341","100","100","7.98673692935892","4.60523103536614","3.39715055717054","5823","3669","2154"
