CountryName,ISO3Code
Algeria,DZA
Bahrain,BHR
Comoros,COM
Djibouti,DJI
Egypt,EGY
Iraq,IRQ
Jordan,JOR
Kuwait,KWT
Lebanon,LBN
Libya,LBY
Mauritania,MRT
Morocco,MAR
Oman,OMN
Qatar,QAT
Saudi Arabia,SAU
Somalia,SOM
State of Palestine,PSE
Sudan,SDN
Syria,SYR
Tunisia,TUN
United Arab Emirates,ARE
Yemen,YEM
