"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
1950,521349131,265324850,0,0,,,,,,
1951,526878162,269170163,0,0,,,,,,
1952,535407411,277105973,0,0,,,,,,
1953,545514816,287393582,0,0,,,,,,
1954,558349863,299857226,0.8,0.8,,,,,,
1955,574414842,314639267,0.7,0.7,,,,,,
1956,592277009,328461110,0.7,0.7,,,,,,
1957,613076867,341300831,0.7,0.7,,,,,,
1958,636498477,354312661,0.8,0.7,,,,,,
1959,661239105,366277563,0.9,0.9,,,,,,
1960,686097674,376724313,0.9,0.9,,,,,,
1961,708404795,385744881,0.9,0.9,,,,,,
1962,729041539,394121264,0.9,0.9,,,,,,
1963,748955099,401550001,7.8,8.1,,,,,,
1964,764745194,405765053,10.5,11,,,,,,
1965,776862357,407152679,10.8,11.4,,,,,,
1966,787608523,408318456,13.1,14,,,,,,
1967,801379902,413189640,14.9,15.8,,,,,,
1968,821401936,425558295,16.7,17.7,,,,,,
1969,842532325,442197078,54.4,54.3,27.6954029778994,20.0162174489758,7.83603327489119,2417994,1788118,629876
1970,860452871,458457845,54.7,53.6,26.9751197206188,19.4231524062082,7.70155580660733,2419996,1798405,621591
1971,877286348,474170186,54.5,52.4,26.3107010385148,18.8768484010554,7.57688025743201,2420421,1807225,613196
1972,892646001,484729619,78.6,79.1,23.60854210231,16.6241023984727,7.10251260059615,2206659,1625147,581511
1973,909503355,489254392,78.9,79.2,22.8000247010708,15.9777047336553,6.93309491079038,2160775,1576023,584752
1974,930820782,494072397,79.9,80,22.0294411160974,15.3423506909327,6.79128469662224,2123004,1527766,595238
1975,953882503,500862946,80.2,80.1,21.301315650357,14.7735377402873,6.62566238334447,2093223,1490917,602306
1976,977235739,508582337,81.1,80.9,20.6034664179732,14.217062849981,6.47850893671966,2065671,1456463,609208
1977,995522087,516445044,83.2,83,19.9337428947737,13.7090451054378,6.31121856937367,2032393,1425767,606626
1978,1005454369,521960121,83.3,83.1,19.3058990151554,13.2005326390832,6.18703858079744,1987322,1387186,600136
1979,1013105162,524752744,87.2,87,18.3911000403232,12.472678251141,5.99317270402303,1904345,1317229,587115
1980,1020527882,525270472,91.1,90.9,17.7999542441819,11.9904895832691,5.87996836028685,1851384,1267247,584137
1981,1027226689,524251640,91.1,90.9,17.2882132073215,11.6129175691279,5.74197674076802,1804007,1224730,579277
1982,1033947226,523182883,91.6,91.3,16.8119657911534,11.2659755795538,5.60918313178346,1760117,1185511,574606
1983,1039034970,522626543,91.6,91.3,16.3919266783293,10.9572219341494,5.4949137334665,1720704,1151616,569087
1984,1043555361,524451924,91.7,91.4,16.0811731923179,10.7182006648832,5.42107671549117,1694643,1130294,564350
1985,1049641045,530052901,91.8,91.5,15.6787732246514,10.3921384470072,5.34215115202073,1664061,1107431,556630
1986,1056891998,538155776,91.9,91.7,15.2873287666109,10.0669222875929,5.2734943366895,1637553,1088996,548557
1987,1066915601,549018975,91.8,91.7,14.896770270162,9.73905482810283,5.20844073191627,1615513,1074618,540895
1988,1077941015,560545836,96.8,96.7,15.07107395317,9.85616688297715,5.26681770442981,1656883,1110439,546444
1989,1090177957,570775200,97.7,97.7,14.8291139132584,9.66401473010078,5.21550187005465,1651758,1108553,543206
1990,1105530730,580653476,100,100,15.1870474471352,9.8259619022428,5.41428611397611,1716640,1146730,569910
1991,1123422934,590598080,100,100,15.1946237606825,9.79426026512037,5.45377922875696,1745359,1162588,582771
1992,1144400808,600504691,100,100,14.6323111755335,9.35119808748922,5.33096398829608,1709811,1128363,581448
1993,1166306415,610356482,100,100,14.2898147347609,9.07670355862178,5.26086246519837,1699554,1113056,586498
1994,1186596625,620019063,100,100,14.0794695165222,8.81849817393756,5.30777797294673,1701424,1098370,603054
1995,1205230080,628528373,100,100,13.1703049187368,8.30636751898511,4.9046774532404,1615610,1048512,567098
1996,1220341478,633003390,100,100,12.9974350995519,8.16204880880203,4.87517772932824,1611630,1037555,574075
1997,1229744178,631998491,100,100,12.6528901168043,7.92502725621664,4.76563061308937,1576794,1005706,571088
1998,1236285250,628750700,100,100,12.6535945080759,7.91387370097387,4.77752957274352,1581017,999124,581893
1999,1240883533,624027967,100,100,11.8836251676806,7.42590948855319,4.49106592821749,1485564,930249,555315
2000,1243054399,617725804,100,100,11.5359864208003,7.20633996099041,4.36107384049951,1440141,893528,546613
2001,1242336810,612888769,100,100,11.3517354227447,7.08242476236357,4.29976341123721,1413695,871233,542462
2002,1239178864,610982474,100,100,11.0079869777028,6.8341928067001,4.20251496857095,1367091,837978,529113
2003,1235637295,610525139,100,100,10.774936563148,6.6472783619599,4.15527950070108,1334958,814373,520585
2004,1231531056,610889398,100,100,10.8152249604904,6.63728692749179,4.20585348938263,1336796,813630,523166
2005,1227136027,612578777,100,100,10.2870009296749,6.25292616947918,4.05945825293956,1268453,768485,499969
2006,1225640269,615495136,100,100,9.872167540255,5.95605415427949,3.93957772424617,1217066,735374,481692
2007,1227250146,618621178,100,100,9.61052621460512,5.75829904364587,3.87453791895254,1187045,714498,472547
2008,1229976017,621924417,100,100,9.62141752897927,5.74348516765546,3.90033387106115,1191708,716460,475248
2009,1234393925,625920181,100,100,9.3306409023376,5.52633737533366,3.82544422238733,1160155,693726,466429
