"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"World","1988","551994592","287292325","96.8","96.8","15.046008881786","9.84040454440386","5.25733867678863","847270","568210","279059"
"Adhoc","1989","1688264","910150","100","100","22.151354669255","12.7566616302326","9.51608653499336","3825","2337","1488"
"World","1989","558358804","292605389","97.8","97.7","14.8044341814919","9.64762321551232","5.2070465895412","844806","567326","277481"
"Adhoc","1990","1707833","921406","100","100","29.9182239033495","17.7538311111016","12.3842608681367","5261","3301","1960"
"World","1990","566269230","297687980","100","100","15.1437895617541","9.7968954926106","5.39979529937293","876997","586155","290842"
"Adhoc","1991","1733925","939046","100","100","27.7865989080142","16.4809980060157","11.4950508115018","4959","3121","1838"
"World","1991","575767755","302956379","100","100","15.1422030686542","9.75821719250747","5.43704171003796","891628","594162","297466"
"Adhoc","1992","1882213","1026202","100","100","24.5797654798726","14.5061570147596","10.2218887888718","4758","2999","1759"
"World","1992","586875208","308267050","100","100","14.5799311638802","9.31482125940376","5.31461458943976","873906","576978","296928"
"Adhoc","1993","2119590","1164535","100","100","16.4961201297779","9.4737314408661","7.08955321207885","3576","2217","1359"
"World","1993","598345095","313488597","100","100","14.2392109681976","9.04099318652842","5.2456436098044","869061","569424","299637"
"Adhoc","1994","2308447","1278789","100","100","15.391156567405","8.82862311238549","6.62098765969866","3636","2268","1368"
"World","1994","608968478","318615191","100","100","13.9123348750176","8.72441079985873","5.23358401203547","863097","558382","304715"
"Adhoc","1995","2430658","1356486","100","100","14.4076891340792","8.24096357237144","6.21796760624488","3585","2245","1340"
"World","1995","619019897","323324045","100","100","13.120615297077","8.26794793856004","4.89312344844557","826950","536865","290085"
"Adhoc","1996","2541608","1425408","100","100","13.5314692865656","7.72571779990006","5.85095430851323","3521","2211","1310"
"World","1996","627224163","325919977","100","100","12.9470147842278","8.12228144214902","4.8642420852983","825440","531602","293838"
"Adhoc","1997","2659776","1496204","100","100","12.7752441584353","7.26198035303014","5.55359389516049","3477","2181","1296"
"World","1997","632319013","325552618","100","100","12.5893576750591","7.87627022515173","4.75050370076014","807009","514856","292153"
"Adhoc","1998","2789546","1572180","100","100","15.9844152137865","9.0733816867119","6.97431414128143","4570","2866","1704"
"World","1998","635877470","323978848","100","100","12.5739976936061","7.8547089705632","4.75665083099494","808385","510959","297426"
"Adhoc","1999","2928420","1651881","100","100","11.5722435497353","6.54977831519549","5.05557815068201","3465","2171","1294"
"World","1999","638629615","321719244","100","100","11.8098485798155","7.37073128677929","4.47207979147216","760100","476016","284085"
"Adhoc","2000","2997351","1691348","100","100","11.0898711171652","6.26230173921064","4.8579915871196","3397","2125","1272"
"World","2000","640134634","318624581","100","100","11.4629893748558","7.15281388532195","4.34122748174459","737205","457448","279757"
"Adhoc","2001","3051896","1721334","100","100","10.7108982406953","6.0380650043309","4.70121950533723","3339","2085","1254"
"World","2001","640277069","316306374","100","100","11.274492579057","7.02717432667822","4.27737612003509","723858","446115","277743"
"Adhoc","2002","3245595","1826411","100","100","10.4296138463004","5.86586788231251","4.59067425264456","3455","2149","1306"
"World","2002","639148075","315546122","100","100","10.9326709700777","6.78041590076658","4.18060128473682","700499","429362","271137"
"Adhoc","2003","3478399","1949100","100","100","10.2620595696474","5.76038781836566","4.5277533666195","3640","2252","1388"
