"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Latin America and the Caribbean","1954","23031890","12495009","0","0",,,,,,
"Central and Southern Asia","1954","60959607","32369495","0","0",,,,,,
"Central Asia","1954","1756890","929505","0","0",,,,,,
"Southern Asia","1954","59202717","31439991","0","0",,,,,,
"Eastern and South-Eastern Asia","1954","100129409","54115154","0","0",,,,,,
"Eastern Asia","1954","78770075","42793144","0","0",,,,,,
"South-Eastern Asia","1954","21359335","11322011","0","0",,,,,,
"Northern Africa and Western Asia","1954","12980712","7135816","0","0",,,,,,
"Western Asia","1954","6415233","3472513","0","0",,,,,,
"Northern Africa","1954","6565480","3663303","0","0",,,,,,
"Sub-Saharan Africa","1954","23970733","12950256","8.63","8.63",,,,,,
"Oceania","1954","1350141","754404","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1954","329669","178930","0","0",,,,,,
"Australia and New Zealand","1954","1020472","575474","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1954","63784166","33875302","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1954","21689004","11500941","0","0",,,,,,
"World","1954","285186185","153119961","0.7","0.7",,,,,,
"Least developed countries","1955","27226978","14572078","7.75","7.77",,,,,,
"Landlocked developing countries","1955","13611561","7434781","0","0",,,,,,
"Small island developing States","1955","2794808","1505043","0","0",,,,,,
"Europe and Northern America","1955","63899206","35183984","0","0",,,,,,
"Northern America","1955","16925551","9470215","0","0",,,,,,
"Europe","1955","46973655","25713769","0","0",,,,,,
"Latin America and the Caribbean","1955","23807190","12977556","0","0",,,,,,
"Central and Southern Asia","1955","62785028","33792366","0","0",,,,,,
"Central Asia","1955","1811292","1057913","0","0",,,,,,
"Southern Asia","1955","60973736","32734453","0","0",,,,,,
"Eastern and South-Eastern Asia","1955","103501375","57224072","0","0",,,,,,
"Eastern Asia","1955","81534931","45412224","0","0",,,,,,
"South-Eastern Asia","1955","21966444","11811849","0","0",,,,,,
"Northern Africa and Western Asia","1955","13452344","7483240","0","0",,,,,,
"Western Asia","1955","6623664","3644713","0","0",,,,,,
"Northern Africa","1955","6828680","3838527","0","0",,,,,,
"Sub-Saharan Africa","1955","24495856","13186799","8.62","8.58",,,,,,
"Oceania","1955","1407767","783777","0","0",,,,,,
