"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
"World","1977","542754652","112843326","98.3","98.3","129.116090200908","85.9688474904399","47.3872300065893","15126416","10128173","5690281"
"Adhoc","1978","2580756","612321","100","100","256.940651755682","197.239607112498","40.5409771019467","170736","131882","28273"
"World","1978","542337738","113775644","98.6","98.5","126.075027511921","83.9197607160589","46.5190766355694","14801356","9939006","5645987"
"Adhoc","1979","2634577","623462","100","100","251.108891966423","193.499314037535","39.2014076254387","170191","131865","27825"
"World","1979","544343748","116299727","99","98.9","122.139863754155","81.4965183075961","45.4611011596099","14535663","9842353","5645152"
"Adhoc","1980","2611217","618438","100","100","245.161603903051","189.610728338825","38.3869599808745","167454","129739","27016"
"World","1980","549443094","118833632","99.3","99.3","118.985081139335","79.5188598203853","44.6953407699291","14431062","9805955","5659586"
"Adhoc","1981","2461842","581701","100","100","239.011378681369","185.570506428709","37.3802592788195","159072","122232","24662"
"World","1981","557347106","121174260","99.4","99.4","115.777743791352","77.4629704229603","43.7677587393025","14298213","9741446","5641619"
"Adhoc","1982","2142149","503507","100","100","277.035182070739","199.108019945819","35.8822039045608","173800","118231","20578"
"World","1982","568414267","124419005","99.5","99.5","112.449024955505","75.2153284451527","42.6809179278562","14214433","9697773","5649972"
"Adhoc","1983","2098275","493003","100","100","271.190071031841","195.0216658616","36.6505806566315","158607","106465","20481"
"World","1983","578371986","124250589","99.7","99.7","111.319325571332","74.9116179261952","42.2600214093236","14209621","9666311","5547744"
"Adhoc","1984","2108446","495094","100","100","303.820358178728","206.621501263216","35.4468441159765","176539","112189","19959"
"World","1984","589282715","125978754","99.9","99.9","109.023776671484","73.1168985931562","41.3754529769389","14019349","9534730","5527996"
"Adhoc","1985","2195739","518734","100","100","296.04744513461","201.663905751581","34.228371211993","170314","112514","20183"
"World","1985","598756834","128178209","100","100","106.314028213107","71.5071218586993","40.3739020376185","13905669","9486566","5476933"
"Adhoc","1986","2215078","528378","100","100","250.475894740229","181.266794626645","32.9661513185275","142847","103972","19637"
"World","1986","608808088","130983476","100","100","103.082491871411","69.5729619637506","39.3738246239527","13732730","9414541","5456765"
"Adhoc","1987","2224813","530453","100","100","244.224517141228","176.856993021565","81.0357353521032","139785","102111","48175"
"World","1987","618318309","133322784","100","100","99.3940748491212","67.4080889636039","38.6901705303126","13489540","9288858","5442357"
"Adhoc","1988","2246274","534052","100","100","194.298539266493","155.01684315724","78.8014163811492","111232","89562","46905"
"World","1988","626906731","133454461","100","100","99.7937778814373","67.5880598962112","38.115719979969","13643686","9337975","5349033"
"Adhoc","1989","2334132","552449","100","100","187.781604787229","150.42737261035","77.2650369010149","109930","88683","47332"
