"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","Under.five.deaths.median","Infant.deaths.median"
"World",1989,326801235,69011640,100,100,97.7068581488113,69.0999780083175,6925907,4945349
"Adhoc",1990,1218833,285934,100,100,186.087789969071,152.083596733688,57768,47615
"World",1990,331249083,69752644,100,100,95.8028571442747,67.8045306412368,6858163,4905667
"Adhoc",1991,1251106,293104,100,100,179.91928528951,147.651913604996,57082,47197
"World",1991,333352261,68815347,100,100,95.2699389205441,67.8386285685709,6739159,4800666
"Adhoc",1992,1370760,321294,100,100,174.086353344806,143.362071139568,56612,47015
"World",1992,332634309,67180023,100,100,94.5615432359144,67.0114301601379,6550099,4646206
"Adhoc",1993,1557825,364795,100,100,168.488518687764,139.320254095967,59365,50006
"World",1993,331002000,66633348,100,100,93.2792441436464,66.1062172671545,6402572,4542790
"Adhoc",1994,1711372,399285,100,100,163.391963893636,135.635692131487,64259,54965
"World",1994,328751907,66370768,100,100,91.4569695165244,64.897507390745,6243508,4444273
"Adhoc",1995,1814440,420164,100,100,158.490955890537,132.114661377563,67617,58158
"World",1995,325646709,66289998,100,100,89.4899520757703,63.6221334130402,6086674,4347759
"Adhoc",1996,1902450,436765,100,100,153.944993773778,128.902964683009,69177,59423
"World",1996,323340987,66201091,100,100,88.4073422065038,62.7616605741238,5990796,4279407
"Adhoc",1997,1984560,452024,100,100,149.711440784165,125.847072355773,70166,60079
"World",1997,322422377,66045655,100,100,86.2344198260343,61.3159141772268,5828535,4169794
"Adhoc",1998,2062214,465961,100,100,145.291662799369,122.559112269672,70496,60221
"World",1998,321919983,65982332,100,100,84.6579700878715,60.0958303746628,5715455,4083799
"Adhoc",1999,2135955,479585,100,100,140.776337779773,119.20210654266,70424,60196
"World",1999,321795187,66060666,100,100,81.4500187279623,58.1966813605917,5500878,3956294
"Adhoc",2000,2152577,480508,100,100,136.557229346416,116.029132014362,70119,60081
"World",2000,322391879,66645724,100,100,78.5898491631061,56.1365151629869,5343515,3857178
"Adhoc",2001,2154680,477395,100,100,132.043658830345,112.588323546179,67913,58107
"World",2001,323582929,67089428,100,100,76.2233321650481,54.625058865769,5200688,3759980
"Adhoc",2002,2251600,495308,100,100,127.408498287887,109.043026767317,65203,55778
"World",2002,325052995,67095719,100,100,73.1670085237716,52.5328772855772,4993277,3618842
"Adhoc",2003,2369709,516645,100,100,122.940326039956,105.607188134849,64754,55778
"World",2003,326804704,67281544,100,100,70.1912393914331,50.5386857427353,4802194,3488654
"Adhoc",2004,2424370,523562,100,100,118.384504376561,102.143481565702,64523,56003
"World",2004,328767956,67652070,100,100,67.8614589818705,48.8810600848595,4670771,3395290
"Adhoc",2005,2473272,530673,100,100,113.736308521021,98.4603708407218,62791,54673
"World",2005,330518039,68089064,100,100,64.3431782380689,46.6765633873703,4452288,3257627
"Adhoc",2006,2534353,541153,100,100,109.219026206937,94.8995274565761,61099,53350
"World",2006,332260146,68607994,100,100,61.6140978781933,44.8672469979072,4294337,3158318
"Adhoc",2007,2536793,539556,100,100,104.767570634414,91.3084740307494,59681,52241
"World",2007,334692169,69349554,100,100,58.9731034680751,43.1142569991675,4152473,3067326
