"UNCode","CountryName","Code","ISO3Code","UNICEFCode","MDGRegion1","MDGRegion1excl","MDGRegion2","MDGRegion3","MDGRegion4","MDGRegion5","UNICEFRegion1","UNICEFRegion2","UNICEFRegion3","UNICEFRegion4","UNICEFRegion5","UNICEFRegion6","WHORegion1","WBRegion1","WBRegion2","WBRegion3","WBRegion4","UNPDRegion1","UNPDRegion2","UNPDRegion3","UNPDRegion4","UNPDRegion5","OICRegion1","OICRegion2","OICRegion3","OICRegion4","Countdown.and.COIA.75.Priority.Countries","ECAAfrica","AURegion1","AURegion2","FragileCountries2013","FragileCountries2014","FragileCountries2015","USAIDcountry","M49Region1","M49Region2","M49Region3","UNICEFCountry","pop01950","pop01951","pop01952","pop01953","pop01954","pop01955","pop01956","pop01957","pop01958","pop01959","pop01960","pop01961","pop01962","pop01963","pop01964","pop01965","pop01966","pop01967","pop01968","pop01969","pop01970","pop01971","pop01972","pop01973","pop01974","pop01975","pop01976","pop01977","pop01978","pop01979","pop01980","pop01981","pop01982","pop01983","pop01984","pop01985","pop01986","pop01987","pop01988","pop01989","pop01990","pop01991","pop01992","pop01993","pop01994","pop01995","pop01996","pop01997","pop01998","pop01999","pop02000","pop02001","pop02002","pop02003","pop02004","pop02005","pop02006","pop02007","pop02008","pop02009","pop02010","pop02011","pop02012","pop02013","pop02014","pop02015","pop02016","pop02017","pop02018","pop02019","pop02020","pop02021","pop02022","pop02023","pop02024","pop02025","pop02026","pop02027","pop02028","pop02029","pop02030","pop02031","pop02032","pop02033","pop02034","pop02035","pop02036","pop02037","pop02038","pop02039","pop02040","pop02041","pop02042","pop02043","pop02044","pop02045","pop02046","pop02047","pop02048","pop02049","pop02050","pop1to41950","pop1to41951","pop1to41952","pop1to41953","pop1to41954","pop1to41955","pop1to41956","pop1to41957","pop1to41958","pop1to41959","pop1to41960","pop1to41961","pop1to41962","pop1to41963","pop1to41964","pop1to41965","pop1to41966","pop1to41967","pop1to41968","pop1to41969","pop1to41970","pop1to41971","pop1to41972","pop1to41973","pop1to41974","pop1to41975","pop1to41976","pop1to41977","pop1to41978","pop1to41979","pop1to41980","pop1to41981","pop1to41982","pop1to41983","pop1to41984","pop1to41985","pop1to41986","pop1to41987","pop1to41988","pop1to41989","pop1to41990","pop1to41991","pop1to41992","pop1to41993","pop1to41994","pop1to41995","pop1to41996","pop1to41997","pop1to41998","pop1to41999","pop1to42000","pop1to42001","pop1to42002","pop1to42003","pop1to42004","pop1to42005","pop1to42006","pop1to42007","pop1to42008","pop1to42009","pop1to42010","pop1to42011","pop1to42012","pop1to42013","pop1to42014","pop1to42015","pop1to42016","pop1to42017","pop1to42018","pop1to42019","pop1to42020","pop1to42021","pop1to42022","pop1to42023","pop1to42024","pop1to42025","pop1to42026","pop1to42027","pop1to42028","pop1to42029","pop1to42030","pop1to42031","pop1to42032","pop1to42033","pop1to42034","pop1to42035","pop1to42036","pop1to42037","pop1to42038","pop1to42039","pop1to42040","pop1to42041","pop1to42042","pop1to42043","pop1to42044","pop1to42045","pop1to42046","pop1to42047","pop1to42048","pop1to42049","pop1to42050"
120,"Cameroon",41,"CMR","CAM","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Central Africa","","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Excluding least developed countries","Excluding China","OIC","Africa","OIC Lower middle income","OIC Middle income","Countdown","Central Africa","Africa","Central Africa","Non-fragile","Non-fragile","Non-fragile","","Africa","Middle Africa","",1,78805,79813,81190,82782,84504,86314,87787,89483,91485,93904,96832,99919,103537,107505,111585,115596,118937,122288,125715,129327,133220,136974,141090,145526,150228,155160,159753,164601,169860,175749,182379,189589,197500,205688,213592,220797,226463,231552,236229,240783,245467,250069,254919,259954,265076,270226,275046,279959,285237,291224,298119,305919,314603,323681,332482,340500,346737,352318,357495,362682,368204,373578,379371,385363,391256,396834,401415,405793,410147,414727,419713,424862,430449,436269,442035,447526,452219,456720,461120,465556,470145,474628,479277,484083,489040,494120,499231,504495,509698,514551,518859,522379,525390,528106,530839,533828,537288,541011,544832,548497,551822,273434,280922,286205,290494,294718,300009,308582,315069,320715,326968,335258,346481,357070,367748,379039,391721,408948,423216,435847,448527,462924,480407,495971,510787,525968,542802,563182,581633,599432,618228,639582,664050,688744,713960,739530,765809,798317,825068,847860,869217,891471,915463,936540,955965,974635,993656,1015317,1034481,1052454,1071152,1092396,1117473,1142887,1169015,1195742,1223647,1260250,1289737,1314536,1338167,1363948,1392977,1418412,1441869,1464386,1487357,1513965,1535971,1555097,1573534,1593312,1615517,1635843,1655236,1674419,1694535,1720338,1741633,1760106,1777969,1797398,1820881,1841303,1860086,1878558,1898070,1920644,1941246,1960525,1978988,1997504,2020790,2039278,2054534,2068589,2083165,2098774,2113295,2127159,2140372,2153256
124,"Canada",171,"CAN","CAN","Developed regions","Developed regions","Developed regions","","","","Industrialized countries","Industrialized countries","","","","","Americas","High income: OECD","","High income","","Northern America","","More developed regions","More developed regions","","","","","","","","","","","","","","Americas","Northern America","",1,182889,176737,177191,181986,189450,198289,208478,217802,225712,231797,235712,238492,238654,236049,230613,222520,210364,195725,180945,169205,162747,163165,168929,177689,185976,191245,193080,192008,189099,186066,184217,184041,184870,186402,188153,189750,190469,190975,191523,192507,194138,197369,201272,204622,205771,203665,197571,188404,178034,169084,163463,161802,163364,167406,172690,178205,183850,189816,195279,199234,201046,200344,197336,193304,190094,189016,191137,195330,200497,205012,207712,208484,207492,205427,203332,201959,201892,202492,203403,204066,204094,203684,202721,201561,200714,200535,201544,203177,205218,207344,209322,211451,213388,215132,216710,218130,219729,221103,222258,223216,224018,652111,691427,714668,738178,765108,793194,807886,832669,860248,884613,901856,921177,933927,939529,938246,930306,918088,893769,861484,828497,799936,753554,729818,722620,720816,716625,731623,736992,735222,732973,734806,737511,740849,745613,751065,757531,764697,771692,778835,786408,793541,794872,801056,809275,814649,813733,816904,807718,789757,770082,753582,724941,708809,702734,701905,703233,711238,722794,736430,750563,763634,783255,793945,798645,801842,806167,799866,802679,811598,820730,825724,833784,837268,836689,834919,833866,831727,830853,830994,830732,829229,830747,829870,827350,824757,823209,822334,823305,825802,829038,832661,840561,847395,853509,859515,865889,875382,883092,889501,895038,900069
132,"Cape Verde",25,"CPV","CVR","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","West Africa","","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Excluding least developed countries","Excluding China","","","","","","West Africa","Africa","Western Africa ","Non-fragile","Non-fragile","Non-fragile","","Africa","Western Africa","",1,2416,3792,4769,5328,5511,5368,4930,4409,3891,3486,3309,3394,3749,4260,4761,5127,5268,5289,5207,5064,4913,4902,4876,4858,4867,4920,4967,5055,5187,5358,5560,5710,5892,6090,6273,6425,6536,6618,6674,6711,6732,6631,6521,6408,6313,6248,6234,6250,6276,6272,6218,6098,5931,5743,5574,5457,5433,5459,5515,5576,5621,5605,5579,5542,5501,5465,5428,5397,5363,5327,5283,5225,5160,5093,5027,4965,4908,4855,4806,4763,4723,4685,4653,4622,4594,4567,4543,4518,4493,4470,4444,4421,4397,4370,4343,4314,4286,4257,4226,4193,4162,7193,8133,10172,12083,13339,13970,15772,16174,15813,15359,15337,14605,14606,15236,16076,16835,18149,19052,19578,19847,19864,19586,19317,19041,18764,18550,18492,18475,18540,18760,19204,19794,20395,21014,21642,22287,23130,23754,24238,24681,25181,25627,25848,25914,25911,25926,25826,25762,25734,25654,25397,24945,24418,23788,23109,22441,21786,21296,20948,20709,20621,21098,21330,21431,21525,21669,21731,21754,21750,21699,21603,21417,21223,21014,20791,20552,20264,19998,19748,19506,19277,19087,18898,18715,18545,18395,18308,18206,18095,17985,17887,17826,17748,17660,17565,17468,17382,17284,17178,17067,16947
140,"Central African Republic",26,"CAF","CAR","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Central Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Central Africa","Africa","Central Africa","Fragile","Fragile","Fragile","","Africa","Middle Africa","",1,21213,21893,22529,23150,23769,24392,24846,25346,25892,26478,27105,27572,28107,28709,29372,30095,30717,31419,32173,32938,33690,34351,35026,35741,36530,37418,38158,39005,39988,41146,42495,43801,45298,46862,48328,49584,50772,51779,52657,53486,54334,54810,55306,55919,56776,57953,59638,61634,63691,65470,66727,67388,67605,67524,67368,67328,67083,66979,67122,67642,68609,69946,71733,73718,75556,76989,77625,77888,77916,77936,78120,78435,78924,79508,80071,80522,80719,80840,80925,81039,81232,81442,81738,82085,82440,82764,82977,83173,83368,83591,83862,84166,84520,84887,85216,85470,85620,85698,85731,85750,85785,73559,75066,76435,77636,78957,80793,84006,86261,88018,89768,92022,95216,97597,99565,101537,103953,107292,109966,112277,114513,117021,120834,123700,126067,128483,131522,135482,138803,141945,145442,149815,154974,160021,165015,169815,174365,180542,185254,188999,192490,196436,200970,204441,207328,210240,213716,217686,222159,226947,231492,235545,242720,246919,249037,250466,252454,254780,255926,256600,257542,259497,261760,264888,268786,273010,277406,284830,289513,292313,294562,297391,300507,302911,304960,306730,308462,311075,312605,313430,314079,315029,316631,317702,318501,319253,320270,322487,323869,324767,325599,326749,328627,330070,331261,332335,333493,335565,336851,337616,338180,338818
144,"Sri Lanka",74,"LKA","SRI","Southern Asia","Southern Asia excluding India","Developing regions","","","","South Asia","South Asia","Asia","Developing countries","","","South-East Asia","Lower middle income","South Asia","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Southern Asia","",1,144856,140500,137755,137336,139655,144805,152266,160974,169740,177147,181854,181982,179263,175187,171940,171135,173559,178366,184148,188875,191115,189969,186456,182113,179129,179044,182986,189558,197253,203923,207971,208986,207637,204343,199858,194864,188987,182595,176504,171755,169059,169505,172096,175686,178620,179738,178826,176094,172694,170266,169936,172057,176089,181032,185475,188374,189533,189302,187753,185108,181618,176984,171514,165925,161175,157914,156377,156399,157222,157734,157135,155076,151963,148331,144973,142473,141083,140479,140422,140537,140534,140381,140121,139733,139205,138539,137741,136774,135619,134269,132733,131042,129177,127192,125153,123116,121126,119160,117239,115389,113627,499298,522366,532494,539399,548822,562737,567528,582434,602923,623475,640602,665669,678695,682945,685373,691131,689178,694193,704314,714087,719790,731867,734952,731679,728236,729024,724372,729292,741078,753828,763653,783600,794078,796954,795967,793858,788735,778738,765845,752218,739302,717439,706121,702074,699343,693097,694159,689029,679277,670383,667374,668663,673492,681789,690956,699122,714476,722922,725676,724949,722790,720511,712434,700651,687848,676109,658041,646054,638394,631654,623447,620498,613256,602939,592446,583942,575815,569085,563829,559322,555308,554241,552428,550078,547683,545710,545869,544332,541575,538042,534167,530527,525556,519592,512944,505866,498270,490379,482283,474131,466182
148,"Chad",27,"TCD","CHD","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Central Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","OIC","Africa","OIC Low income","","Countdown","Central Africa","Africa","Central Africa","Fragile","Fragile","Fragile","","Africa","Middle Africa","",1,42615,46562,49704,52119,53853,54946,55002,54887,54766,54857,55388,56313,57829,59733,61728,63597,64957,66238,67624,69365,71625,74160,77218,80518,83685,86461,88702,90660,92512,94524,96898,99024,101575,104572,108024,111918,115293,119183,123490,128091,132904,137617,142592,147828,153324,159074,164259,169722,175536,181804,188568,195026,202022,209253,216353,223079,229518,235661,241682,247822,254234,260247,266593,273200,279972,286828,293424,300188,307062,313991,320933,327533,334185,340848,347484,354057,360252,366443,372558,378517,384269,389470,394530,399516,404538,409663,414692,419872,425096,430211,435104,439448,443630,447701,451744,455819,459778,463810,467840,471767,475519,148298,151412,157208,163042,168406,173936,184225,189718,192487,194711,198228,201842,205428,209403,213553,217968,224784,229816,233913,238562,245188,254227,263099,272166,281224,290216,302218,311464,318950,326261,335027,345487,354689,363730,373785,386245,401433,415590,429664,444401,460443,478881,496116,512962,530469,549953,573355,594538,614922,636328,660644,688746,715273,741058,766339,791357,819645,844482,867037,889230,913302,941944,967635,991816,1015957,1041668,1071807,1099021,1124638,1150020,1176582,1207001,1234408,1259968,1284987,1310923,1340639,1367022,1391270,1414603,1438353,1465448,1488711,1509497,1529412,1550111,1573642,1594549,1613853,1632498,1651665,1675089,1694591,1711552,1727676,1744689,1765292,1782820,1798442,1813268,1828568
152,"Chile",113,"CHL","CLE","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","High income: OECD","","High income","","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","South America",1,94654,101249,106508,110707,114010,116541,118088,119370,120538,121775,123261,125064,127219,129550,131792,133723,135274,136601,137414,137352,136215,133703,130248,126439,123101,120855,120053,120369,121552,123170,124884,126422,127981,129705,131804,134386,137468,140971,144227,146379,146854,145073,141702,137467,133440,130426,128902,128383,128523,128756,128647,128055,127174,126122,125073,124159,123346,122643,122023,121439,120868,120227,119602,119031,118574,118261,118158,118182,118242,118216,118019,117724,117246,116614,115888,115108,114496,113830,113112,112345,111531,110779,109988,109193,108439,107757,107291,106897,106541,106176,105765,105415,105015,104581,104148,103739,103502,103274,103043,102791,102502,354806,361043,372290,384275,395936,407540,424484,436349,445239,453329,462354,471413,479855,488042,495792,503242,512309,519463,524806,528231,529889,533532,531598,525849,518861,512484,501678,494832,491240,489315,488044,489815,492024,494800,499189,506101,516293,526924,537726,547408,555233,566433,570140,568361,564244,559908,548001,540214,535373,530991,525297,520223,515097,509728,504726,500536,498182,495180,491986,488959,486481,485187,483281,481128,479099,477509,476292,475319,474548,473754,472803,472943,472230,470836,469008,466902,464938,462690,460202,457442,454401,451540,448530,445400,442233,439090,436260,433660,431246,428909,426591,425333,423732,421903,420041,418307,417325,416200,415000,413738,412440
156,"China",93,"CHN","CHN","Eastern Asia","","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","Upper middle income","East Asia and Pacific","Middle income","Low and middle income","Asia","","Less developed regions","Excluding least developed countries","","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","","Asia","Eastern Asia","",1,9242740,10882032,11992721,12558036,12609301,12196370,11304375,10297186,9352297,8699836,8564086,9127842,10239737,11656990,13042271,14144965,14688325,14968098,15007997,14865163,14599390,14189010,13685410,13092576,12425148,11710307,10950594,10172639,9490374,9044708,8929446,9186499,9730958,10509093,11435138,12421674,13478750,14593312,15527837,15982713,15768358,14699695,13005996,10998322,9145727,7809378,7166527,7043862,7302160,7704688,8068875,8361304,8634335,8862998,9026504,9112673,9078221,8943605,8760397,8606732,8538485,8592827,8731188,8897440,9011860,9017974,8900979,8683372,8397384,8091988,7805535,7554956,7322728,7117898,6947612,6815649,6735234,6696630,6686767,6686161,6679939,6666890,6646385,6620522,6594088,6570559,6554887,6539583,6523279,6504336,6481558,6460461,6435280,6405273,6370110,6329936,6290075,6244080,6192690,6136426,6075288,30038181,32187122,35233767,37793836,39286544,39964239,42352912,42573406,41694899,40778012,40434218,38197155,38088119,39596448,41673786,43647831,47268017,49791395,51413059,52642107,53882007,55387359,55838274,55544702,54676897,53375635,51125725,48790963,46472837,44350678,42524577,39939615,38792105,38759788,39495163,40788657,43476929,46349095,49185246,51554223,53202527,56512852,56717334,54719096,51894929,49203846,43431023,39753909,37679051,36140963,34384202,33099533,32295467,31741693,31463424,31485266,32881360,33465306,33566806,33609916,33925781,34120166,34492864,35004754,35434116,35630468,35832691,35734600,35369913,34847561,34221039,33207847,32285548,31429955,30597167,29751852,28783119,28050735,27486756,27023549,26619654,26522189,26362028,26171349,26009852,25927625,26016236,26040510,26033360,26012996,25995924,25984478,25956133,25910100,25839906,25740047,25600983,25455438,25297324,25119749,24913776
170,"Colombia",114,"COL","COL","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","South America",1,257599,266745,275607,283754,291040,297483,302399,307429,313091,320019,328807,339720,352226,365336,377656,388031,395762,402063,405841,405870,401667,391488,377419,363362,354634,354897,367196,388005,412956,435832,452017,458160,458068,453580,447748,443097,440459,438770,438091,438347,439366,442149,445967,449539,451089,449433,443145,433648,423132,414675,410425,411907,417501,424735,430075,430998,426069,416978,405594,394727,386475,381935,379851,379358,379087,377990,376027,373391,370132,366400,362334,358042,353346,348534,343998,340015,337024,334606,332526,330428,328048,325547,322772,319821,316847,313962,311457,309010,306610,304232,301858,299756,297660,295534,293328,291011,288789,286441,284038,281683,279443,861845,911846,954658,992009,1025154,1057647,1097742,1130140,1159006,1188379,1220796,1250171,1284411,1322105,1360407,1397811,1444894,1482608,1511798,1532504,1545215,1560724,1554944,1535778,1516736,1507821,1476426,1479842,1508764,1545492,1578208,1646035,1687117,1707842,1721831,1739261,1752812,1761650,1768395,1772723,1774810,1768691,1769147,1772904,1774807,1771148,1774865,1764618,1744650,1723835,1708598,1683475,1672866,1672571,1673262,1668989,1681615,1676574,1658609,1637285,1619329,1592950,1573222,1558972,1545764,1530845,1519918,1507835,1494359,1480470,1466901,1457522,1444537,1429323,1413550,1398554,1382994,1369199,1356775,1344679,1332294,1322702,1312057,1300608,1289044,1277885,1268299,1258379,1248313,1238178,1228111,1219226,1210279,1201244,1192059,1182716,1174641,1165946,1156827,1147613,1138540
174,"Comoros",3,"COM","COM","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Eastern Africa","Least developed countries","","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","OIC","Arab","OIC Low income","","Countdown","Eastern Africa","Africa","Eastern Africa","Fragile","Fragile","Fragile","","Africa","Eastern Africa","",1,2514,2857,3120,3320,3467,3563,3615,3649,3672,3696,3728,3773,3839,3922,4014,4110,4178,4256,4343,4432,4523,4591,4665,4760,4902,5107,5317,5587,5887,6185,6452,6722,6961,7174,7367,7547,7690,7822,7944,8059,8170,8263,8354,8456,8576,8722,8906,9115,9337,9557,9759,9935,10096,10252,10421,10611,10817,11044,11285,11530,11769,11991,12210,12416,12597,12745,12843,12911,12964,13020,13094,13194,13314,13446,13580,13705,13818,13922,14025,14132,14243,14360,14486,14613,14740,14864,14987,15107,15223,15333,15438,15539,15636,15723,15800,15870,15933,15987,16033,16077,16119,8886,9171,9684,10205,10683,11148,11939,12443,12773,13040,13340,13620,13862,14100,14343,14619,14969,15267,15540,15818,16121,16507,16799,17073,17450,18059,18811,19635,20541,21470,22364,23411,24341,25169,25949,26759,27748,28557,29247,29884,30525,31153,31690,32173,32648,33144,33605,34143,34738,35351,35962,36768,37455,38068,38693,39409,40246,41058,41874,42710,43596,44624,45560,46428,47244,48027,48901,49570,50092,50549,51004,51365,51752,52164,52576,52973,53453,53879,54266,54653,55076,55598,56075,56533,56988,57464,58043,58561,59041,59502,59963,60495,60959,61376,61754,62112,62507,62833,63107,63347,63570
178,"Congo",42,"COG","CBR","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Central Africa","","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","","","Africa","Lower middle income","Sub-Saharan Africa","Middle income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Excluding least developed countries","Excluding China","","","","","Countdown","Central Africa","Africa","Central Africa","Fragile","Fragile","Non-fragile","","Africa","Middle Africa","",1,14375,14859,15348,15831,16304,16759,17125,17512,17934,18414,18968,19557,20234,20972,21733,22491,23167,23847,24554,25322,26176,27051,28006,29007,30019,31006,31963,32902,33803,34640,35399,35967,36478,36968,37489,38086,38788,39583,40448,41348,42254,43103,43965,44905,46008,47326,48884,50662,52534,54321,55900,57281,58467,59629,60999,62734,64563,66734,69068,71322,73311,75242,76945,78410,79643,80668,81224,81604,81992,82637,83719,85344,87399,89730,92104,94334,96268,98063,99779,101507,103321,105231,107209,109209,111168,113043,114833,116546,118180,119737,121225,122676,124062,125403,126721,128037,129408,130778,132161,133570,135009,50083,51645,53134,54544,55972,57603,59923,61758,63366,65020,66984,69305,71549,73824,76186,78727,81815,84565,87159,89853,92888,96293,99635,102986,106376,109872,114018,117749,121198,124517,127896,131814,134986,137671,140181,142786,145378,147953,150592,153290,156097,159484,162592,165638,168990,172958,177541,182568,187942,193360,198672,205781,211553,216586,221938,228579,235569,243056,250972,258854,266381,275407,283201,290037,296314,302434,308840,313809,317883,321811,326154,329121,333628,339352,345621,352021,360180,367591,374503,381491,389037,397514,405597,413486,421255,429036,437379,445139,452446,459440,466241,473129,479541,485581,491360,496968,502535,507975,513322,518627,523954
180,"Congo DR",28,"COD","ZAI","Sub-Saharan Africa","Sub-Saharan Africa","Developing regions","Eastern Africa","Least developed countries","","West and Central Africa","Sub-Saharan Africa","Africa","Developing countries","Least developed countries","","Africa","Low income","Sub-Saharan Africa","Low income","Low and middle income","Africa","Sub-Saharan Africa","Less developed regions","Least developed countries","Excluding China","","","","","Countdown","Eastern Africa","Africa","Central Africa","Fragile","Fragile","Fragile","USAID","Africa","Middle Africa","",1,240616,239886,241406,245035,250680,258223,266022,275107,285062,295388,305585,313581,321461,329556,338382,348314,357818,368581,380179,392076,403896,414754,425799,437251,449428,462546,474952,488563,503194,518613,534697,551696,569769,588900,609045,630172,647367,665599,686112,710531,739720,769415,804106,840030,872407,898266,922542,940812,957105,976731,1003170,1031266,1066168,1105336,1145172,1183008,1213161,1242237,1270827,1300120,1331097,1362084,1394862,1429080,1464272,1499998,1534073,1568929,1604216,1639522,1674527,1707220,1739822,1772555,1805799,1839802,1873634,1908379,1943512,1978352,2012367,2044080,2075191,2105777,2136059,2166194,2195550,2224906,2253984,2282438,2310015,2336270,2361863,2386799,2411149,2434979,2458358,2481304,2503954,2526497,2549025,830217,854900,868414,878929,891727,910414,932797,955647,979562,1005318,1034713,1076995,1110429,1138955,1168157,1203550,1248721,1288309,1325432,1362396,1401946,1451915,1494005,1531914,1570409,1614627,1670783,1720740,1767858,1815064,1865249,1927057,1983994,2039486,2098070,2165970,2253265,2328098,2399200,2479173,2580502,2698476,2818100,2939362,3052876,3148380,3255880,3338964,3404443,3470711,3558598,3669663,3780794,3897827,4021804,4155518,4320518,4460826,4586168,4709148,4841133,4984306,5116909,5244725,5372308,5505273,5652330,5789333,5920661,6051235,6186654,6340795,6479599,6609202,6737054,6870698,7019804,7158186,7290447,7420869,7554796,7707783,7844705,7971242,8094162,8220304,8360267,8487137,8605524,8719837,8835094,8963980,9079043,9184733,9285920,9387581,9500572,9601979,9695694,9786078,9877676
184,"Cook Islands",75,"COK","COK","Oceania","Oceania","Developing regions","","","","East Asia and Pacific","East Asia and Pacific","Asia","Developing countries","","","Western Pacific","","","","","Oceania","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Oceania","Polynesia","",1,292,291,291,296,307,328,356,387,419,444,455,457,446,430,418,414,414,422,433,435,426,409,380,345,311,282,261,245,234,228,231,232,238,249,260,268,272,276,274,274,271,265,260,251,243,235,228,223,217,211,207,198,190,183,179,177,179,183,188,192,194,193,192,187,183,181,181,181,181,182,181,180,177,174,171,167,163,159,155,152,148,146,144,142,140,139,138,136,136,136,135,135,134,134,134,134,133,133,133,131,130,1012,1064,1087,1106,1134,1171,1206,1267,1338,1404,1455,1555,1603,1618,1630,1668,1669,1698,1744,1776,1755,1689,1609,1509,1396,1285,1184,1086,999,935,893,860,846,848,859,873,906,919,920,913,923,965,982,989,987,978,953,927,902,880,864,845,827,808,790,775,751,737,731,729,725,736,737,734,729,728,724,723,725,726,724,722,718,712,705,697,685,673,660,648,635,618,605,592,581,571,563,556,550,544,540,538,537,536,534,533,533,533,532,532,530
188,"Costa Rica",115,"CRI","CTR","Latin America and the Caribbean","Latin America and the Caribbean","Developing regions","","","Latin America","Latin America and the Caribbean","Latin America and the Caribbean","","Developing countries","","","Americas","Upper middle income","Latin America and the Caribbean","Middle income","Low and middle income","Latin America and the Caribbean","","Less developed regions","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","","Americas","Latin America and the Caribbean","Central America",1,20499,18388,17428,17390,18123,19494,21426,23544,25671,27620,29200,30087,30515,30568,30406,30176,29932,29666,29359,28989,28558,28024,27446,27041,27077,27724,29139,31125,33379,35479,37118,38053,38540,38720,38825,39045,39479,40009,40572,41067,41424,41513,41468,41333,41169,41016,40908,40827,40677,40319,39672,38751,37545,36308,35382,35004,35382,36295,37429,38332,38689,38349,37480,36319,35233,34487,34229,34293,34535,34736,34736,34506,34094,33574,33058,32630,32345,32133,31970,31811,31620,31422,31198,30959,30716,30479,30275,30074,29879,29693,29523,29403,29294,29188,29074,28939,28814,28670,28506,28336,28164,69227,73030,73634,74098,75492,77806,77994,80901,85278,90016,94560,101533,106505,109876,112498,115024,117180,118448,119099,119132,118567,117019,115361,113779,112759,112647,111958,113698,117236,121505,125828,133280,138602,142375,145672,149294,152397,155371,158308,160936,163066,164287,165237,165861,166219,166317,165787,165295,164677,163595,161824,160662,158243,155026,151913,149532,146170,144932,145201,145763,145822,148398,148739,147480,145874,144788,142624,141395,140895,140428,139545,139126,138229,136920,135522,134240,132854,131627,130539,129473,128367,127539,126620,125632,124640,123690,122959,122158,121323,120491,119699,119069,118456,117858,117259,116649,116287,115809,115240,114624,114002
