"CountryName","OfficialName","Code","ISO3Code","UNCode","UNICEFCode","MDGRegion1","MDGRegion1excl","MDGRegion3","MDGRegion4","MDGRegion5","MDGRegion6","UNICEFProgRegion1","UNICEFProgRegion2","UNICEFProgRegion3","UNICEFProgRegion4","UNICEFProgRegion5","MENAEMRORegion","ECACountries","WHORegion1","WBRegion1","WBRegion2","WBRegion3","WBRegion4","WBRegion5","UNPDRegion1","UNPDRegion2","UNPDRegion4","UNPDRegion5","OICRegion1","OICRegion2","OICRegion3","OICRegion4","Countdown.and.COIA.75.Priority.Countries","ECAAfrica","AURegion1","AURegion2","FragileCountries2013","FragileCountries2014","FragileCountries2015","FragileCountries2017","FragileCountries2018","FragileCountries2018OECD1","FragileCountries2018OECD2","FragileCountries2019","FCSCountries2020","FCSCountries20211","FCSCountries20212","USAIDcountry","M49Region1","M49Region2","M49Region3","SDGSimpleRegion1","SDGSimpleRegion2","SDGSimpleRegion3","SDGSimpleRegion4","SDGSimpleRegion5","SDGSimpleRegion6","SDGRegion1","SDGRegion2","SDGRegion3","SDGRegion4","SDGRegion5","SDGRegion6","HAC2020","HAC2019","GlobalStrategy","Conflict","UNICEFReportRegion1","UNICEFReportRegion2","Wealthdata1","Wealthdata2","Wealthdata3","WealthdataGlobal","Wealthall1","Wealthall2","Wealthall3","WealthallGlobal","UNRegion","AfricanEconomicCommunity","GAVICountries","SDGRCRegion1","SDGRCRegion2","SDGRCRegion3","SDGRCRegion4","SDGRCRegion5","SDGRCRegion6","SDGRCRegion7","SDGRCRegion8","SDGRCRegion9","SDGRCRegion10","SDGRCRegion11","SDGRCRegion12","SDGRCRegion13","SDGRCRegion14","SDGRCRegion15","JHURegion","SPhumanitarian","JHUFragile2021","LiST_UNICEFProgramm","LiST_UNICEFReport","LiST_all","ListSBRESCAP","ListSBR","EAPRORegion1","EAPRORegion2","EAPRORegion3","EAPRORegion4","EAPRORegion5","EAPRORegion6","EAPRORegion7","EAPRORegion8","EAPRORegion9","EECA","ARR 1990-2020 median","ARR 1990-2000 median","ARR 2000-2020 median","Required ARR median","Change in ARR median","Percentage decline 1990-2020 median","Percentage decline 1990-2000 median","Percentage decline 2000-2020 median"
"Azerbaijan","Azerbaijan",138,"AZE",31,"AZE","Caucasus and Central Asia","Caucasus and Central Asia","","","","LLDC","Europe and Central Asia","Europe and Central Asia","","","","","","Europe","Europe and Central Asia","Europe and Central Asia (excluding high-income)","Middle income","Upper middle income","Low and middle income","Asia","","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC Upper middle income","OIC Middle income","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","","Non-fragile","non-FCS","Fragile and Conflict-affected Situation","High-intensity Conflict (International)","","Asia","Western Asia","","Northern Africa and Western Asia","Western Asia","","Landlocked developing countries","","","Western Asia (M49) and Northern Africa (M49)","Asia (M49)","Western Asia (M49)","Caucasus and Central Asia (MDG)","","Landlocked developing countries (LLDCs)","","","","Non conflict","Europe and Central Asia","Eastern Europe and Central Asia","Europe and Central Asia","Eastern Europe and Central Asia","Upper middle income","Low and middle income","Europe and Central Asia","Eastern Europe and Central Asia","Upper middle income","Low and middle income","Eastern European Group","","GAVI","","ECE_All countries","ECE_Eastern Europe, Caucasus and Central Asia (CIS)","ECE_CIS (CWG)","","ESCAP_ADB Group C (ADB_DMC_C)","","ESCAP_ECO (ECO)","","","ESCAP_LLDC (LLDC_E)","ESCAP_North and Central Asia (NCA)","ESCAP_All countries","","","Eastern Europe and Central Asia","Non-humanitarian","","Europe and Central Asia","Eastern Europe and Central Asia","LiST","LiSTSBR","LiSTSBR","","","","","","","","","","EECA",5.43736732348896,2.51970301855727,6.89619947595481,,4.37649645739754,80.4307395845956,22.2732178861927,74.8230148177868
"Burundi","Burundi",2,"BDI",108,"BRD","Sub-Saharan Africa","Sub-Saharan Africa","Eastern Africa","Least developed countries","","LLDC","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Least developed countries","","","","Africa","Sub-Saharan Africa","Sub-Saharan Africa (excluding high-income)","Low income","Low income","Low and middle income","Africa","Sub-Saharan Africa","Least developed countries","Excluding China","","","","","Countdown","Eastern Africa","Africa","Central Africa","Fragile","Fragile","Fragile","Fragile","Fragile","Fragile","Extremely Fragile","Fragile","Fragile and Conflict-affected Situation","non-FCS","","","Africa","Eastern Africa","","Sub-Saharan Africa","","Least developed countries","Landlocked developing countries","","","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Eastern Africa (M49)","Sub-Saharan Africa (MDG)","Least developed countries (LDCs)","Landlocked developing countries (LLDCs)","","","Global Strategy","Non conflict","Sub-Saharan Africa","Eastern and Southern Africa","Sub-Saharan Africa","Eastern and Southern Africa","Low income","Low and middle income","Sub-Saharan Africa","Eastern and Southern Africa","Low income","Low and middle income","African Group","Economic Community of Central African States","GAVI","ECA_East Africa","ECA_All countries","","","","","","","","","","","ESCAP_Africa (AFR)","","","Eastern and Southern Africa","Non-humanitarian","Fragile","Eastern and Southern Africa","Eastern and Southern Africa","LiST","","LiSTSBR","","","","","","","","","","",3.94039177184716,1.01656438717109,5.4023054641852,,4.38574107701411,69.3371245400085,9.66601490395042,66.0561023324848
"Belgium","Belgium",170,"BEL",56,"BEL","","","","","","","Non-programme countries","Non-programme countries","","","","","","Europe","Europe and Central Asia","","High income","High income","","Europe","","","","","","","","","","","","","","","","","Non-fragile","","","non-FCS","non-FCS","","","Europe","Western Europe","","Europe and Northern America","Europe","","","North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America","Northern America (M49) and Europe (M49)","Europe (M49)","Western Europe (M49)","","","","","","","","Europe and Central Asia","Western Europe","","","","","","","","","Western European and Others Group (WEOG)","","","","ECE_All countries","ECE_European Union (EMU)","ECE_Euro area (E25)","","","","","","","","","ESCAP_Europe (Europe)","","","High Income Countries","Non-humanitarian","","","","","","","","","","","","","","","","",2.79613884567833,5.25431298097559,1.5670517780297,,-3.68726120294588,56.7789116545802,40.8699717324359,26.9050098372289
"Benin","Benin",23,"BEN",204,"BEN","Sub-Saharan Africa","Sub-Saharan Africa","West Africa","Least developed countries","","","West and Central Africa","Sub-Saharan Africa","Africa","Least developed countries","","","","Africa","Sub-Saharan Africa","Sub-Saharan Africa (excluding high-income)","Middle income","Lower middle income","Low and middle income","Africa","Sub-Saharan Africa","Least developed countries","Excluding China","OIC","Africa","OIC Low income","","Countdown","West Africa","Africa","Western Africa","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","","Non-fragile","non-FCS","non-FCS","","","Africa","Western Africa","","Sub-Saharan Africa","","Least developed countries","","","","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","Sub-Saharan Africa (MDG)","Least developed countries (LDCs)","","","","Global Strategy","Non conflict","Sub-Saharan Africa","West and Central Africa","Sub-Saharan Africa","West and Central Africa","Lower middle income","Low and middle income","Sub-Saharan Africa","West and Central Africa","Lower middle income","Low and middle income","African Group","Economic Community of West African States","GAVI","ECA_West Africa","ECA_All countries","","","","","","","","","","","ESCAP_Africa (AFR)","","","West and Central Africa","Non-humanitarian","","West and Central Africa","West and Central Africa","LiST","","LiSTSBR","","","","","","","","","","",2.42286822952097,2.36979778826288,2.44940345015002,,0.0796056618871379,51.6575664134035,21.099275749119,38.7300509018373
"Burkina Faso","Burkina Faso",24,"BFA",854,"UPV","Sub-Saharan Africa","Sub-Saharan Africa","West Africa","Least developed countries","","LLDC","West and Central Africa","Sub-Saharan Africa","Africa","Least developed countries","","","","Africa","Sub-Saharan Africa","Sub-Saharan Africa (excluding high-income)","Low income","Low income","Low and middle income","Africa","Sub-Saharan Africa","Least developed countries","Excluding China","OIC","Africa","OIC Low income","","Countdown","West Africa","Africa","Western Africa","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Fragile","Other Fragile","Fragile","Fragile and Conflict-affected Situation","non-FCS","","","Africa","Western Africa","","Sub-Saharan Africa","","Least developed countries","Landlocked developing countries","","","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","Sub-Saharan Africa (MDG)","Least developed countries (LDCs)","Landlocked developing countries (LLDCs)","","","Global Strategy","Non conflict","Sub-Saharan Africa","West and Central Africa","Sub-Saharan Africa","West and Central Africa","Low income","Low and middle income","Sub-Saharan Africa","West and Central Africa","Low income","Low and middle income","African Group","Economic Community of West African States","GAVI","ECA_West Africa","ECA_All countries","","","","","","","","","","","ESCAP_Africa (AFR)","","","West and Central Africa","Non-humanitarian","Fragile","West and Central Africa","West and Central Africa","LiST","","LiSTSBR","","","","","","","","","","",2.90288270270129,1.04166554520968,3.83349128144709,,2.79182573623741,58.1410607959873,9.89247932270065,53.5455654651497
"Bangladesh","Bangladesh",68,"BGD",50,"BAN","Southern Asia","Southern Asia excluding India","","Least developed countries","","","South Asia","South Asia","Asia","Least developed countries","","","","South-East Asia","South Asia","South Asia (excluding high-income)","Middle income","Lower middle income","Low and middle income","Asia","","Least developed countries","Excluding China","OIC","Asia/other","OIC Low income","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Fragile","Other Fragile","Non-fragile","non-FCS","non-FCS","","USAID","Asia","Southern Asia","","Central and Southern Asia","Southern Asia","Least developed countries","","","","Central Asia (M49) and Southern Asia (MDG=M49)","Asia (M49)","Southern Asia (MDG=M49)","Southern Asia (MDG=M49)","Least developed countries (LDCs)","","HAC","","Global Strategy","Non conflict","South Asia","","South Asia","","Lower middle income","Low and middle income","South Asia","","Lower middle income","Low and middle income","Asia-Pacific Group","","GAVI","","","","","","ESCAP_ADB Group B (ADB_DMC_B)","ESCAP_SAARC (SAARC)","","","ESCAP_LDC (LDC_E)","","ESCAP_South and South-West Asia (SSWA)","ESCAP_All countries","","","South Asia","Non-humanitarian","","South Asia","South Asia","LiST","LiSTSBR","LiSTSBR","","","","","","","","","","",5.53339831002971,5.48229819722304,5.55894836643304,,0.0766501692099988,80.9864726243189,42.2027979963199,67.1030314331299
"Bulgaria","Bulgaria",149,"BGR",100,"BUL","","","","","","","Europe and Central Asia","Europe and Central Asia","","","","","","Europe","Europe and Central Asia","Europe and Central Asia (excluding high-income)","Middle income","Upper middle income","Low and middle income","Europe","","","","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","","Non-fragile","non-FCS","non-FCS","","","Europe","Eastern Europe","","Europe and Northern America","Europe","","","North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America","Northern America (M49) and Europe (M49)","Europe (M49)","Eastern Europe (M49)","","","","HAC","HAC","","Non conflict","Europe and Central Asia","Eastern Europe and Central Asia","","","","","Europe and Central Asia","Eastern Europe and Central Asia","Upper middle income","Low and middle income","Eastern European Group","","","","ECE_All countries","ECE_European Union (EMU)","","","","","","","","","","ESCAP_Europe (Europe)","","","Eastern Europe and Central Asia","Non-humanitarian","","","","","","","","","","","","","","","","EECA",3.54265118563664,0.373263165132352,5.12734519588878,,4.75408203075643,65.4511304546235,3.66382767855959,64.1371784732127
"Bahrain","Bahrain",51,"BHR",48,"BRN","Western Asia","Western Asia","","","","SIDS","Middle East and North Africa","Middle East and North Africa (excluding Djibouti and Sudan)","","","Middle East","MENAEMRO","","Eastern Mediterranean","Middle East and North Africa","","High income","High income","","Asia","","Excluding least developed countries","Excluding China","OIC","Arab","OIC High income: nonOECD","OIC High income","","","","","","","","","","Non-fragile","","","non-FCS","non-FCS","","","Asia","Western Asia","","Northern Africa and Western Asia","Western Asia","","","","","Western Asia (M49) and Northern Africa (M49)","Asia (M49)","Western Asia (M49)","Western Asia (MDG)","","","","","","Non conflict","Middle East and North Africa","","","","","","","","","","Asia-Pacific Group","","","","","","","","","","","","","","","ESCAP_Other Area (OTH_REGION)","ESCWA_All countries","ESCWA_Arab countries","Middle East and North Africa","Non-humanitarian","","","","","","","","","","","","","","","","",4.12010386244853,6.15416808009155,3.10307175362702,,-3.05109632646453,70.9464979870205,45.9584401189971,46.2385947464247
"Bahamas","Bahamas",107,"BHS",44,"BAH","Latin America and the Caribbean","Latin America and the Caribbean","","","Caribbean","SIDS","Latin America and Caribbean","Latin America and Caribbean","","","","","","Americas","Latin America and the Caribbean","","High income","High income","","Latin America and the Caribbean","","Excluding least developed countries","Excluding China","","","","","","","","","","","","","","Non-fragile","","","non-FCS","Fragile and Conflict-affected Situation","Medium-intensity Conflict","","Americas","Latin America and the Caribbean","Caribbean","Latin America and the Caribbean","","","Small island developing States","","","Latin America and the Caribbean (MDG=M49)","Latin America and the Caribbean (MDG=M49)","Caribbean (M49)","Latin America and the Caribbean (MDG=M49)","","Small island developing States (SIDS)","","","","Non conflict","Latin America and Caribbean","","","","","","","","","","Latin American and Caribbean Group (GRULAC)","","","","ECLAC_All countries","","","ECLAC_Carribean","","","","","","","","ESCAP_Latin America (LAC)","","","High Income Countries","Non-humanitarian","","","","","","","","","","","","","","","","",2.15359804304072,3.63827480708826,1.41125966101694,,-2.22701514607132,47.5903479875237,30.4988912779144,24.591631736341
"Bosnia & Herzegovina","Bosnia and Herzegovina",147,"BIH",70,"BHG","","","","","","","Europe and Central Asia","Europe and Central Asia","","","","","","Europe","Europe and Central Asia","Europe and Central Asia (excluding high-income)","Middle income","Upper middle income","Low and middle income","Europe","","","","","","","","","","","","Fragile","Fragile","Fragile","Non-fragile","Non-fragile","Non-fragile","","Non-fragile","non-FCS","non-FCS","","","Europe","Southern Europe","","Europe and Northern America","Europe","","","North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","","","","HAC","HAC","","Non conflict","Europe and Central Asia","Eastern Europe and Central Asia","","","","","Europe and Central Asia","Eastern Europe and Central Asia","Upper middle income","Low and middle income","Eastern European Group","","","","ECE_All countries","","ECE_West Balkans (ST7)","","","","","","","","","ESCAP_Europe (Europe)","","","Eastern Europe and Central Asia","Non-humanitarian","","Europe and Central Asia","Eastern Europe and Central Asia","LiST","","LiSTSBR","","","","","","","","","","EECA",3.80264089173607,6.1035826926578,2.6521699912752,,-3.4514127013826,68.0434260060471,45.6843761975181,41.1650428426218
