"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
"Melanesia","1952","363477","86106","100","100","227.993830457055","164.403610697571","0",,"15221","0"
"Micronesia","1952","17163","3965","38.67","38.87",,,,,,
"Polynesia","1952","33212","7716","69.66","69.84","149.497886676226","108.670302348295","0",,"886","0"
"World","1952","368211261","86456843","31.2","28.9",,,,,,
"Africa","1953","42145825","10260755","20.57","20.37",,,,,,
"Northern Africa","1953","9647173","2391355","0","0",,,,,,
"Southern Africa","1953","2601484","592515","6.38","6.26",,,,,,
"Eastern Africa","1953","12634893","3012977","34.62","34.41",,,,,,
"Western Africa","1953","12608602","3135840","27.57","27.39",,,,,,
"Middle Africa","1953","4653673","1128068","14.06","13.93",,,,,,
"Asia","1953","230687073","54653331","48.73","48.48",,,,,,
"Eastern Asia","1953","109953766","25481765","13.93","11.59",,,,,,
"Central Asia","1953","2823285","668021","0","0",,,,,,
"Southern Asia","1953","80169859","19485811","94.4","94.25","287.03570559941","176.08863482134","22.8907152633562",,,
"South-Eastern Asia","1953","29012312","6889289","55.78","56.58","247.558172972155","166.305313176139","63.5443818442875",,"1225698","487730"
"Western Asia","1953","8727851","2128445","59.91","60.05","265.233797711723","188.762706610389","0.838247842826124",,,
"Americas","1953","50401144","11212326","76.41","75.89","110.194469849133","85.9254765404556","10.7580357042487",,"1012016","211824"
"Northern America","1953","19928022","4231650","100","100","35.3254473640143","30.370521741894","0",,"130649","0"
"Latin America and the Caribbean","1953","30473122","6980676","60.98","61.27","190.054699746813","136.542377258068","20.5598333500743",,,
"Central America","1953","7686970","1778685","77.85","77.57","166.270975115632","131.36822630977","63.2426730612767",,,
"South America","1953","20423379","4657230","58.25","58.65","195.556512676879","141.489967648497","0.321052395122802",,"704148","2633"
"Caribbean","1953","2362773","544761","29.73","30.47",,,,,,
"Europe","1953","55415142","11426297","49.83","48.73",,,,,,
"Northern Europe","1953","6506758","1281580","92.19","91.98","32.3943666004958","27.5417608187415","0",,"36067","0"
"Southern Europe","1953","10651942","2212708","78.98","77.66","78.2998060295822","60.8562403830105","0",,"141266","0"
"Eastern Europe","1953","26013324","5519456","24.43","23.94",,,,,,
"Western Europe","1953","12243118","2412553","55.93","55.94","43.9616440072504","36.8864113619109","0",,"91656","0"
"Oceania","1953","1624650","348780","98.68","98.6","85.8154538452208","63.7999925287381","0",,"22599","0"
"Australia and New Zealand","1953","1194981","247700","100","100","30.211136471299","24.1680741089841","0",,"6080","0"
"Melanesia","1953","377455","89080","100","100","221.234371550786","160.241552893716","0",,"15314","0"
"Micronesia","1953","17819","4055","38.58","38.94",,,,,,
"Polynesia","1953","34395","7945","69.35","69.52","144.094516744586","105.112338368643","0",,"880","0"
