"CountryName","OfficialName","Code","ISO3Code","UNCode","UNICEFCode","MDGRegion1","MDGRegion1excl","MDGRegion3","MDGRegion4","MDGRegion5","MDGRegion6","UNICEFProgRegion1","UNICEFProgRegion2","UNICEFProgRegion3","UNICEFProgRegion4","UNICEFProgRegion5","MENAEMRORegion","ECACountries","WHORegion1","WBRegion1","WBRegion2","WBRegion3","WBRegion4","WBRegion5","UNPDRegion1","UNPDRegion2","UNPDRegion4","UNPDRegion5","OICRegion1","OICRegion2","OICRegion3","OICRegion4","Countdown.and.COIA.75.Priority.Countries","ECAAfrica","AURegion1","AURegion2","FragileCountries2013","FragileCountries2014","FragileCountries2015","FragileCountries2017","FragileCountries2018","FragileCountries2018OECD1","FragileCountries2018OECD2","FragileCountries2019","FCSCountries2020","FCSCountries20211","FCSCountries20212","USAIDcountry","M49Region1","M49Region2","M49Region3","SDGSimpleRegion1","SDGSimpleRegion2","SDGSimpleRegion3","SDGSimpleRegion4","SDGSimpleRegion5","SDGSimpleRegion6","SDGRegion1","SDGRegion2","SDGRegion3","SDGRegion4","SDGRegion5","SDGRegion6","HAC2020","HAC2019","GlobalStrategy","Conflict","UNICEFReportRegion1","UNICEFReportRegion2","Wealthdata1","Wealthdata2","Wealthdata3","WealthdataGlobal","Wealthall1","Wealthall2","Wealthall3","WealthallGlobal","UNRegion","AfricanEconomicCommunity","GAVICountries","SDGRCRegion1","SDGRCRegion2","SDGRCRegion3","SDGRCRegion4","SDGRCRegion5","SDGRCRegion6","SDGRCRegion7","SDGRCRegion8","SDGRCRegion9","SDGRCRegion10","SDGRCRegion11","SDGRCRegion12","SDGRCRegion13","SDGRCRegion14","SDGRCRegion15","JHURegion","SPhumanitarian","JHUFragile2021","LiST_UNICEFProgramm","LiST_UNICEFReport","LiST_all","ListSBRESCAP","ListSBR","EAPRORegion1","EAPRORegion2","EAPRORegion3","EAPRORegion4","EAPRORegion5","EAPRORegion6","EAPRORegion7","EAPRORegion8","EAPRORegion9","EECA","ARR 1990-2020 median","ARR 1990-2000 median","ARR 2000-2020 median","Required ARR median","Change in ARR median","Percentage decline 1990-2020 median","Percentage decline 1990-2000 median","Percentage decline 2000-2020 median"
"United Kingdom","United Kingdom",194,"GBR",826,"UKD","","","","","","","Non-programme countries","Non-programme countries","","","","","","Europe","Europe and Central Asia","","High income","High income","","Europe","","","","","","","","","","","","","","","","","Non-fragile","","","non-FCS","non-FCS","","","Europe","Northern Europe","","Europe and Northern America","Europe","","","North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America","Northern America (M49) and Europe (M49)","Europe (M49)","Northern Europe (M49)","","","","","","","","Europe and Central Asia","Western Europe","","","","","","","","","Western European and Others Group (WEOG)","","","","ECE_All countries","","","","","","","","","","","ESCAP_Europe (Europe)","","","High Income Countries","Non-humanitarian","","","","","","","","","","","","","","","","",2.64296420669106,3.51140734697686,2.20874263654817,,-1.30266471042869,54.7464588754221,29.611531411384,35.7088710239439
"Georgia","Georgia",139,"GEO",268,"GEO","Caucasus and Central Asia","Caucasus and Central Asia","","","","","Europe and Central Asia","Europe and Central Asia","","","","","","Europe","Europe and Central Asia","Europe and Central Asia (excluding high-income)","Middle income","Upper middle income","Low and middle income","Asia","","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","","Non-fragile","non-FCS","non-FCS","","","Asia","Western Asia","","Northern Africa and Western Asia","Western Asia","","","","","Western Asia (M49) and Northern Africa (M49)","Asia (M49)","Western Asia (M49)","Caucasus and Central Asia (MDG)","","","","","","Non conflict","Europe and Central Asia","Eastern Europe and Central Asia","Europe and Central Asia","Eastern Europe and Central Asia","Upper middle income","Low and middle income","Europe and Central Asia","Eastern Europe and Central Asia","Upper middle income","Low and middle income","Eastern European Group","","GAVI","","ECE_All countries","ECE_Eastern Europe, Caucasus and Central Asia (CIS)","","","ESCAP_ADB Group C (ADB_DMC_C)","","","","","","ESCAP_North and Central Asia (NCA)","ESCAP_All countries","","","Eastern Europe and Central Asia","Non-humanitarian","","Europe and Central Asia","Eastern Europe and Central Asia","LiST","LiSTSBR","LiSTSBR","","","","","","","","","","EECA",5.47646373389828,2.69379172991641,6.86779973588922,,4.1740080059728,80.6589251342865,23.6146431911768,74.6796039532548
"Ghana","Ghana",45,"GHA",288,"GHA","Sub-Saharan Africa","Sub-Saharan Africa","West Africa","","","","West and Central Africa","Sub-Saharan Africa","Africa","","","","","Africa","Sub-Saharan Africa","Sub-Saharan Africa (excluding high-income)","Middle income","Lower middle income","Low and middle income","Africa","Sub-Saharan Africa","Excluding least developed countries","Excluding China","","","","","Countdown","West Africa","Africa","Western Africa","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","","Non-fragile","non-FCS","non-FCS","","USAID","Africa","Western Africa","","Sub-Saharan Africa","","","","","","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","Sub-Saharan Africa (MDG)","","","","","Global Strategy","Non conflict","Sub-Saharan Africa","West and Central Africa","Sub-Saharan Africa","West and Central Africa","Lower middle income","Low and middle income","Sub-Saharan Africa","West and Central Africa","Lower middle income","Low and middle income","African Group","Economic Community of West African States","GAVI","ECA_West Africa","ECA_All countries","","","","","","","","","","","ESCAP_Africa (AFR)","","","West and Central Africa","Non-humanitarian","","West and Central Africa","West and Central Africa","LiST","","LiSTSBR","","","","","","","","","","",3.49106540974933,2.44874204152765,4.01222709386016,,1.56348505233252,64.91230275944,21.7196994584358,55.1768490950931
"Guinea","Guinea",31,"GIN",324,"GUI","Sub-Saharan Africa","Sub-Saharan Africa","West Africa","Least developed countries","","","West and Central Africa","Sub-Saharan Africa","Africa","Least developed countries","","","","Africa","Sub-Saharan Africa","Sub-Saharan Africa (excluding high-income)","Low income","Low income","Low and middle income","Africa","Sub-Saharan Africa","Least developed countries","Excluding China","OIC","Africa","OIC Low income","","Countdown","West Africa","Africa","Western Africa","Fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Fragile","Other Fragile","Non-fragile","non-FCS","non-FCS","","","Africa","Western Africa","","Sub-Saharan Africa","","Least developed countries","","","","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","Sub-Saharan Africa (MDG)","Least developed countries (LDCs)","","","","Global Strategy","Non conflict","Sub-Saharan Africa","West and Central Africa","Sub-Saharan Africa","West and Central Africa","Low income","Low and middle income","Sub-Saharan Africa","West and Central Africa","Low income","Low and middle income","African Group","Economic Community of West African States","GAVI","ECA_West Africa","ECA_All countries","","","","","","","","","","","ESCAP_Africa (AFR)","","","West and Central Africa","Non-humanitarian","","West and Central Africa","West and Central Africa","LiST","","LiSTSBR","","","","","","","","","","",2.95442702823584,3.44968816282003,2.70679646094374,,-0.742891701876287,58.7833592084056,29.1757561244069,41.8043334652555
"Gambia The","Gambia",30,"GMB",270,"GAM","Sub-Saharan Africa","Sub-Saharan Africa","West Africa","Least developed countries","","","West and Central Africa","Sub-Saharan Africa","Africa","Least developed countries","","","","Africa","Sub-Saharan Africa","Sub-Saharan Africa (excluding high-income)","Low income","Low income","Low and middle income","Africa","Sub-Saharan Africa","Least developed countries","Excluding China","OIC","Africa","OIC Low income","","Countdown","West Africa","Africa","Western Africa","Non-fragile","Non-fragile","Non-fragile","Fragile","Fragile","Fragile","Other Fragile","Fragile","Fragile and Conflict-affected Situation","non-FCS","","","Africa","Western Africa","","Sub-Saharan Africa","","Least developed countries","","","","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","Sub-Saharan Africa (MDG)","Least developed countries (LDCs)","","","","Global Strategy","Non conflict","Sub-Saharan Africa","West and Central Africa","Sub-Saharan Africa","West and Central Africa","Low income","Low and middle income","Sub-Saharan Africa","West and Central Africa","Low income","Low and middle income","African Group","Economic Community of West African States","GAVI","ECA_West Africa","ECA_All countries","","","","","","","","","","","ESCAP_Africa (AFR)","","","West and Central Africa","Non-humanitarian","Fragile","West and Central Africa","West and Central Africa","LiST","","LiSTSBR","","","","","","","","","","",4.0485276633834,3.83248627711018,4.15654835652001,,0.324062079409836,70.3158899652099,31.8356597222864,56.4521421114739
"Guinea-Bissau","Guinea-Bissau",32,"GNB",624,"BIS","Sub-Saharan Africa","Sub-Saharan Africa","West Africa","Least developed countries","","SIDS","West and Central Africa","Sub-Saharan Africa","Africa","Least developed countries","","","","Africa","Sub-Saharan Africa","Sub-Saharan Africa (excluding high-income)","Low income","Low income","Low and middle income","Africa","Sub-Saharan Africa","Least developed countries","Excluding China","OIC","Africa","OIC Low income","","Countdown","West Africa","Africa","Western Africa","Fragile","Fragile","Fragile","Fragile","Fragile","Fragile","Other Fragile","Fragile","Fragile and Conflict-affected Situation","Fragile and Conflict-affected Situation","High Institutional and Social Fragility","","Africa","Western Africa","","Sub-Saharan Africa","","Least developed countries","Small island developing States","","","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Western Africa (M49)","Sub-Saharan Africa (MDG)","Least developed countries (LDCs)","Small island developing States (SIDS)","","","Global Strategy","Non conflict","Sub-Saharan Africa","West and Central Africa","Sub-Saharan Africa","West and Central Africa","Low income","Low and middle income","Sub-Saharan Africa","West and Central Africa","Low income","Low and middle income","African Group","Economic Community of West African States","GAVI","ECA_West Africa","ECA_All countries","","","","","","","","","","","ESCAP_Africa (AFR)","","","West and Central Africa","Non-humanitarian","Fragile","West and Central Africa","West and Central Africa","LiST","","LiSTSBR","","","","","","","","","","",3.54073979847559,2.46121595469843,4.08050172036417,,1.61928576566574,65.4313138938952,21.8172847494538,55.7847460332822
"Equatorial Guinea","Equatorial Guinea",29,"GNQ",226,"EQG","Sub-Saharan Africa","Sub-Saharan Africa","Central Africa","","","","West and Central Africa","Sub-Saharan Africa","Africa","","","","","Africa","Sub-Saharan Africa","Sub-Saharan Africa (excluding high-income)","Middle income","Upper middle income","Low and middle income","Africa","Sub-Saharan Africa","","Excluding China","","","","","Countdown","Central Africa","Africa","Central Africa","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Fragile","Other Fragile","Non-fragile","non-FCS","non-FCS","","","Africa","Middle Africa","","Sub-Saharan Africa","","","","","","Sub-Saharan Africa (M49)","Sub-Saharan Africa (M49)","Middle Africa (M49)","Sub-Saharan Africa (MDG)","","","","","","Non conflict","Sub-Saharan Africa","West and Central Africa","Sub-Saharan Africa","West and Central Africa","Upper middle income","Low and middle income","Sub-Saharan Africa","West and Central Africa","Upper middle income","Low and middle income","African Group","Economic Community of Central African States","","ECA_Central Africa","ECA_All countries","","","","","","","","","","","ESCAP_Africa (AFR)","","","West and Central Africa","Non-humanitarian","","West and Central Africa","West and Central Africa","LiST","","LiSTSBR","","","","","","","","","","",2.7296201251201,1.33703389490528,3.42591324022752,,2.08887934532224,55.9077447792895,12.5150484315968,49.6001833112573
"Greece","Greece",176,"GRC",300,"GRE","","","","","","","Non-programme countries","Non-programme countries","","","","","","Europe","Europe and Central Asia","","High income","High income","","Europe","","","","","","","","","","","","","","","","","Non-fragile","","","non-FCS","non-FCS","","","Europe","Southern Europe","","Europe and Northern America","Europe","","","North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","","","","HAC","HAC","","","Europe and Central Asia","Western Europe","","","","","","","","","Western European and Others Group (WEOG)","","","","ECE_All countries","ECE_European Union (EMU)","ECE_Euro area (E25)","","","","","","","","","ESCAP_Europe (Europe)","","","High Income Countries","Non-humanitarian","","","","","","","","","","","","","","","","EECA",3.1267849808753,4.85016211881622,2.26509641190483,,-2.58506570691139,60.8604019752244,38.4312784764874,36.4294124414643
"Grenada","Grenada",120,"GRD",308,"GND","Latin America and the Caribbean","Latin America and the Caribbean","","","Caribbean","SIDS","Latin America and Caribbean","Latin America and Caribbean","","","","","Eastern Caribbean Area","Americas","Latin America and the Caribbean","Latin America and the Caribbean (excluding high-income)","Middle income","Upper middle income","Low and middle income","Latin America and the Caribbean","","Excluding least developed countries","Excluding China","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","","Non-fragile","non-FCS","non-FCS","","","Americas","Latin America and the Caribbean","Caribbean","Latin America and the Caribbean","","","Small island developing States","","","Latin America and the Caribbean (MDG=M49)","Latin America and the Caribbean (MDG=M49)","Caribbean (M49)","Latin America and the Caribbean (MDG=M49)","","Small island developing States (SIDS)","","","","Non conflict","Latin America and Caribbean","","","","","","Latin America and Caribbean","","Upper middle income","Low and middle income","Latin American and Caribbean Group (GRULAC)","","","","ECLAC_All countries","","","ECLAC_Carribean","","","","","","","","ESCAP_Latin America (LAC)","","","Latin America and Caribbean","Non-humanitarian","","","","","","","","","","","","","","","","",1.04641945888556,3.69425950157895,-0.277500562461129,,-3.97176006404008,26.9426792835178,30.8869039597471,-5.70691359844762
"Guatemala","Guatemala",121,"GTM",320,"GUA","Latin America and the Caribbean","Latin America and the Caribbean","","","Latin America","","Latin America and Caribbean","Latin America and Caribbean","","","","","","Americas","Latin America and the Caribbean","Latin America and the Caribbean (excluding high-income)","Middle income","Upper middle income","Low and middle income","Latin America and the Caribbean","","Excluding least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Fragile","Other Fragile","Non-fragile","non-FCS","non-FCS","","","Americas","Latin America and the Caribbean","Central America","Latin America and the Caribbean","","","","","","Latin America and the Caribbean (MDG=M49)","Latin America and the Caribbean (MDG=M49)","Central America (M49)","Latin America and the Caribbean (MDG=M49)","","","","","","Non conflict","Latin America and Caribbean","","Latin America and Caribbean","","Upper middle income","Low and middle income","Latin America and Caribbean","","Upper middle income","Low and middle income","Latin American and Caribbean Group (GRULAC)","","","","ECLAC_All countries","","","ECLAC_Latin America","","","","","","","","ESCAP_Latin America (LAC)","","","Latin America and Caribbean","Non-humanitarian","","Latin America and the Caribbean","Latin America and Caribbean","LiST","","","","","","","","","","","","",4.08027187449109,4.33364258760379,3.95358651793474,,-0.380056069669055,70.5972377609406,35.1675709014079,54.6480632488011
"Guyana","Guyana",122,"GUY",328,"GUY","Latin America and the Caribbean","Latin America and the Caribbean","","","Latin America","SIDS","Latin America and Caribbean","Latin America and Caribbean","","","","","","Americas","Latin America and the Caribbean","Latin America and the Caribbean (excluding high-income)","Middle income","Upper middle income","Low and middle income","Latin America and the Caribbean","","Excluding least developed countries","Excluding China","OIC","Asia/other","OIC Lower middle income","OIC Middle income","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","","Non-fragile","non-FCS","non-FCS","","","Americas","Latin America and the Caribbean","South America","Latin America and the Caribbean","","","Small island developing States","","","Latin America and the Caribbean (MDG=M49)","Latin America and the Caribbean (MDG=M49)","South America (M49)","Latin America and the Caribbean (MDG=M49)","","Small island developing States (SIDS)","HAC","HAC","","Non conflict","Latin America and Caribbean","","Latin America and Caribbean","","Upper middle income","Low and middle income","Latin America and Caribbean","","Upper middle income","Low and middle income","Latin American and Caribbean Group (GRULAC)","","GAVI","","ECLAC_All countries","","","ECLAC_Carribean","","","","","","","","ESCAP_Latin America (LAC)","","","Latin America and Caribbean","Non-humanitarian","","Latin America and the Caribbean","Latin America and Caribbean","LiST","","LiSTSBR","","","","","","","","","","",2.52315397769274,2.66266254712689,2.45339969297566,,-0.209262854151229,53.090322723745,23.3764913364041,38.7790012563834
"Honduras","Honduras",123,"HND",340,"HON","Latin America and the Caribbean","Latin America and the Caribbean","","","Latin America","","Latin America and Caribbean","Latin America and Caribbean","","","","","","Americas","Latin America and the Caribbean","Latin America and the Caribbean (excluding high-income)","Middle income","Lower middle income","Low and middle income","Latin America and the Caribbean","","Excluding least developed countries","Excluding China","","","","","Countdown","","","","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Non-fragile","Fragile","Other Fragile","Non-fragile","non-FCS","non-FCS","","","Americas","Latin America and the Caribbean","Central America","Latin America and the Caribbean","","","","","","Latin America and the Caribbean (MDG=M49)","Latin America and the Caribbean (MDG=M49)","Central America (M49)","Latin America and the Caribbean (MDG=M49)","","","","","","Non conflict","Latin America and Caribbean","","Latin America and Caribbean","","Lower middle income","Low and middle income","Latin America and Caribbean","","Lower middle income","Low and middle income","Latin American and Caribbean Group (GRULAC)","","","","ECLAC_All countries","","","ECLAC_Latin America","","","","","","","","ESCAP_Latin America (LAC)","","","Latin America and Caribbean","Non-humanitarian","","Latin America and the Caribbean","Latin America and Caribbean","LiST","","LiSTSBR","","","","","","","","","","",4.25749535679439,4.52215738547731,4.12516434245294,,-0.396993043024371,72.1196656315532,36.3783101591442,56.1779411421057
"Croatia","Croatia",150,"HRV",191,"CRO","","","","","","","Europe and Central Asia","Europe and Central Asia","","","","","","Europe","Europe and Central Asia","","High income","High income","","Europe","","","","","","","","","","","","Non-fragile","Non-fragile","Non-fragile","Non-fragile","","Non-fragile","","","non-FCS","non-FCS","","","Europe","Southern Europe","","Europe and Northern America","Europe","","","North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America","Northern America (M49) and Europe (M49)","Europe (M49)","Southern Europe (M49)","","","","","","","Non conflict","Europe and Central Asia","Eastern Europe and Central Asia","","","","","","","","","Eastern European Group","","","","ECE_All countries","ECE_European Union (EMU)","ECE_West Balkans (ST7)","","","","","","","","","ESCAP_Europe (Europe)","","","High Income Countries","Non-humanitarian","","","","","","","","","","","","","","","","EECA",3.46417535234414,4.38302243751817,3.00475180975713,,-1.37827062776104,64.6281049283582,35.486923335576,45.1709685841913
"Haiti","Haiti",104,"HTI",332,"HTI","Latin America and the Caribbean","Latin America and the Caribbean","","Least developed countries","Caribbean","SIDS","Latin America and Caribbean","Latin America and Caribbean","","Least developed countries","","","","Americas","Latin America and the Caribbean","Latin America and the Caribbean (excluding high-income)","Middle income","Lower middle income","Low and middle income","Latin America and the Caribbean","","Least developed countries","Excluding China","","","","","Countdown","","","","Fragile","Fragile","Fragile","Fragile","Fragile","Fragile","Extremely Fragile","Fragile","Fragile and Conflict-affected Situation","Fragile and Conflict-affected Situation","Medium-intensity Conflict","USAID","Americas","Latin America and the Caribbean","Caribbean","Latin America and the Caribbean","","Least developed countries","Small island developing States","","","Latin America and the Caribbean (MDG=M49)","Latin America and the Caribbean (MDG=M49)","Caribbean (M49)","Latin America and the Caribbean (MDG=M49)","Least developed countries (LDCs)","Small island developing States (SIDS)","HAC","HAC","Global Strategy","Non conflict","Latin America and Caribbean","","Latin America and Caribbean","","Low income","Low and middle income","Latin America and Caribbean","","Low income","Low and middle income","Latin American and Caribbean Group (GRULAC)","","GAVI","","ECLAC_All countries","","","ECLAC_Latin America","","","","","","","","ESCAP_Latin America (LAC)","","","Latin America and Caribbean","Non-humanitarian","Fragile","Latin America and the Caribbean","Latin America and Caribbean","LiST","","LiSTSBR","","","","","","","","","","",2.91882698081281,3.34295407328915,2.70676343457464,,-0.63619063871451,58.3408058669358,28.4157714067643,41.8039490656734
