"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","Under.five.deaths.median","Infant.deaths.median"
"Adhoc",1989,1144938,269479,100,100,182.726352743029,143.74838855087,52139,41319
"World",1989,309522077,65165079,100,100,92.9834027712764,61.1099330596645,6189332,4111082
"Adhoc",1990,1173503,274833,100,100,176.356905735839,139.185705615488,51946,41408
"World",1990,313231065,65744225,100,100,91.0706420734043,59.931289907811,6111870,4069066
"Adhoc",1991,1203223,281380,100,100,169.949929191022,134.842571157247,51121,40924
"World",1991,314722278,64789010,100,100,90.4474747567839,59.9849031422293,6003601,3981829
"Adhoc",1992,1317083,308151,100,100,163.973428100939,130.636167109963,50522,40652
"World",1992,313608566,63209143,100,100,89.9328613963578,59.3638358116631,5839493,3857621
"Adhoc",1993,1495602,349583,100,100,158.281437966797,126.650324873176,52737,43124
"World",1993,311651920,62602029,100,100,88.8093983007435,58.6521532207405,5708382,3773386
"Adhoc",1994,1641659,382273,100,100,152.937592351218,122.943101740481,56755,47247
"World",1994,309125468,62258618,100,100,87.1447657339168,57.6683263565574,5563162,3691896
"Adhoc",1995,1738947,401806,100,100,148.017072382958,119.567907134864,59530,49878
"World",1995,305851949,62102761,100,100,85.34569142737,56.6175075866556,5421049,3612845
"Adhoc",1996,1821395,416814,100,100,143.259340945155,116.164005094929,60653,50673
"World",1996,303383927,61976295,100,100,84.3092083476771,55.9435299436839,5330842,3559347
"Adhoc",1997,1897668,430248,100,100,138.769101005295,113.03323184102,61261,50981
"World",1997,302253126,61818878,100,100,82.2454861936639,54.7549762835967,5184329,3473821
"Adhoc",1998,1969059,442392,100,100,134.7974913769,110.36793656274,61578,51146
"World",1998,301587808,61749252,100,100,80.7456637278058,53.7823491852603,5081165,3407870
"Adhoc",1999,2036179,454164,100,100,130.874501973664,107.783357771297,61583,51249
"World",1999,301333298,61812617,100,100,77.2637518034024,51.8378836627172,4860679,3284675
"Adhoc",2000,2048694,454469,100,100,126.845692807043,105.029622677292,61235,51179
"World",2000,301748264,62320713,100,100,74.592238544306,50.1653872196198,4719707,3210699
"Adhoc",2001,2047750,451475,100,100,122.73631019084,102.201298377185,59382,49637
"World",2001,302755736,62735482,100,100,72.2625596198681,48.9054880335603,4589594,3136591
"Adhoc",2002,2137463,468248,100,100,118.557091882659,99.2309078890674,57079,47746
"World",2002,304098063,62792302,100,100,69.2819601997824,47.0635188099259,4403721,3023615
"Adhoc",2003,2247745,488433,100,100,113.996101278114,95.846896575955,56451,47617
"World",2003,305726852,62985646,100,100,66.2924205034019,45.2569689253418,4228045,2916019
"Adhoc",2004,2298803,495319,100,100,109.267412125053,92.3631517483677,55998,47671
"World",2004,307551678,63312712,100,100,63.630827329936,43.4410080314643,4082468,2815342
"Adhoc",2005,2345150,502317,100,100,104.668674506305,88.861964117157,54366,46476
"World",2005,309222819,63706712,100,100,60.1351036513592,41.4179883602875,3880651,2698187
"Adhoc",2006,2403302,512407,100,100,100.136717199055,85.4183717813095,52727,45244
"World",2006,310923748,64199865,100,100,57.3219708185919,39.642776594932,3726114,2604674
"Adhoc",2007,2406205,511049,100,100,95.7521955244339,82.0298925894604,51366,44235
"World",2007,313248059,64898875,100,100,54.7503416732001,38.0444036674542,3596313,2527146
"Adhoc",2008,2417553,514684,100,100,91.3935516493248,78.637439577803,49307,42547
"World",2008,316293824,65753000,100,100,52.4868380618536,36.611834257621,3488596,2461079
"Adhoc",2009,2470652,528554,100,100,87.2353880964794,75.3914965432515,47579,41234
"World",2009,319775427,66531561,100,100,50.7188442887276,35.4701470264746,3402441,2406481
"Adhoc",2010,2510830,538359,100,100,83.3715801408056,72.3831753991725,46523,40561
"World",2010,323229794,66939999,100,100,48.4331111097174,34.2359648747101,3272192,2336117
"Adhoc",2011,2577063,553951,100,100,79.6689093412472,69.4379976126174,45346,39719
"World",2011,326449331,67191988,100,100,47.3432967631144,33.4674396494589,3211715,2292341
"Adhoc",2012,2661043,571887,100,100,76.171277144963,66.6758299073703,44497,39193
"World",2012,329658969,67877430,100,100,44.5340991528143,31.6788009201221,3059304,2200971
"Adhoc",2013,2732602,586091,100,100,73.030685845657,64.1368942638085,43910,38837
"World",2013,332408968,68233768,100,100,42.8474144759731,30.7143141385074,2952719,2130478
"Adhoc",2014,2811655,601542,100,100,70.0502663570458,61.7811953609147,43087,38257
"World",2014,334353161,68165835,100,100,41.7037348423052,29.7961658704329,2879294,2072869
"Adhoc",2015,2876891,612856,100,100,67.345881084655,59.6477277232421,42409,37806
"World",2015,335758777,68095481,100,100,40.6445630470889,29.1803732561219,2797300,2015344
"Adhoc",2016,2923569,620487,100,100,64.9315105166635,57.7191110359993,41616,37192
"World",2016,336926538,68103889,100,100,39.5024227718751,28.3556826321052,2724680,1965691
"Adhoc",2017,2978658,630836,100,100,62.6101916827306,55.8621419838048,40689,36453
"World",2017,337341917,68057951,100,100,38.6331974380516,27.7581510565899,2660422,1915882
