"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","Under.five.deaths.median","Infant.deaths.median"
"Low and middle income",2001,279001699,58060951,100,100,82.5916261271454,59.1466042460705,4897860,3539196
"World",2001,323582929,67089428,100,100,76.2239103223218,54.6254810849519,5200713,3759999
"Low income",2002,30352738,6708709,100,100,145.527050897328,91.3788852860617,1004234,643581
"Lower middle income",2002,150307030,31633942,100,100,91.0906007455815,65.9184142669582,2969284,2168706
"Upper middle income",2002,99689674,19737796,100,100,35.9535263497477,29.4421651054384,726326,591429
"High income",2002,36284710,7200135,100,100,9.47757012650063,7.85003303655374,68224,56436
"Low and middle income",2002,280349442,58080447,100,100,79.2306846145567,56.8466169490249,4699907,3403746
"World",2002,325052995,67095719,100,100,73.167217611082,52.532980269416,4993276,3618836
"Low income",2003,31167491,6861751,100,100,138.126207701202,87.2343572671659,971618,627040
"Lower middle income",2003,151752707,31681796,100,100,87.6650127856339,63.7194457701626,2866444,2098509
"Upper middle income",2003,98983352,19649736,100,100,33.9467340442628,27.765571504222,680218,553717
"High income",2003,36334127,7251120,100,100,9.20078421224035,7.62017827199326,66399,55049
"Low and middle income",2003,281903550,58193283,100,100,76.0452789241872,54.7199753824857,4518343,3279298
"World",2003,326804704,67281544,100,100,70.1910549044195,50.5384755446045,4802165,3488628
"Low income",2004,31940169,7007564,100,100,133.358725827067,84.3733977750453,960031,620249
"Lower middle income",2004,153002561,31725218,100,100,84.7755430010166,61.9493588023148,2778896,2042476
"Upper middle income",2004,98685412,19746266,100,100,32.8198353536645,26.4344385690042,657770,529100
"High income",2004,36428847,7314066,100,100,8.88017574921907,7.3554187388828,64625,53707
"Low and middle income",2004,283628141,58479047,100,100,73.5905923993878,52.9408987619135,4396752,3191850
"World",2004,328767956,67652070,100,100,67.8609565929288,48.8806014936226,4670722,3395247
"Low income",2005,32719693,7165765,100,100,123.147112066874,78.5271040473067,904519,589870
"Lower middle income",2005,153890718,31730272,100,100,81.5520622165746,59.8977110047502,2672689,1971365
"Upper middle income",2005,98536183,19966357,100,100,30.2857869441079,24.6703983831958,610659,498765
"High income",2005,36513276,7338571,100,100,8.56376103474565,7.09801000033375,62538,51981
"Low and middle income",2005,285146594,58862394,100,100,69.719372971641,50.5037378726517,4187918,3060022
"World",2005,330518039,68089064,100,100,64.3424390691112,46.6759269101807,4452223,3257571
"Low income",2006,33557078,7348398,100,100,117.029365991354,75.0935425536661,879506,578053
"Lower middle income",2006,154448200,31779628,100,100,78.6565540623155,58.0901906478637,2579864,1913949
"Upper middle income",2006,98620483,20165361,100,100,28.5586779120217,23.2340269952874,580450,474900
"High income",2006,36633453,7404039,100,100,8.22585782628904,6.82486244218188,60718,50540
"Low and middle income",2006,286625761,59293386,100,100,66.8358425297855,48.6182746380294,4039868,2966921
"World",2006,332260146,68607994,100,100,61.6131821163521,44.8664243061552,4294258,3158251
"Low income",2007,34402244,7534410,100,100,111.973528013595,72.0715729667143,863289,569359
"Lower middle income",2007,154989546,31946343,100,100,75.7171729027203,56.215940760223,2492326,1859840
"Upper middle income",2007,99211877,20400808,100,100,26.8299649366415,21.8729255185658,551608,452625
"High income",2007,36964115,7548127,100,100,7.96172536509432,6.61651111460839,59780,49921
"Low and middle income",2007,288603667,59881560,100,100,64.0662229477735,46.7774559647708,3907270,2881845
"World",2007,334692169,69349554,100,100,58.9720133814591,43.1133260492143,4152384,3067251
"Low income",2008,35299504,7727652,100,100,107.150208220332,69.3167631690514,847736,561349
"Lower middle income",2008,155691093,32201599,100,100,73.4760280836478,54.6636011942707,2433421,1820666
"Upper middle income",2008,100268235,20717912,100,100,25.1582703901543,20.5685499778538,524892,431945
"High income",2008,37433041,7688541,100,100,7.69938642323109,6.3951955739142,58859,49256
"Low and middle income",2008,291258831,60647163,100,100,61.6936728814699,45.1376801292777,3806085,2813978
"World",2008,337920172,70258262,100,100,56.7228266321476,41.573532662902,4042021,2993414
"Low income",2009,36251209,7919358,100,100,108.202752713155,68.9681515219633,876005,570644
"Lower middle income",2009,156627939,32517521,100,100,70.4168854952448,52.8360990841362,2349981,1775612
"Upper middle income",2009,101570603,21002229,100,100,23.6311111612419,19.3680445437179,499354,412076
"High income",2009,37880288,7741661,100,100,7.48107053236968,6.216764017308,57528,48112
"Low and middle income",2009,294449750,61439107,100,100,59.7502574611851,43.7565278420617,3725376,2758347
"World",2009,341634172,71097607,100,100,54.9354599159785,40.3312989498139,3951381,2930894
"Low income",2010,37202281,8095558,100,100,100.643404712958,65.7947244213111,833654,556320
"Lower middle income",2010,157754823,32725434,100,100,68.0268306339465,51.1868764240701,2282947,1729534
"Upper middle income",2010,102766012,21102663,100,100,22.2862602611985,18.3827224152849,473037,391491
"High income",2010,38230540,7686672,100,100,7.24676576322725,6.01449744961689,55778,46486
"Low and middle income",2010,297723116,61923655,100,100,57.1314061349626,42.2125371023348,3589669,2677359
"World",2010,345303748,71525639,100,100,52.5723988052535,38.9269757029938,3806088,2843187
"Low income",2011,38125965,8251947,100,100,104.210255226861,67.4572201809074,881462,580959
"Lower middle income",2011,158913737,32815377,100,100,65.4477735908052,49.5143262818142,2203188,1677110
"Upper middle income",2011,103801393,21137906,100,100,21.1634952600137,17.5169902357362,450326,373510
"High income",2011,38463673,7623758,100,100,7.07395343378803,5.86979938872103,54154,44950
"Low and middle income",2011,300841094,62205229,100,100,55.979968749687,41.2915997649889,3535004,2631591
"World",2011,348687805,71753845,100,100,51.5107647628117,38.0962724185829,3742977,2791743
"Low income",2012,39015335,8407234,100,100,94.5444147204074,62.3073409937134,814568,546084
"Lower middle income",2012,159971616,32885093,100,100,63.1972983963441,47.9311771528808,2133939,1627600
"Upper middle income",2012,105092190,21612305,100,100,19.9282797577645,16.4866391616526,434770,361816
"High income",2012,38552671,7628663,100,100,6.9084810065756,5.74109395904825,52805,43848
"Low and middle income",2012,304079140,62904631,100,100,52.8352568964262,39.1737772362369,3383299,2535509
"World",2012,352041339,72462260,100,100,48.698702220469,36.1999346374394,3583119,2690243
"Low income",2013,39869501,8562303,100,100,90.9692629066043,60.3421744425453,797724,538277
"Lower middle income",2013,160811960,32914110,100,100,61.0610694172924,46.4405085213599,2064787,1577084
"Upper middle income",2013,106238707,21780724,100,100,19.0645509667543,15.801811169492,416167,346135
"High income",2013,38499833,7611922,100,100,6.74778819277255,5.60583837793441,51427,42716
"Low and middle income",2013,306920167,63257136,100,100,51.0789822139777,38.1217313955284,3278698,2461504
"World",2013,354848986,72795851,100,100,47.0966090831639,35.235457323551,3470536,2610768
"Low income",2014,40656585,8684621,100,100,91.7030503965045,60.6668246372243,816915,548177
"Lower middle income",2014,161214081,32774594,100,100,59.12831441665,45.0921640705613,1991167,1521390
"Upper middle income",2014,106942668,21646111,100,100,18.1065117565122,14.9884077310476,395621,328217
"High income",2014,38437765,7598157,100,100,6.55899397020498,5.44865542788934,49858,41417
"Low and middle income",2014,308813333,63105326,100,100,49.8830302957746,37.094478194796,3203722,2397790
"World",2014,356718074,72645401,100,100,45.9485380513484,34.258403532781,3388627,2542579
"Low income",2015,41375265,8797930,100,100,90.364995695409,59.9924449535158,817932,550064
"Lower middle income",2015,161290302,32714211,100,100,57.3561206110437,43.7006368466427,1926985,1472693
"Upper middle income",2015,107268253,21390032,100,100,17.4037050651553,14.431696144085,374391,309660
"High income",2015,38465684,7617361,100,100,6.3589812829401,5.28250621580603,48478,40313
"Low and middle income",2015,309933820,62902172,100,100,48.8463783472837,36.4239170982484,3119320,2332421
"World",2015,357938737,72496238,100,100,44.9370948512405,33.6005382936868,3299053,2474196
"Low income",2016,42078292,8928501,100,100,88.9554851602599,59.3412132476369,818335,551277
"Lower middle income",2016,161337954,32763327,100,100,55.6154989262406,42.4722822867086,1869976,1430958
"Upper middle income",2016,107238693,21104701,100,100,16.5891913564564,13.7315356498549,355931,293762
"High income",2016,38497493,7603667,100,100,6.15509855259144,5.11397747361843,46828,38913
"Low and middle income",2016,310654938,62796529,100,100,47.5799854233239,35.4137217004285,3044253,2276001
"World",2016,358792297,72418119,100,100,43.7865157105021,32.7054420703429,3220348,2415972
"Low income",2017,42800479,9089565,100,100,88.9040384689173,59.1607814744425,832621,559941
"Lower middle income",2017,161127788,32559573,100,100,54.1750762429344,41.4523930761288,1809513,1383726
"Upper middle income",2017,106694667,21089653,100,100,15.7847710357222,13.049516161028,336741,277427
"High income",2017,38335418,7457515,100,100,5.97477495141252,4.96592718446613,44832,37147
"Low and middle income",2017,310622933,62738791,100,100,46.6681968712553,34.7422884443783,2978887,2221098
"World",2017,358724678,72252781,100,100,42.9831628928296,32.1264494691245,3150015,2357691
"Low income",2018,43574101,9274499,100,100,83.1956910823617,56.2448131349385,790060,541583
"Lower middle income",2018,160644530,32373703,100,100,52.8292181566971,40.4264494721058,1753715,1341315
"Upper middle income",2018,105018467,20128190,100,100,15.5752822171004,12.9379019873858,314427,257744
"High income",2018,37965028,7243341,100,100,5.82165188778316,4.84381066557423,42720,35280
"Low and middle income",2018,309237097,61776392,100,100,45.7184518290199,34.3457526931781,2858211,2140644
"World",2018,357121326,71112828,100,100,42.1139283566884,31.739491965903,3024894,2274039
"Low income",2019,44435945,9466062,100,100,82.2101014110646,55.5109189541824,794682,544774
"Lower middle income",2019,160223541,32250968,100,100,51.5614810637556,39.5181234626265,1703266,1303053
"Upper middle income",2019,102316710,18986455,100,100,15.1585824803081,12.5774260632158,293199,239414
"High income",2019,37433147,7071895,100,100,5.69664651526813,4.73915774006199,40803,33606
"Low and middle income",2019,306976195,60703484,100,100,45.2940873828391,33.8843842968323,2791156,2087243
"World",2019,354508279,69909523,100,100,41.7396360925092,31.3491300743279,2954419,2218090
"Low income",2020,45369481,9661556,100,100,79.2060464483164,54.2399462542551,781002,542520
"Lower middle income",2020,159630567,31960449,100,100,50.3972603742859,38.6710875297425,1649558,1262613
"Upper middle income",2020,98680278,17796681,100,100,15.1911636607095,12.6854962993609,272647,222106
"High income",2020,36632407,6871133,100,100,5.58855866028418,4.6511460697055,38957,32027
"Low and middle income",2020,303680325,59418686,100,100,44.9758389429469,33.9151532619015,2703212,2027239
"World",2020,350606990,68459599,100,100,41.4312461753785,31.3425995968791,2862677,2155244
"Low income",2021,46323828,9851490,100,100,78.5407513320892,53.8242745853931,789389,548640
"Lower middle income",2021,158802609,31785971,100,100,49.3334519775284,37.9380434672908,1604943,1232078
"Upper middle income",2021,94045809,16478350,100,100,15.0462327121916,12.5688533135962,253148,205890
"High income",2021,35694020,6763455,100,100,5.52151417675628,4.59551197604961,37778,31100
"Low and middle income",2021,299172246,58115810,100,100,44.9244508020784,33.7922040504048,2647487,1986609
"World",2021,345352278,67075482,100,100,41.9356495980439,31.5295272222692,2845365,2135824
"Low income",2022,47240472,10033856,100,100,81.8972701921973,55.0664813730216,837608,571794
"Lower middle income",2022,158194633,31851086,100,100,48.2973107518153,37.127302618872,1570959,1209579
"Upper middle income",2022,88627706,15664544,100,100,14.8702548670475,12.4279055404777,237975,194188
"High income",2022,34938837,6708598,100,100,5.5230568996868,4.60411374258344,37147,30675
"Low and middle income",2022,294062810,57549486,100,100,45.4137004858769,33.860747465246,2646547,1975562
"World",2022,339669380,66478172,100,100,42.328868069485,31.5840598431207,2840613,2121858
"Low income",2023,48175514,10232104,100,100,75.6342679259115,52.1685537376791,788702,551961
"Lower middle income",2023,157862749,31967285,100,100,47.2653661802385,36.3298006656688,1539767,1187212
"Upper middle income",2023,83638207,15097986,100,100,14.8170164280703,12.2696494437433,228851,185903
"High income",2023,34299572,6576591,100,100,5.52459103734537,4.60210306799756,36445,30130
"Low and middle income",2023,289676470,57297375,100,100,44.0539883149238,33.0634632583511,2557322,1925074
"World",2023,334811553,66118208,100,100,40.6936248599845,30.6357964120977,2717726,2051611
"Low income",2024,49166866,10437190,100,100,73.8349779936227,51.1209574002716,784210,550869
"Lower middle income",2024,157690623,32040231,100,100,46.1469055316223,35.4967315001538,1505581,1163037
"Upper middle income",2024,79596883,14856957,100,100,14.1961387599576,11.8379211007563,214993,177155
"High income",2024,33731819,6501146,100,100,5.50361193484705,4.58166315487601,35907,29737
"Low and middle income",2024,286454371,57334377,100,100,43.1508960609485,32.4020191312591,2504787,1891063
"World",2024,331170022,66106761,100,100,39.7128438795002,29.9354294369655,2651367,2009270
