"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","Under.five.deaths.median","Infant.deaths.median"
"High income",1963,46586284,9387189,91.96,91.54,45.9841466455779,37.4485497186152,441859,358871
"Low and middle income",1963,179477383,44402673,58.92,54.54,212.247376212086,141.698358218948,9689171,6744290
"World",1963,229015437,54478431,65.3,60.6,185.500947922997,125.072395018206,10285787,7197518
"Low income",1964,11319250,2694547,67.72,67.58,263.672962753275,157.887966577258,764181,464820
"Lower middle income",1964,78869640,18050741,93.91,93.95,225.201190745214,145.588637169195,4359282,2851623
"Upper middle income",1964,98072684,25018663,34.77,30.61,,,,
"High income",1964,46467302,9334200,91.75,91.36,43.7283814462827,35.7187850202967,417505,339726
"Low and middle income",1964,188261574,45763950,61.53,57.77,208.266604577917,138.603101825546,9807944,6769304
"World",1964,237781400,55807876,67,63,182.477768504663,122.088031071458,10386531,7209285
"Low income",1965,11639565,2763582,70.21,69.96,262.698932299439,155.036387411471,779130,467591
"Lower middle income",1965,80588330,18337460,93.92,93.96,221.828509880524,143.665298287582,4371718,2859065
"Upper middle income",1965,104671455,24314233,33.35,31.9,,,,
"High income",1965,46125867,9172789,91.56,91.26,41.8769184166927,34.3043403271106,393498,320389
"Low and middle income",1965,196899350,45415275,60.32,59.28,207.799517159389,137.522087261622,9882812,6674792
"World",1965,246176709,55319130,65.8,64.1,182.210904846388,121.415857598598,10445419,7096565
"Low income",1966,11983983,2842697,74.53,74.68,269.843406919946,157.678304406829,824070,489143
"Lower middle income",1966,82172119,18589019,93.92,93.98,218.591058724606,141.863856767669,4373629,2862689
"Upper middle income",1966,111352124,24257311,32.02,32.41,,,,
"High income",1966,45504967,8891360,91.37,91.07,40.5321536084518,33.3247485306125,368139,299745
"Low and middle income",1966,205508226,45689027,59.25,60.09,202.707761365199,135.086384629729,9801919,6590300
"World",1966,254256972,55329760,65.5,65.6,178.557913066046,119.825473570842,10343738,6996939
"Low income",1967,12362931,2936527,74.58,74.77,264.886545576656,155.063581438491,832132,496189
"Lower middle income",1967,83700729,18884147,94.01,94.09,215.583195657872,140.000880856207,4379354,2867984
"Upper middle income",1967,115307253,23806217,31.54,33.49,,,,
"High income",1967,44883084,8823519,91.25,91.14,39.2435932544787,32.2812883825276,353624,289312
"Low and middle income",1967,211370913,45626890,58.79,61.23,199.426732009109,132.756281157395,9711074,6455918
"World",1967,259591156,55220218,64.9,66.5,175.619009441612,117.348672668168,10242721,6855209
"Low income",1968,12751170,3022270,74.62,74.77,265.977269019527,156.300172094303,858403,512564
"Lower middle income",1968,85243709,19237460,96.5,96.57,220.864005781311,142.561915835029,4565537,2969864
"Upper middle income",1968,115995777,24530434,31.87,32.85,,,,
"High income",1968,44404605,8869578,98.62,98.5,37.6468749610883,31.0310799543872,339179,279196
"Low and middle income",1968,213990656,46790164,60.16,61.76,200.480415021645,133.016609471497,9941721,6635154
"World",1968,261832865,56451627,67.2,68.1,176.837773505671,118.23001679938,10463316,7027425
"Low income",1969,13139214,3096642,91.71,91.91,261.841383950679,151.350071026945,861830,508171
"Lower middle income",1969,86867602,19598616,96.53,96.59,216.647597022612,140.354666942942,4549274,2968220
"Upper middle income",1969,116729046,25480550,92.16,92.44,133.559421666882,99.7538027855,,
"High income",1969,43930361,8825880,98.6,98.5,35.9267704553474,29.5747129025756,322460,265544
"Low and middle income",1969,216735862,48175807,93.89,94.1,176.949734240963,120.096604331764,8918791,6135695
"World",1969,264202827,57812996,94.8,94.9,157.191917002295,107.176351117483,9428275,6517528
"Low income",1970,13536476,3176542,91.72,91.86,258.425757761037,149.580636601145,871054,514922
"Lower middle income",1970,88554471,19954788,96.55,96.6,216.494183264283,139.677137035513,4619486,3007068
"Upper middle income",1970,118159579,25592101,92.18,92.35,128.211232751581,96.1700478027976,,2586158
"High income",1970,43656634,8882813,98.57,98.49,34.2052569766906,28.2435271098136,308100,254837
"Low and middle income",1970,220250526,48723430,93.91,94.06,174.070653600209,117.896536210296,8894338,6108132
"World",1970,267543660,58438747,94.8,94.8,154.732853345919,105.26982118591,9394120,6482625
"Low income",1971,13931022,3253798,91.69,91.8,255.168314499884,148.603468799264,880873,523141
"Lower middle income",1971,90284566,20349912,96.57,96.61,214.176992861398,137.204451943896,4656344,3016157
"Upper middle income",1971,119514447,25483472,96.7,96.71,123.46199308497,93.5971587629086,,2493767
"High income",1971,43761461,8952800,98.63,98.53,32.6862135262702,26.9677858465271,294991,243876
"Low and middle income",1971,223730035,49087181,96.33,96.34,171.033203469252,116.050793220757,8808339,6033050
"World",1971,271228997,58894720,96.8,96.7,152.010184286428,103.516890098263,9299997,6400244
"Low income",1972,14310831,3333936,96.37,96.4,249.972960450464,144.673201843465,882197,521932
"Lower middle income",1972,92166268,20804302,96.88,96.93,200.419927106685,131.214013467379,4429615,2946256
"Upper middle income",1972,120775688,24948126,96.71,96.6,118.827740146202,90.3245372515035,,2354269
"High income",1972,43871873,8876238,99.46,99.44,31.6139912508528,26.4770910143067,281969,235674
"Low and middle income",1972,227252786,49086363,96.75,96.73,163.427938625024,111.968359117261,8417879,5822439
"World",1972,274957225,58838002,97.2,97.2,146.199577277633,100.569176682323,8932991,6201496
"Low income",1973,14684476,3397767,96.37,96.39,241.825729189694,141.548689154286,868874,517785
"Lower middle income",1973,94246355,21282455,96.92,96.99,196.354034320999,128.934548652344,4431086,2955708
