"Country.Name","ISO.Code","Quantile","Indicator","Subgroup","X1931.5","X1932.5","X1933.5","X1934.5","X1935.5","X1936.5","X1937.5","X1938.5","X1939.5","X1940.5","X1941.5","X1942.5","X1943.5","X1944.5","X1945.5","X1946.5","X1947.5","X1948.5","X1949.5","X1950.5","X1951.5","X1952.5","X1953.5","X1954.5","X1955.5","X1956.5","X1957.5","X1958.5","X1959.5","X1960.5","X1961.5","X1962.5","X1963.5","X1964.5","X1965.5","X1966.5","X1967.5","X1968.5","X1969.5","X1970.5","X1971.5","X1972.5","X1973.5","X1974.5","X1975.5","X1976.5","X1977.5","X1978.5","X1979.5","X1980.5","X1981.5","X1982.5","X1983.5","X1984.5","X1985.5","X1986.5","X1987.5","X1988.5","X1989.5","X1990.5","X1991.5","X1992.5","X1993.5","X1994.5","X1995.5","X1996.5","X1997.5","X1998.5","X1999.5","X2000.5","X2001.5","X2002.5","X2003.5","X2004.5","X2005.5","X2006.5","X2007.5","X2008.5","X2009.5","X2010.5","X2011.5","X2012.5","X2013.5","X2014.5","X2015.5","X2016.5","X2017.5","X2018.5","X2019.5","X2020.5","X2021.5","X2022.5","X2023.5","X2024.5"
"Afghanistan","AFG","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7117836470059,57.655904806045,60.15720320412,60.9421743099623,61.1518539754132,60.2925122557622,58.8028812463935,56.4887336613375,53.3017912252527,50.2176772413972,46.7443789652659,43.3958052743821,40.5255424290815,37.4956509669393,34.7038135643534,32.0330788719654,30.1586716459598,28.4645074024736,39.5893402475424,39.1848454732616,39.3357137888994,23.9931219368186,30.1532559677963,26.0389651928941,25.165007258272,24.328562539193,27.0573497956022,22.117182038059,21.8681152174365,21.0361433578081,16.9002804228956,16.0376065905318,15.308950549251,14.7840368280068,17.1088647609571,18.790421915414,18.2507387369134,18.2326403149649,19.2969617660197,20.3908046132338,21.2628529583608,19.9394724678544,23.1248451090258,23.7386142334951,22.9969631962579,26.1792550153671,25.4294721764524,22.744615854352,20.639419554692,21.2693294396657,12.8022604743825,11.9130513422348,11.0825510001913
"Afghanistan","AFG","Median","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.9668153865043,82.5001009785176,83.187746043605,83.9025976002616,84.2739069865834,84.5427370773109,84.0770584634397,83.1949727662413,82.0967355019242,80.1264962188286,77.6926436382007,74.8211457882612,71.7504630297697,68.7172276431717,65.0289149069135,61.5383984222618,57.9563233140718,54.3111876867154,74.50265448487,71.9205489201975,70.2050540675681,41.1724738377063,49.7563333221626,41.3094595396909,38.163077097863,35.1991280563865,37.3626074077252,29.1289546922548,27.8531665069246,26.0947999263541,20.6719361092778,19.3969342346804,18.3961398006765,17.7220934021325,20.4833574589388,22.4825582190895,21.7848179408947,21.6528697121187,23.1399106005253,24.8027905258199,26.5710642484728,25.9177091484074,31.5564704641571,34.523051908074,35.5228686385617,43.1571010920442,45.2007437172075,42.9026730804203,41.2699063742127,44.9057041230916,28.6752553829198,28.1823737838624,27.7865597266622
"Afghanistan","AFG","Upper","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.765933088244,122.381335193025,118.631398583772,117.391353269095,117.516049278873,119.132510010406,120.999838939602,124.841551200103,130.185678915413,135.924963317019,142.383064738115,146.755838466751,148.261808688199,148.646505711947,148.326764884748,145.156057476586,137.143206372417,128.760106823475,176.533748053513,164.095659805961,154.459047786395,85.4231880071653,97.3649525735794,74.8349826977732,64.6883976268565,54.953230873649,54.1859772791951,39.8077068672909,36.2388319870932,32.7643377941357,25.3038931588658,23.3324229659174,21.906698703623,21.1519249926603,24.3935484554335,26.7031579329487,25.8668768218725,25.8014923655462,27.955739522532,30.6401824073824,33.7649743637901,34.1923646516269,43.9438728537951,50.9555422006805,56.0566004225909,72.6289359388307,81.2459303246052,82.4443515196278,84.80925960174,98.5025953785659,66.6279358835904,69.6222390710638,70.7636684281627
"Albania","ALB","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.20042741557095,6.9827901382631,7.68865552546774,8.2894499740028,8.75877481921479,9.08573367637211,9.29205766490548,9.44275830878014,9.58442682520618,11.926551863457,9.4077630610594,9.00223875692524,8.42135293301662,7.73584232512327,7.04625711025213,6.46901221531578,6.01497894485825,5.68954054530672,5.48559632196515,5.36332540786521,5.31571141354944,5.29906794521872,5.29591356054622,5.27133964608318,5.17254153158828,4.9602419401528,4.6743082452504,4.35205484420336,4.05519573447798,3.80265025604725,3.60616329161378,3.44853015466572,3.29419192363343,3.13435726120959,3.34439262775652,3.11157193764075,2.48606792391142
"Albania","ALB","Median","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83296922869662,7.41318084770463,8.00521351765558,8.57674093239784,9.06139294204688,9.39653025897999,9.60513162480019,9.77376414545529,9.9279756870408,12.3778385696342,9.74854955988706,9.31046460885339,8.70527367529045,8.03433959076319,7.41858581647499,6.94096261429324,6.61052452644103,6.37697554036195,6.22888697972208,6.12345323820692,6.04613843526741,5.96542672470238,5.86111227469719,5.71443991868655,5.50799239569343,5.22778084952314,4.90558318750413,4.57900533570778,4.27630443023852,4.02697539793545,3.83803218196123,3.70193225182015,3.59852646021845,3.5223218707642,3.90524396685249,3.85879045368159,3.3267096196477
"Albania","ALB","Upper","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51488523845809,7.86089697593313,8.33924251473103,8.88195698877674,9.37649119704488,9.71846001469141,9.93072839387449,10.1258166344104,10.2855967897238,12.8473936358167,10.0931554199162,9.62271933482959,9.01419125646238,8.35726480426136,7.8228453348152,7.45065833533721,7.2453608524742,7.1217098338712,7.03410343540537,6.96198311434336,6.86363496043013,6.70637662543949,6.48940266358545,6.19201030400634,5.86384492154197,5.50587174041794,5.14691244799861,4.81567187337877,4.51148773572721,4.26044634690136,4.07622174481742,3.96940678817806,3.93189719567767,3.95994889104015,4.56190971824435,4.7832286820966,4.47635491467581
"Algeria","DZA","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5590647565414,22.5071923082576,20.9232006492933,19.293113013031,17.6936650369883,16.1289904655974,14.7403786127708,13.6362658599304,12.7382051232251,12.0043970070059,11.4370987907571,11.0262531138919,10.756355872044,10.6042893858445,10.5849331787981,10.6866931155344,10.8551235216072,10.9132807817922,10.547100656376,10.1370474568046,9.84242540050646,9.67369085134381,9.6151144078758,9.65047789608246,9.73974168321835,12.3508032810917,11.4341478297166,9.93714952656448,11.3023770809133,11.5340577517855,9.24932807776563,8.83963869315428,8.41841605466271,7.96595122078013,7.54083677563097,7.15168452844274,6.87781725119854,6.68016298398333,6.52245080994833,6.39179995321915,6.25636867511277,6.15552576837601,6.08182209826115,6.0488422740501,6.064566926163,6.06434031269066,6.04559706691444,5.98367094254082,5.8877974770846,5.78272525547087,5.66835416083091,5.5945753920588,5.5765449642855,5.64645710159786,5.75110433621069,5.70393867816596
"Algeria","DZA","Median","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8508159440138,34.4375646755399,31.2696738743214,28.4368617893566,25.8370536380347,23.5964545347,21.6169534756465,19.8119850404878,18.2513742545792,16.8705635872047,15.666676176913,14.6497338869246,13.7762744729813,13.0632752163452,12.4657493999867,11.9863818022098,11.6175991312559,11.3501191063575,11.1968077234136,11.1209792652947,11.09342110276,11.1143550085572,11.1527529687713,11.1729800465834,11.1536525337617,13.9194970747007,12.6176721715429,10.7225672737441,11.9321929484244,11.9678688168328,9.51406891706429,9.06156848864526,8.60886413361871,8.15069220942078,7.69607634994288,7.30876918085545,7.02396904162992,6.82280716286229,6.66440636015782,6.52298266716837,6.39335196341591,6.28567523814241,6.21049975121968,6.18218263277605,6.19739793747166,6.2155083290201,6.19479074547397,6.12742904715541,6.02378570234827,5.90441783615611,5.80144256907869,5.7469543296247,5.75617672043155,5.83921717998161,5.98467890464545,6.12126541760392
"Algeria","DZA","Upper","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5084109017242,52.9521596066933,46.6329607374603,41.5739588817915,37.7142671595222,34.2047937876139,31.2863801477207,28.3738870873032,25.7223728159479,23.357058867659,21.2041419098844,19.2830537780877,17.5298925034027,15.9560874953218,14.5515138756221,13.3513585141744,12.3966774219662,11.8300333175154,11.8967644590659,12.2255699123102,12.5989675341681,12.8714310786629,13.0115607779622,13.033653874188,12.9054644761343,15.8360324282465,13.986140133076,11.5838219909788,12.5973161671237,12.4163205111798,9.79017502176814,9.28610839462276,8.8041345782774,8.33398973378866,7.8555567330374,7.46563132055092,7.16982778793069,6.97197515543763,6.8139635749514,6.65526627354144,6.53925327098856,6.42254869597408,6.34456487449561,6.31822856048855,6.33527680795033,6.3740474921,6.34669720407336,6.27039349517583,6.16081906977916,6.02469509885229,5.93696697082324,5.90567299474859,5.94716991643042,6.04510884602833,6.23506956687508,6.57339565012608
"Andorra","AND","Lower","Under-five Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9498282759072,6.67973242028387,6.42029661327559,6.19219213891761,5.95983324100437,5.74652860423784,5.55036681073418,5.35187995152751,5.1719838509874,5.00961649568276,4.83625200075805,4.67908562592996,4.52177098530281,4.36941104203171,4.22804276284727,4.09994254168765,3.95885680350192,3.82045616545493,3.68531670990017,3.56395700750696,3.43940612121379,3.32830529321107,3.2110872793248,3.10418429119029,3.00032659081948,2.89196816603399,2.81047419800045,2.73324887817253,2.66077236119031,2.59667675951399,2.5355377672291,2.47342427665318,2.4181485498795,2.36572865229206,2.30955861769086
