"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","CMR.median","Under.five.deaths.median","Infant.deaths.median","Child.deaths.median"
"World",1988,985939843,512023160,91.8,91.7,15.8681607827111,7.51107376658538,8.42033275659986,3140696,1540911,1599785
"Adhoc",1989,2306167,1277359,100,100,54.3101207637335,19.9768028822399,35.0331685846495,24991,10324,14667
"World",1989,993582773,514871361,94.4,94.2,15.8141613284444,7.460125772643,8.41682613739285,3154082,1539151,1614931
"Adhoc",1990,2391536,1322404,100,100,74.5038200073143,26.5520765051991,49.2596905748819,35802,14203,21599
"World",1990,1000965600,515231153,100,100,16.771280127804,7.83413127040056,9.00771649083936,3372507,1617951,1754557
"Adhoc",1991,2383177,1315051,100,100,71.9203556700453,25.4467253529189,47.6871111371064,34378,13522,20856
"World",1991,1008105387,514320160,100,100,16.5599651735205,7.77286887056769,8.85593230347441,3355380,1602570,1752809
"Adhoc",1992,2469777,1360108,100,100,70.2044662740888,24.2912980210709,47.0562250391915,34694,13335,21359
"World",1992,1014861496,513356255,100,100,16.6069099502579,7.75649997442578,8.91959481276938,3389896,1596398,1793498
"Adhoc",1993,2790732,1533258,100,100,41.1738152085126,15.2616617736148,26.3137449097069,22863,9448,13415
"World",1993,1019814771,512936795,100,100,16.6336209571926,7.75000181480907,8.95300494697044,3414176,1593996,1820180
"Adhoc",1994,3111909,1704828,100,100,49.7581697077303,17.0804175368258,33.245600915809,30715,11727,18988
"World",1994,1023679024,514682520,100,100,18.5689322658683,8.5172564945845,10.1380239213704,3861751,1760528,2101223
"Adhoc",1995,3277111,1790555,100,100,41.3114512625276,14.6829120231068,27.0253500769949,26856,10587,16269
"World",1995,1029944777,520638189,100,100,16.2148538821179,7.461605319589,8.81905285421958,3359148,1557409,1801739
"Adhoc",1996,3393844,1849677,100,100,38.1622600900903,13.5878210595923,24.912951761094,25675,10115,15560
"World",1996,1037704685,529375603,100,100,16.1838763907164,7.36799524518702,8.88131865918115,3375075,1563671,1811404
"Adhoc",1997,3500362,1902558,100,100,35.2001537822683,12.7327460323761,22.7571690032261,24434,9743,14691
"World",1997,1048626246,541091464,100,100,15.9906801118782,7.1909169605497,8.86349984267697,3364874,1559637,1805236
"Adhoc",1998,3601596,1953507,100,100,37.3617163196762,13.0673283988213,24.6160539821224,26617,10247,16370
"World",1998,1060832712,553333323,100,100,16.1727237661685,7.15219118345005,9.08551391524019,3436712,1586159,1850552
"Adhoc",1999,3711779,2011612,100,100,29.1280173098617,10.6926117637519,18.634658717122,21402,8635,12767
"World",1999,1073884225,563889599,100,100,15.7898573954699,6.88238915758016,8.96919774721724,3390135,1555020,1835114
"Adhoc",2000,3824782,2073897,100,100,27.8528732185787,10.1392947685125,17.895021346386,21037,8432,12605
"World",2000,1090168434,574061802,100,100,15.264655540749,6.63803731953361,8.68426469434913,3324001,1526567,1797434
"Adhoc",2001,3763722,2047735,100,100,26.0956938455418,9.51386922864756,16.7410972266526,19343,7803,11540
"World",2001,1109573812,584471291,100,100,15.0075362101307,6.49219330785281,8.57098740937878,3324036,1519636,1804400
