"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Least developed countries","1950","48746427","26071860","0","0",,,,,,
"Landlocked developing countries","1950","24880627","12682808","0","0",,,,,,
"Small island developing States","1950","4919235","2604594","0","0",,,,,,
"Europe and Northern America","1950","121031611","57387944","0","0",,,,,,
"Northern America","1950","27372824","14880400","0","0",,,,,,
"Europe","1950","93658787","42507544","0","0",,,,,,
"Latin America and the Caribbean","1950","40375126","21667042","0","0",,,,,,
"Central and Southern Asia","1950","111945458","57721175","0","0",,,,,,
"Central Asia","1950","3658934","1467567","0","0",,,,,,
"Southern Asia","1950","108286524","56253608","0","0",,,,,,
"Eastern and South-Eastern Asia","1950","178777926","91793858","0","0",,,,,,
"Eastern Asia","1950","138408539","70957009","0","0",,,,,,
"South-Eastern Asia","1950","40369387","20836849","0","0",,,,,,
"Northern Africa and Western Asia","1950","23174548","11998881","0","0",,,,,,
"Western Asia","1950","11627813","5950678","0","0",,,,,,
"Northern Africa","1950","11546735","6048203","0","0",,,,,,
"Sub-Saharan Africa","1950","43860330","23575464","0","0",,,,,,
"Oceania","1950","2184132","1180486","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1950","583615","306014","0","0",,,,,,
"Australia and New Zealand","1950","1600517","874472","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1950","122632128","58262416","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1950","40953002","21142863","0","0",,,,,,
"World","1950","521349131","265324850","0","0",,,,,,
"Least developed countries","1951","49797815","26702227","0","0",,,,,,
"Landlocked developing countries","1951","25168519","12863806","0","0",,,,,,
"Small island developing States","1951","5024836","2665375","0","0",,,,,,
"Europe and Northern America","1951","120769399","57231386","0","0",,,,,,
"Northern America","1951","28310615","15530961","0","0",,,,,,
"Europe","1951","92458784","41700425","0","0",,,,,,
"Latin America and the Caribbean","1951","41475764","22310854","0","0",,,,,,
"Central and Southern Asia","1951","113472415","58749224","0","0",,,,,,
"Central Asia","1951","3549328","1407583","0","0",,,,,,
"Southern Asia","1951","109923087","57341641","0","0",,,,,,
"Eastern and South-Eastern Asia","1951","180475517","93152199","0","0",,,,,,
"Eastern Asia","1951","139613013","72021445","0","0",,,,,,
"South-Eastern Asia","1951","40862504","21130754","0","0",,,,,,
"Northern Africa and Western Asia","1951","23550064","12304675","0","0",,,,,,
"Western Asia","1951","11749924","6022062","0","0",,,,,,
"Northern Africa","1951","11800140","6282613","0","0",,,,,,
"Sub-Saharan Africa","1951","44854496","24177866","0","0",,,,,,
"Oceania","1951","2280507","1243959","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1951","589547","311369","0","0",,,,,,
"Australia and New Zealand","1951","1690960","932590","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1951","122460359","58163976","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1951","41452051","21442123","0","0",,,,,,
"World","1951","526878162","269170163","0","0",,,,,,
"Least developed countries","1952","50876397","27348271","0","0",,,,,,
"Landlocked developing countries","1952","25530904","13198743","0","0",,,,,,
"Small island developing States","1952","5129875","2729491","0","0",,,,,,
"Europe and Northern America","1952","121638883","59251970","0","0",,,,,,
"Northern America","1952","29623030","16405472","0","0",,,,,,
"Europe","1952","92015853","42846498","0","0",,,,,,
"Latin America and the Caribbean","1952","42680133","23020209","0","0",,,,,,
"Central and Southern Asia","1952","115091595","60001895","0","0",,,,,,
"Central Asia","1952","3470881","1451129","0","0",,,,,,
"Southern Asia","1952","111620714","58550766","0","0",,,,,,
"Eastern and South-Eastern Asia","1952","183704995","95989256","0","0",,,,,,
"Eastern Asia","1952","142308962","74486921","0","0",,,,,,
"South-Eastern Asia","1952","41396033","21502335","0","0",,,,,,
"Northern Africa and Western Asia","1952","24031743","12741784","0","0",,,,,,
"Western Asia","1952","11921876","6179687","0","0",,,,,,
"Northern Africa","1952","12109867","6562097","0","0",,,,,,
"Sub-Saharan Africa","1952","45866689","24779137","0","0",,,,,,
"Oceania","1952","2393373","1321722","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1952","597722","318264","0","0",,,,,,
"Australia and New Zealand","1952","1795651","1003458","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1952","123434534","60255428","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1952","41993755","21820599","0","0",,,,,,
"World","1952","535407411","277105973","0","0",,,,,,
"Least developed countries","1953","51917309","27923947","1.37","1.36",,,,,,
"Landlocked developing countries","1953","25947741","13649458","0","0",,,,,,
"Small island developing States","1953","5241795","2800710","0","0",,,,,,
"Europe and Northern America","1953","122620572","62197330","0","0",,,,,,
"Northern America","1953","30939507","17174209","0","0",,,,,,
"Europe","1953","91681065","45023121","0","0",,,,,,
"Latin America and the Caribbean","1953","44016717","23828536","0","0",,,,,,
"Central and Southern Asia","1953","116776808","61356242","0","0",,,,,,
"Central Asia","1953","3423221","1590551","0","0",,,,,,
"Southern Asia","1953","113353587","59765691","0","0",,,,,,
"Eastern and South-Eastern Asia","1953","188122862","100017087","0","0",,,,,,
"Eastern Asia","1953","146108665","78044423","0","0",,,,,,
"South-Eastern Asia","1953","42014197","21972664","0","0",,,,,,
