"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","NMR median","Under-five deaths median","Infant deaths median","Neonatal deaths median"
"Adhoc","1970","2055566","496838","100","100","300.047739630718","223.825291230199","37.508793057527","164035","123182","21661"
"World","1970","524266002","114632779","94.7","94.8","151.765057634683","99.6661343613536","48.2872387149544","17939956","11964126","5958620"
"Adhoc","1971","2119195","510903","100","100","344.286485974113","248.958844502471","37.6655946243375","195406","140509","22327"
"World","1971","530917286","114961727","96.7","96.7","149.118580330748","98.0355346750804","48.2217965658496","17765420","11814275","5933328"
"Adhoc","1972","2181478","524586","100","100","337.910137249894","245.175169234533","37.9297173966864","195097","141212","23014"
"World","1972","538075835","114816743","97.2","97.2","143.357992509226","95.1924823914999","48.0441211375028","17057392","11440508","5902527"
"Adhoc","1973","2247932","539541","100","100","284.746880207601","214.768719608137","38.3255380994385","166197","126880","23865"
"World","1973","543226546","114915307","97.2","97.1","140.345726432626","93.2518336557085","48.0028429458911","16713440","11206248","5897598"
"Adhoc","1974","2317622","555725","100","100","279.501207190828","211.561571236727","39.8557875218765","168276","129023","25499"
"World","1974","545364483","114456217","97.2","97.1","139.417097757802","92.4262091145372","48.0595864061385","16570671","11065007","5864637"
"Adhoc","1975","2386935","570860","100","100","274.217995756602","208.293509015283","40.7436838388728","169590","130317","26680"
"World","1975","545052933","113094459","97.3","97.2","136.637942481961","90.7391418367859","47.9313089349736","16096805","10732180","5769139"
"Adhoc","1976","2454469","585207","100","100","268.646042801445","204.750462113229","40.8846055735461","170471","131113","27377"
"World","1976","544087809","112976088","98.3","98.2","132.310185609327","87.9549871911671","47.4076726458764","15522221","10368993","5716233"
"Adhoc","1977","2517481","599162","100","100","262.877697240643","201.097207827068","41.2970743342048","170927","131688","28249"
"World","1977","542754652","112843326","98.3","98.3","129.115747280396","85.9686280642261","47.3870954881539","15126425","10128181","5690284"
"Adhoc","1978","2580756","612321","100","100","256.940651755682","197.239607112498","40.5409771019467","170736","131882","28273"
"World","1978","542337738","113775644","98.6","98.5","126.074688375827","83.9195466865289","46.5189428328791","14801365","9939014","5645989"
"Adhoc","1979","2634577","623462","100","100","251.108891966423","193.499314037535","39.2014076254387","170191","131865","27825"
"World","1979","544343748","116299727","99","98.9","122.139558685894","81.4963345431707","45.4609853697111","14535671","9842360","5645154"
"Adhoc","1980","2611217","618438","100","100","245.161603903051","189.610728338825","38.3869599808745","167454","129739","27016"
"World","1980","549443094","118833632","99.3","99.3","118.984794891476","79.5186764340145","44.6952240105171","14431070","9805962","5659588"
"Adhoc","1981","2461842","581701","100","100","239.011378681369","185.570506428709","37.3802592788195","159072","122232","24662"
"World","1981","557347106","121174260","99.4","99.4","115.777463491109","77.462792144046","43.7676438860196","14298221","9741453","5641621"
"Adhoc","1982","2142149","503507","100","100","277.035182070739","199.108019945819","35.8822039045608","173800","118231","20578"
"World","1982","568414267","124419005","99.5","99.5","112.448763479288","75.2151664333101","42.6808146151351","14214441","9697779","5649974"
"Adhoc","1983","2098275","493003","100","100","271.190071031841","195.0216658616","36.6505806566315","158607","106465","20481"
"World","1983","578371986","124250589","99.7","99.7","111.319077464768","74.9114604545071","42.259921329576","14209628","9666317","5547746"
"Adhoc","1984","2108446","495094","100","100","303.820358178728","206.621501263216","35.4468441159765","176539","112189","19959"
"World","1984","589282715","125978754","99.9","99.9","109.02353962074","73.1167485165685","41.3753594412577","14019356","9534736","5527998"
"Adhoc","1985","2195739","518734","100","100","296.04744513461","201.663905751581","34.228371211993","170314","112514","20183"
