"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","Under-five deaths median","Infant deaths median"
"Northern America","1953","10334178","2091605","100","100","39.523723070395","34.1968233317302",,"76743"
"Latin America and the Caribbean","1953","15312096","3440639","39.38","40.25",,,,
"Central America","1953","3901439","915115","76.01","76.62","228.603922615165","157.309429465079",,"153773"
"South America","1953","10225129","2256984","25.8","26.02",,,,
"Caribbean","1953","1185528","268540","35.89","35.97",,,,
"Europe","1953","28280090","5521435","29.71","24.78",,,,
"Northern Europe","1953","3308730","538037","92.49","90.15","36.1545943051815","30.88715918081",,"20310"
"Southern Europe","1953","5544218","1034167","38.74","35.41",,,,
"Eastern Europe","1953","13399830","2790663","0","0",,,,
"Western Europe","1953","6027312","1158568","53","44.64","47.8030969045723",,,"50815"
"Oceania","1953","831138","165464","78.49","75.39","40.040570481467","31.5194698744886",,"6005"
"Australia and New Zealand","1953","615724","116813","100","100","33.4746466806345","27.0126893543162",,"3471"
"Melanesia","1953","189980","42703","18.53","17.86",,,,
"Micronesia","1953","8820","2052","0","0",,,,
"Polynesia","1953","16614","3896","8.44","7.6",,,,
"Africa","1954","21603450","4861212","27.58","28.08",,,,
"Northern Africa","1954","4866390","1080822","30.37","32.47",,,,
"Southern Africa","1954","1420118","327892","9.25","9.12",,,,
"Eastern Africa","1954","6577511","1479195","38.35","39.06",,,,
"Western Africa","1954","6328108","1422903","22.89","22.63",,,,
"Middle Africa","1954","2411323","550400","15.73","15.35",,,,
"Asia","1954","123319264","28936051","49.55","48.05",,,,
"Eastern Asia","1954","58861392","13738776","10.93","7.71",,,,
"Central Asia","1954","1326792","307960","0","0",,,,
"Southern Asia","1954","43328089","10158531","94.44","94.3","276.278767086699","189.812424001799",,
"South-Eastern Asia","1954","14992833","3584832","70.78","69.44","229.908802405421","157.613928268553",,"623492"
"Western Asia","1954","4810158","1145952","65.25","67.68","289.45945147867","199.143327349864",,"254022"
"Americas","1954","26418755","5691820","64.23","63.17","104.104507352962","74.7018585147055",,"460773"
"Northern America","1954","10562600","2131954","100","100","38.4382084544402","33.2632682303321",,"76511"
"Latin America and the Caribbean","1954","15856155","3559866","40.39","41.12",,,,
"Central America","1954","4069329","950764","76.2","76.75","214.621101121609","148.395645675275",,"149078"
"South America","1954","10561159","2330437","26.94","27.05",,,,
"Caribbean","1954","1225667","278665","37.44","37.25",,,,
"Europe","1954","28245425","5414296","33.45","29.21",,,,
"Northern Europe","1954","3238905","526887","92.2","89.73","34.7082161313607","29.666342079837",,"19601"
"Southern Europe","1954","5507121","1020808","46.85","43.91",,,,
"Eastern Europe","1954","13463146","2711851","3.62","4.17",,,,
"Western Europe","1954","6036253","1154750","56.26","47.41","45.9936994884564",,,"49555"
"Oceania","1954","847124","168095","78.36","75.18","38.8693191747287","30.6938838886012",,"5993"
"Australia and New Zealand","1954","625861","118087","100","100","32.6402197830566","26.4005812457739",,"3490"
"Melanesia","1954","194899","43861","18.75","18.18",,,,
"Micronesia","1954","9177","2122","0","0",,,,
"Polynesia","1954","17187","4025","8.38","7.63",,,,
"Africa","1955","22173664","4996549","36.95","36.29",,,,
"Northern Africa","1955","5020973","1113955","71.2","68.91","286.749351492113","205.969887859914",,
"Southern Africa","1955","1465477","334742","9.19","9.11",,,,
"Eastern Africa","1955","6743719","1520036","38.68","39.2",,,,
"Western Africa","1955","6472972","1463620","22.98","22.76",,,,
"Middle Africa","1955","2470523","564196","15.64","15.3",,,,
"Asia","1955","125764654","28877133","49.89","49.01",,,,
"Eastern Asia","1955","58981267","13316283","10.6","7.71",,,,
"Central Asia","1955","1433001","330324","0","0",,,,
"Southern Asia","1955","44668091","10351389","94.41","94.3","262.270258988618","186.06422750842",,"2164699"
"South-Eastern Asia","1955","15698230","3710329","70.59","69.56","222.376443717126","152.976019519452",,"624885"
"Western Asia","1955","4984065","1168808","65.08","67.05","281.297995401405","193.384273883352",,"251165"
"Americas","1955","27194040","5844077","87.14","86.93","123.176688168166","96.1804620786693",,"607122"
"Northern America","1955","10823638","2188896","100","100","37.4558527638939","32.4223469998947",,"76033"
"Latin America and the Caribbean","1955","16370402","3655181","78.64","79.11","201.569779900578","142.789260727868",,
"Central America","1955","4227314","976608","85.23","85.97","202.711372064704","140.922674982555",,"145368"
"South America","1955","10886046","2394436","80.77","81.2","205.552754290858","146.108329780421",,
"Caribbean","1955","1257042","284137","38.02","37.91",,,,
"Europe","1955","28366402","5405844","34.39","30.89",,,,
"Northern Europe","1955","3212359","541225","91.99","89.82","33.3600319102104","28.524939171147",,"19016"
"Southern Europe","1955","5499635","1027946","53.27","50.46","76.0803872798508","59.7196291052171",,
"Eastern Europe","1955","13578619","2667702","3.55","4.04",,,,
"Western Europe","1955","6075789","1168971","55.75","47.66","43.3110223899132",,,"47083"
"Oceania","1955","864917","172677","96.08","95.49","69.5293161027578","61.9599319835143",,"12411"
"Australia and New Zealand","1955","637665","121540","100","100","31.7898237215126","25.7759730167939",,"3494"
"Melanesia","1955","200106","44863","95.86","95.88","179.544023346506","149.858793284864",,
"Micronesia","1955","9491","2170","0","0",,,,
"Polynesia","1955","17655","4104","8.49","7.99",,,,
"Africa","1956","22885850","5113007","44.65","44.53",,,,
"Northern Africa","1956","5191131","1146063","91.47","91.5","291.866120530923","193.050201572255",,"265802"
"Southern Africa","1956","1528400","337942","9.15","9.16",,,,
"Eastern Africa","1956","6950256","1555872","43.57","43.71",,,,
"Western Africa","1956","6665755","1498986","28.59","28.63",,,,
"Middle Africa","1956","2550308","574144","15.54","15.29",,,,
"Asia","1956","130177276","28153104","50.07","50.66","236.850987166832","166.836683089791",,
"Eastern Asia","1956","60193073","12462741","9.9","8.18",,,,
"Central Asia","1956","1547295","351899","0","0",,,,
"Southern Asia","1956","46571775","10377002","94.37","94.31","257.244724014449","182.433425797708",,"2158644"
"South-Eastern Asia","1956","16636469","3790282","70.33","69.94","215.771892091385","148.521700998819","888734","624991"
"Western Asia","1956","5228664","1171180","68.22","68.69","269.178626790597","183.433349286529",,"242789"
"Americas","1956","27982846","5973684","89.47","89.56","128.688396713216","95.6508293235217","828791","612371"
"Northern America","1956","10989179","2256979","100","100","36.6639936761858","31.7563330076867","86700","75542"
"Latin America and the Caribbean","1956","16993667","3716705","82.67","83.22","192.772202248127","139.483243919406",,"565705"
"Central America","1956","4430220","988451","89.52","89.87","194.414532014564","135.883058671231",,"143813"
