"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
2014,1217869478,605481056,100,100,8.68213091851311,4.01861421491192,4.68233319433485,1062446,487619,574827
2015,1213644023,607253280,100,100,8.52392653169542,3.94137426626905,4.60068528802785,1038877,479628,559249
2016,1212127247,610157323,100,100,8.34657690075635,3.84933332295599,4.51462186217502,1015409,470646,544763
2017,1213873934,613328489,100,100,8.19328726086677,3.77251365207727,4.43751419165876,997804,463633,534171
2018,1217357593,616826849,100,100,7.97644116013474,3.66771630336449,4.32458621212569,973835,453300,520535
2019,1222144282,620742261,100,100,7.85909700143372,3.60874864862683,4.26574234472889,963012,448830,514182
2020,1227745229,624322207,100,100,7.73212415578595,3.52662879111566,4.22037907502567,951540,441128,510412
2021,1234905766,628439278,100,100,7.72833168357268,3.50807653658873,4.23511224488005,956478,441697,514781
2022,1243842535,634201746,100,100,7.71529415094141,3.48828517764488,4.2418056009006,961523,443228,518295
2023,1254342087,641279188,100,100,7.5420167334348,3.38401532091815,4.17211993028142,947379,434755,512624
2024,1265755718,649023947,100,100,7.36686149429822,3.27051836249699,4.10978425667848,933195,425224,507971
