"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Adhoc","1989","2306167","1277359","100","100","58.0896393607784","22.1076130939316","36.7954866492922","13424","5711","7713"
"World","1989","993582773","514871361","94.4","94.2","13.4573753200588","6.62952323705015","6.87341957781769","1345287","684941","660346"
"Adhoc","1990","2391536","1322404","100","100","60.94718339584","23.2998490648109","38.5454371999244","14639","6235","8404"
"World","1990","1000965600","515231153","100","100","14.0581233492516","6.91069186505235","7.19716890077332","1416298","714590","701708"
"Adhoc","1991","2383177","1315051","100","100","57.5413126088149","21.8304729334101","36.507822710954","13749","5805","7944"
"World","1991","1008105387","514320160","100","100","14.1074946265169","6.92486830231458","7.23271190158942","1431669","714795","716874"
"Adhoc","1992","2469777","1360108","100","100","53.3937274219519","20.0994893790775","33.9771616424377","13194","5523","7671"
"World","1992","1014861496","513356255","100","100","14.1453526229622","6.90397138876663","7.2917230817267","1445338","711295","734044"
"Adhoc","1993","2790732","1533258","100","100","45.2361868026498","16.7666901324876","28.9549757768057","12574","5185","7389"
"World","1993","1019814771","512936795","100","100","14.2694976382878","6.9159766188115","7.40473197266776","1465402","711954","753449"
"Adhoc","1994","3111909","1704828","100","100","42.2492933048358","15.6032389088092","27.0684092524744","13084","5362","7722"
"World","1994","1023679024","514682520","100","100","15.4946619235811","7.3979252314799","8.15708217614746","1598130","764344","833786"
"Adhoc","1995","3277111","1790555","100","100","38.8925379563932","14.3278947587297","24.9217189641892","12671","5168","7503"
"World","1995","1029944777","520638189","100","100","14.1397458371821","6.69604500503214","7.49388019117233","1465793","699586","766207"
"Adhoc","1996","3393844","1849677","100","100","35.6768400392405","13.1664137487114","22.8107622238925","12029","4903","7126"
"World","1996","1037704685","529375603","100","100","14.1237602156877","6.60458974628913","7.56916167699847","1474027","701579","772448"
"Adhoc","1997","3500362","1902558","100","100","32.7394261646926","12.1643474651689","20.8284431187791","11383","4657","6726"
"World","1997","1048626246","541091464","100","100","13.9951568621687","6.44221587518922","7.60191415905671","1474010","699419","774591"
"Adhoc","1998","3601596","1953507","100","100","29.677014003919","11.1202769048215","18.7654136956264","10613","4369","6244"
"World","1998","1060832712","553333323","100","100","14.0270262430205","6.36888145382733","7.70723123124227","1492384","707075","785309"
"Adhoc","1999","3711779","2011612","100","100","25.7377762158966","9.74296046989811","16.1521858542791","9476","3939","5537"
"World","1999","1073884225","563889599","100","100","13.6286465873109","6.10418150692067","7.57067787225286","1465660","690524","775135"
"Adhoc","2000","3824782","2073897","100","100","22.6692495529061","8.76130929006031","14.0308690461675","8598","3650","4948"
"World","2000","1090168434","574061802","100","100","13.3359501542982","5.92613324529453","7.45399024842497","1454704","682415","772289"
"Adhoc","2001","3763722","2047735","100","100","20.1286355323717","7.82913562110778","12.396554215451","7500","3219","4281"
"World","2001","1109573812","584471291","100","100","13.0759253911266","5.77454141824066","7.34379099817178","1451056","676965","774091"
"Adhoc","2002","3863171","2115328","100","100","17.6995177652057","6.98859095449737","10.7863079045627","6758","2967","3791"
"World","2002","1131000389","594538327","100","100","12.7421037815981","5.60028116466768","7.18204408313292","1441142","667786","773356"
"Adhoc","2003","4176265","2304084","100","100","16.1516133918184","6.46102844777631","9.7536032521224","6657","2987","3670"
