"Country.Name","ISO.Code","Quantile","Indicator","Subgroup","X1931.5","X1932.5","X1933.5","X1934.5","X1935.5","X1936.5","X1937.5","X1938.5","X1939.5","X1940.5","X1941.5","X1942.5","X1943.5","X1944.5","X1945.5","X1946.5","X1947.5","X1948.5","X1949.5","X1950.5","X1951.5","X1952.5","X1953.5","X1954.5","X1955.5","X1956.5","X1957.5","X1958.5","X1959.5","X1960.5","X1961.5","X1962.5","X1963.5","X1964.5","X1965.5","X1966.5","X1967.5","X1968.5","X1969.5","X1970.5","X1971.5","X1972.5","X1973.5","X1974.5","X1975.5","X1976.5","X1977.5","X1978.5","X1979.5","X1980.5","X1981.5","X1982.5","X1983.5","X1984.5","X1985.5","X1986.5","X1987.5","X1988.5","X1989.5","X1990.5","X1991.5","X1992.5","X1993.5","X1994.5","X1995.5","X1996.5","X1997.5","X1998.5","X1999.5","X2000.5","X2001.5","X2002.5","X2003.5","X2004.5","X2005.5","X2006.5","X2007.5","X2008.5","X2009.5","X2010.5","X2011.5","X2012.5","X2013.5","X2014.5","X2015.5","X2016.5","X2017.5","X2018.5","X2019.5","X2020.5","X2021.5","X2022.5","X2023.5"
"Afghanistan","AFG","Lower","Infant Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9444784868125,22.6044654340431,23.1348492848516,23.5764329527344,23.8711665187977,23.9124395847119,23.7413686554621,23.2386609252088,22.4415657228155,21.5812421253983,20.5189031793021,19.4961890213151,18.4095255521197,17.2662660151669,16.3042737689363,15.3809994274831,14.4000002394735,13.5783481442055,18.4472488991316,17.8720357078202,17.0693192752646,10.631579778465,12.2062522056575,10.539743804585,9.91684016394718,9.47343357286747,9.91473394073026,8.2286343522786,7.93825977851672,7.56517042640142,6.34924391590521,6.04705843831587,5.83347600252,5.69463029743378,6.3411945354412,6.82756558725433,6.83411285701175,7.07114359563215,7.59777688762611,8.12789558919788,8.71256790937372,8.67846412339256,10.0831074927362,10.7151178104837,10.7598275207362,11.6198138370662,11.5746636061844,10.8352642852272,10.2069424249028,10.3305187365843,7.36600884423703,6.95103992656815
"Afghanistan","AFG","Median","Infant Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.395826484041,31.5142843000332,31.5700567471534,31.7209535206972,31.68235829937,31.638249275451,31.5059109295613,31.0521506133556,30.356373683058,29.5815051633131,28.6277141609978,27.5810285837761,26.471632389337,25.2661000188095,24.1038129724394,22.8105277940554,21.5357764695872,20.3090537127893,27.5814584045984,26.5777884383056,25.0847601275798,15.4010133909412,17.3141091027189,14.7407763604515,13.6187005664279,12.7721583316296,13.1384074762613,10.7142609890453,10.1454549741996,9.52580205013782,7.89842634097245,7.4548383967722,7.10991167653745,6.91547948326329,7.65635537470888,8.22253032366371,8.24549832590807,8.60647153720776,9.34457815548556,10.1627432869694,11.0590914563303,11.2313885227454,13.3540445334102,14.558414102283,14.9272580056587,16.5069689209703,16.8544762261537,16.2271084005078,15.7776834109464,16.4670563080621,12.1317927782593,11.8177114589955
"Afghanistan","AFG","Upper","Infant Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4491195808159,43.6652885698011,43.0147966828825,42.7134527261396,42.4551726178471,42.179827774948,42.0895189266231,41.4489940904888,40.7505236943404,39.9379583937362,38.7918824114425,37.5295181693694,36.1866048704239,34.5537491391515,33.0084771723647,31.1775401956611,29.340396120268,27.6352526972226,37.352733057429,35.8737639058483,33.7385066199853,20.5151814953666,22.8216229422509,19.3229658414132,17.6513541683032,16.3794164075656,16.6781865386422,13.4440780659486,12.6355091187245,11.7500070531399,9.66195816606768,9.0598334892442,8.61537619197582,8.35224657433844,9.24302853534957,9.9368140681938,10.0087842686192,10.5022454365181,11.5500723703553,12.7442886573145,14.1226357403787,14.7016140176194,17.9600111701604,20.0349499159487,20.8601240150208,23.4757116012505,24.3159377335516,23.8068125514806,23.3570671988069,24.6715147786382,18.4394970241989,18.2114054420785
"Albania","ALB","Lower","Infant Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56980787662357,2.83244321012086,3.07757675134225,3.28579027512635,3.43882547588855,3.52484406862674,3.56594725514363,3.61225907575686,3.67108669318381,4.38706870582979,3.6299418968485,3.46719093865523,3.23216728763869,2.96401994264327,2.71132652947376,2.5266069057047,2.4049924638986,2.33543342273009,2.31134885027392,2.31290359639091,2.33649188969899,2.36745370603628,2.39360966950156,2.39537926973828,2.36395699017886,2.28027257653243,2.15913174882091,2.01751850680878,1.87505516262831,1.74129732598824,1.62678565380811,1.52712992688833,1.43795743603432,1.35510511062586,1.44159000898465,1.20675094112874
"Albania","ALB","Median","Infant Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84752531292505,3.05271312261677,3.25762870941349,3.44515394939238,3.59369193630529,3.68470416525924,3.73152299048483,3.78154288289635,3.84456651409753,4.59177183611414,3.7940263637813,3.62878193814507,3.39413734852561,3.13034070880121,2.89292385700554,2.72385015583368,2.62111770656346,2.56832541197047,2.55434174955474,2.56813367724102,2.59164681008044,2.61549021741683,2.62115318408823,2.6006389933569,2.54304422585647,2.4340659310564,2.29458941116253,2.14277630526727,1.99686009427745,1.86922303649271,1.76661395285348,1.68847407137714,1.62716354304183,1.57560074753016,1.72838423781845,1.48984045198594
"Albania","ALB","Upper","Infant Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14647898230766,3.29132406962574,3.4499182868667,3.6096073507686,3.75368773925633,3.84834159710139,3.90451527571372,3.96114899967803,4.0207234715388,4.80217578064616,3.96444655471152,3.7939217663549,3.5651249288266,3.30918904196938,3.08285355916561,2.93007330529396,2.84511572007885,2.80858865386946,2.80778813619181,2.83017842863592,2.85353071633004,2.86503187402258,2.85719557198247,2.81246204554051,2.7307998213843,2.60218478541006,2.44509288462386,2.28237111976102,2.13038151655965,2.00569790111157,1.91632879629617,1.86154232704042,1.83073685940171,1.81706968783372,2.04225607039737,1.80082627793544
"Algeria","DZA","Lower","Infant Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0923600260898,17.5441561669436,16.0423617989941,14.6161251365925,13.3552642056389,12.1302131652186,11.074253139898,10.1131507670715,9.2649683850722,8.55330960116303,7.90733839400991,7.38117100710301,6.90769737047313,6.51229846682814,6.19388751134591,5.92188520982705,5.69447310159615,5.4693799398073,5.24462965103985,5.02923365673554,4.84723370838962,4.72334889516444,4.6350600392036,4.57526542258742,4.53034018096848,5.13789939818799,4.83340612292959,4.38445092963916,4.64489029424917,4.61829635781855,3.97560917031322,3.80126246024055,3.61973472054001,3.4257763713849,3.23408785340717,3.06852151023935,2.95790713819603,2.88956159651303,2.8436567962758,2.80679059174969,2.76885229138521,2.7312881710782,2.69768347958942,2.67598332263397,2.66943275963745,2.66683154417553,2.6575037512029,2.63784420520628,2.60560069418058,2.56281625086221,2.51631336034186,2.47675236042367,2.45240918405226,2.45560608998378,2.47138237596043
"Algeria","DZA","Median","Infant Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8819439515235,24.9456926685636,22.2753730375605,19.8851780059221,17.7863546607479,15.8713156635145,14.2546364955098,12.7974574463097,11.5286111564253,10.4235723669438,9.43667716771746,8.61772098194179,7.8960778309098,7.28116982310068,6.76486995526308,6.33376285936578,5.98187064682351,5.70042127676005,5.48437656789947,5.32182140094822,5.20223169396559,5.11149761873687,5.04359792692767,4.98602878608827,4.92515650421058,5.54905532042534,5.16919481487001,4.62958231634715,4.84955218647855,4.76976318431467,4.08142855226654,3.88580945155481,3.69212055639832,3.49330847690657,3.29516524949169,3.12804856188607,3.01433647477266,2.94521969761489,2.89917923942081,2.85913799005062,2.82201692540249,2.78273911106854,2.74832566664569,2.72845339094239,2.72475892380511,2.72542565093289,2.71648673081721,2.69421929404136,2.65985795687183,2.61437730797998,2.5701336331498,2.53453894565376,2.51784254560296,2.52917482887517,2.56783971821784
"Algeria","DZA","Upper","Infant Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0456761370911,31.4088394136208,28.0476362867318,25.0093559042827,22.3227838355016,19.8346650245126,17.6854385578605,15.733306652055,14.0022473595359,12.4875474160743,11.1394447512853,10.000687177275,8.997869848555,8.12823232431871,7.39242150447722,6.77473729184493,6.27854320406142,5.92667515049224,5.73092107112515,5.6224526166991,5.56167234573475,5.51282049816915,5.47022658334123,5.41718586388935,5.33649870858596,5.97674604425398,5.51136873089459,4.88030247114911,5.05773116389529,4.92941441769069,4.19021681292893,3.97073938126386,3.76381258138728,3.56004295149486,3.3573629430939,3.18908199905802,3.07150252973401,3.0006481351575,2.95333236291842,2.91263194032771,2.87518955501876,2.83537852036884,2.80114877878906,2.78255270435566,2.77937355306576,2.78274127096917,2.77361922931459,2.75033157419013,2.71344019862633,2.66602002541377,2.62423067812364,2.59322854348442,2.58381880065323,2.60708050626471,2.6671528658147
"Andorra","AND","Lower","Infant Mortality Rate","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83978760728169,2.72928441746083,2.62548352805044,2.53274872421681,2.4435386231871,2.3547097651662,2.26512326207556,2.18820608017316,2.11051428729642,2.03683268964838,1.96765473635821,1.90435410344259,1.8431085261918,1.78308324067971,1.72433590321191,1.67068845212567,1.61047793996165,1.5554282685339,1.5002977623401,1.4482789674189,1.39944040287084,1.3524143046416,1.30585231322439,1.26203075632226,1.21643780055972,1.17518806132997,1.13549948345445,1.09991305566519,1.07046258092774,1.04267126186087,1.01647594130642,0.993913040635315,0.970814665346346,0.948353325122314
