"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"World","1987","1066915601","549018975","91.8","91.7","14.896770270162","9.73905482810283","5.20844073191627","1615513","1074618","540895"
"Adhoc","1988","3234950","1744689","100","100","23.8099645055962","13.7327334002561","10.2175459397355","7886","4825","3061"
"World","1988","1077941015","560545836","96.8","96.7","15.07107395317","9.85616688297715","5.26681770442981","1656883","1110439","546444"
"Adhoc","1989","3309686","1784414","100","100","22.1491725595552","12.7570552195065","9.51348134692104","7498","4582","2916"
"World","1989","1090177957","570775200","97.7","97.7","14.8291139132584","9.66401473010078","5.21550187005465","1651758","1108553","543206"
"Adhoc","1990","3414080","1842562","100","100","29.9185128543834","17.7562185763074","12.382154520182","10518","6602","3916"
"World","1990","1105530730","580653476","100","100","15.1870474471352","9.8259619022428","5.41428611397611","1716640","1146730","569910"
"Adhoc","1991","3396350","1840227","100","100","27.7881312747643","16.4832544201233","11.4943410017647","9715","6117","3598"
"World","1991","1123422934","590598080","100","100","15.1946237606825","9.79426026512037","5.45377922875696","1745359","1162588","582771"
"Adhoc","1992","3524874","1922942","100","100","24.5813041532816","14.5070294559812","10.2225738776595","8912","5620","3292"
"World","1992","1144400808","600504691","100","100","14.6323111755335","9.35119808748922","5.33096398829608","1709811","1128363","581448"
"Adhoc","1993","3996397","2196679","100","100","16.496438740877","9.4738244257032","7.08978166185479","6743","4182","2561"
"World","1993","1166306415","610356482","100","100","14.2898147347609","9.07670355862178","5.26086246519837","1699554","1113056","586498"
"Adhoc","1994","4482136","2483213","100","100","15.3870793053352","8.82640488280808","6.61909725485718","7058","4403","2655"
"World","1994","1186596625","620019063","100","100","14.0794695165222","8.81849817393756","5.30777797294673","1701424","1098370","603054"
"Adhoc","1995","4757727","2654743","100","100","14.4074035464092","8.24165106117353","6.21699075367799","7017","4394","2623"
"World","1995","1205230080","628528373","100","100","13.1703049187368","8.30636751898511","4.9046774532404","1615610","1048512","567098"
"Adhoc","1996","4981301","2792771","100","100","13.530375756646","7.7257783828726","5.84979156700608","6900","4332","2568"
"World","1996","1220341478","633003390","100","100","12.9974350995519","8.16204880880203","4.87517772932824","1611630","1037555","574075"
"Adhoc","1997","5215501","2932673","100","100","12.775669072379","7.26379994584426","5.55219919071564","6818","4276","2542"
"World","1997","1229744178","631998491","100","100","12.6528901168043","7.92502725621664","4.76563061308937","1576794","1005706","571088"
"Adhoc","1998","5464312","3078246","100","100","15.9834324193342","9.0742223527266","6.97247989956622","8951","5612","3339"
"World","1998","1236285250","628750700","100","100","12.6535945080759","7.91387370097387","4.77752957274352","1581017","999124","581893"
"Adhoc","1999","5740272","3236483","100","100","11.5732622318542","6.54888931422365","5.05749388529269","6792","4253","2539"
"World","1999","1240883533","624027967","100","100","11.8836251676806","7.42590948855319","4.49106592821749","1485564","930249","555315"
"Adhoc","2000","6017665","3394081","100","100","11.0907916190822","6.2618566287421","4.85936362868987","6820","4264","2556"
"World","2000","1243054399","617725804","100","100","11.5359864208003","7.20633996099041","4.36107384049951","1440141","893528","546613"
"Adhoc","2001","6005143","3385360","100","100","10.7099709994449","6.03720686415695","4.70114592574017","6569","4100","2469"
"World","2001","1242336810","612888769","100","100","11.3517354227447","7.08242476236357","4.29976341123721","1413695","871233","542462"
"Adhoc","2002","6223589","3500046","100","100","10.4272566053552","5.86410683755997","4.59006640760083","6623","4117","2506"
"World","2002","1239178864","610982474","100","100","11.0079869777028","6.8341928067001","4.20251496857095","1367091","837978","529113"
"Adhoc","2003","6766822","3789013","100","100","10.2611382830743","5.76058998546826","4.52662432435692","7080","4378","2702"
"World","2003","1235637295","610525139","100","100","10.774936563148","6.6472783619599","4.15527950070108","1334958","814373","520585"
"Adhoc","2004","7139260","3974341","100","100","10.2061195977466","5.72539528936956","4.50652595082732","7423","4564","2859"
"World","2004","1231531056","610889398","100","100","10.8152249604904","6.63728692749179","4.20585348938263","1336796","813630","523166"
"Adhoc","2005","7358030","4068940","100","100","10.2735298415113","5.76616050412858","4.5335102853351","7695","4706","2989"
"World","2005","1227136027","612578777","100","100","10.2870009296749","6.25292616947918","4.05945825293956","1268453","768485","499969"
"Adhoc","2006","7729006","4245826","100","100","10.4117391668809","5.84275383454204","4.59583768056995","8185","4976","3209"
"World","2006","1225640269","615495136","100","100","9.872167540255","5.95605415427949","3.93957772424617","1217066","735374","481692"
"Adhoc","2007","8034440","4385929","100","100","10.5576386456599","5.9161959757819","4.66906577804478","8620","5205","3415"
