"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
1950,522684395,266233273,1.3,1.4,,,,,,
1951,527518616,269838702,1.4,1.4,,,,,,
1952,534997247,277071558,1.4,1.4,,,,,,
1953,544875506,286763536,1.5,1.6,,,,,,
1954,558212791,299270311,2.1,2.2,,,,,,
1955,575204187,314423692,2.1,2.1,,,,,,
1956,593920394,329297967,2.1,2,,,,,,
1957,615404435,343438141,2,1.9,,,,,,
1958,638756503,356947790,2,1.8,,,,,,
1959,662866563,366983297,2.2,1.9,,,,,,
1960,687383377,377470625,2.2,2,,,,,,
1961,709645843,386221630,2.1,1.9,,,,,,
1962,730286731,394309686,2,1.9,,,,,,
1963,749727869,401599159,8.9,9.1,,,,,,
1964,765100391,405577506,11.5,12,,,,,,
1965,777351501,407043701,12,12.6,,,,,,
1966,788061620,408444624,14.3,15.2,,,,,,
1967,801381024,413320834,16,17,,,,,,
1968,821429734,425818032,17.9,18.8,,,,,,
1969,842383547,442551541,54.5,54.4,25.2719101329183,18.0139892997629,7.39106336960949,2202144,1608915,593229
1970,860613885,459035857,54.9,53.8,24.7526497844156,17.6259543353476,7.25456406398263,2217353,1632577,584776
1971,877759627,474833490,54.7,52.6,24.2530408772095,17.2536869032995,7.12223885313252,2228782,1652784,575998
1972,893096011,485234663,78.8,79.3,22.3045270542642,15.808218455165,6.60065316629889,2086575,1546362,540213
1973,909906186,489568849,79.1,79.4,21.5925791640926,15.2566826499467,6.43405890907269,2047963,1505322,542641
1974,931026937,494057168,80.1,80.2,20.8919048816943,14.6937150981513,6.29062239683204,2014150,1462653,551497
1975,953759124,500423323,80.4,80.3,20.2557563478045,14.2215445136743,6.12126568657178,1990254,1433552,556702
1976,976704426,507848096,81.2,81,19.6141694553049,13.7302323896322,5.96584956662407,1965314,1404215,561099
1977,994707968,515602486,83.3,83.1,19.0329635616124,13.3139171360746,5.79621677538811,1939153,1382139,557014
1978,1004398171,520854851,83.6,83.4,18.4746989025562,12.8701419831406,5.67762880830605,1900018,1349379,550639
1979,1011625238,523455868,87.4,87.2,17.6359983117115,12.2038949009994,5.49921525573108,1823874,1285484,538390
1980,1018696856,524055365,90.9,90.7,17.0571122621769,11.7401355695157,5.38014026879987,1771446,1237762,533684
1981,1025043624,522891087,90.9,90.7,16.6029185260292,11.4115399798992,5.25130401180741,1729026,1200247,528780
1982,1031361278,521519259,91.4,91.1,16.1623600872399,11.0921996528271,5.12703048012448,1687550,1163412,524139
1983,1035961522,520634272,91.4,91,15.7822640164514,10.8097321666242,5.02687097874349,1651102,1131700,519402
1984,1040091634,522067171,91.5,91.2,15.5170903570887,10.6079223375365,4.96180243443088,1628861,1113516,515346
1985,1045927680,527368944,91.5,91.2,15.1601502724913,10.3164385950037,4.89420241618565,1602587,1093756,508831
1986,1053031441,535638034,91.7,91.4,14.7880484165599,10.0018104748691,4.83459262080734,1578345,1076855,501490
1987,1063045119,546960919,91.6,91.4,14.4206709895789,9.68520323414671,4.78178026916011,1559384,1064641,494743
1988,1073944152,558719875,96.6,96.6,14.581165085043,9.78685939320933,4.84169063732661,1599122,1099000,500122
1989,1085656906,568718285,97.6,97.5,14.3589182259432,9.60780422011369,4.79720460851197,1595267,1098102,497165
1990,1100673030,578215390,100,100,14.4799636335032,9.63421875124298,4.89288399701197,1632042,1119524,512519
1991,1118326574,587607334,100,100,14.4299928455807,9.56360847518463,4.91337395519566,1652138,1129330,522809
1992,1139186535,597125281,100,100,13.7057565296551,9.04554189264701,4.70275359163194,1596210,1085172,511038
1993,1160992791,606776685,100,100,13.4090999745167,8.79651794873832,4.65351676956656,1589234,1072220,517014
1994,1180912840,616223891,100,100,13.4573173912489,8.69481342381615,4.80427625308979,1620160,1076269,543891
1995,1198513418,624299653,100,100,12.5969741112082,8.18611195460279,4.44726799026585,1538193,1026318,511875
1996,1212450701,628399752,100,100,12.2472871609695,7.92727408447139,4.35453265032702,1510028,1000264,509764
1997,1220743619,626988514,100,100,11.9272718452913,7.70202564552658,4.25804174649592,1476276,969550,506726
1998,1226673922,623553029,100,100,11.645953425229,7.50763843597315,4.16961898098095,1443818,939810,504008
1999,1231181435,618940888,100,100,11.2689948969207,7.2517923996779,4.0465472176003,1397450,900953,496497
2000,1233392570,612826004,100,100,10.9396190284542,7.03979645647499,3.9274711696019,1354292,865882,488411
2001,1232396342,607847293,100,100,10.6653222553057,6.85239430417487,3.83923590940896,1316386,835906,480481
2002,1228663706,605533496,100,100,10.4060578979936,6.65674630144921,3.77443706652716,1280151,808869,471283
2003,1224420197,604476691,100,100,10.2096234427095,6.48594547288795,3.74798721050191,1252252,786672,465581
2004,1219782276,604156396,100,100,10.2347798349249,6.46168754631143,3.7976313961113,1251778,783305,468474
2005,1214837468,605150401,100,100,9.86361819027548,6.17051810618912,3.71602991395363,1203096,749130,453967
2006,1212618818,607567567,100,100,9.48480222684223,5.89676418645856,3.60932135730086,1156210,718655,437555
2007,1213462425,610480549,100,100,9.23399674112868,5.69759222163111,3.55666896894992,1127327,697641,429686
2008,1215778601,613899793,100,100,9.30466000749808,5.70334631837868,3.62197104434049,1139048,702259,436789
2009,1219560061,618014084,100,100,8.71046483222748,5.29367855165314,3.43496990709698,1070019,656050,413969
2010,1224427890,621903114,100,100,8.57408840632634,5.15972648859466,3.43207046260829,1057722,643430,414292
2011,1230714975,625815134,100,100,8.18139047900612,4.90022043097626,3.29732768049746,1014402,614833,399569
2012,1238958609,631091096,100,100,7.93009485832441,4.71595840130511,3.22936601279818,989887,596647,393240
2013,1249225950,637819469,100,100,7.71289507819695,4.55524026464445,3.17210451174794,970916,582411,388505
2014,1260955513,645331263,100,100,7.47318376537875,4.38193407437395,3.10485496075327,949681,566802,382879
2015,1272490869,652776127,100,100,7.26442230558466,4.22885979446137,3.0484539956608,931681,553270,378411
