"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","CMR.median","Under.five.deaths.median","Infant.deaths.median","Child.deaths.median"
"South-Eastern Asia",1953,42014197,21972664,0,0,,,,,,
"Northern Africa and Western Asia",1953,24620796,13278585,0,0,,,,,,
"Western Asia",1953,12152313,6420364,0,0,,,,,,
"Northern Africa",1953,12468483,6858221,0,0,,,,,,
"Sub-Saharan Africa",1953,46851460,25318905,1.52,1.5,,,,,,
"Oceania",1953,2505601,1396897,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1953,609215,327326,0,0,,,,,,
"Australia and New Zealand",1953,1896386,1069571,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1953,124516958,63266901,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1953,42623412,22299990,0,0,,,,,,
"World",1953,545514816,287393582,0.1,0.1,,,,,,
"Least developed countries",1954,52954034,28439311,7.96,7.97,,,,,,
"Landlocked developing countries",1954,26459049,14200176,0,0,,,,,,
"Small island developing States",1954,5364462,2878250,0,0,,,,,,
"Europe and Northern America",1954,124175869,65670026,0,0,,,,,,
"Northern America",1954,32196904,17888854,0,0,,,,,,
"Europe",1954,91978965,47781172,0,0,,,,,,
"Latin America and the Caribbean",1954,45493922,24746541,0,0,,,,,,
"Central and Southern Asia",1954,119170680,63282135,0,0,,,,,,
"Central Asia",1954,3432050,1807682,0,0,,,,,,
"Southern Asia",1954,115738630,61474453,0,0,,,,,,
"Eastern and South-Eastern Asia",1954,193716866,104998660,0,0,,,,,,
"Eastern Asia",1954,150857176,82350245,0,0,,,,,,
"South-Eastern Asia",1954,42859690,22648415,0,0,,,,,,
"Northern Africa and Western Asia",1954,25337873,13888578,0,0,,,,,,
"Western Asia",1954,12450064,6724857,0,0,,,,,,
"Northern Africa",1954,12887809,7163721,0,0,,,,,,
"Sub-Saharan Africa",1954,47842446,25812900,8.81,8.78,,,,,,
"Oceania",1954,2612207,1458386,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1954,623958,338422,0,0,,,,,,
"Australia and New Zealand",1954,1988249,1119964,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1954,126164118,66789990,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1954,43483648,22986837,0,0,,,,,,
"World",1954,558349863,299857226,0.8,0.8,,,,,,
"Least developed countries",1955,54090366,28998230,7.93,7.9,,,,,,
"Landlocked developing countries",1955,27109595,14813461,0,0,,,,,,
"Small island developing States",1955,5502665,2964223,0,0,,,,,,
"Europe and Northern America",1955,126276175,69336418,0,0,,,,,,
"Northern America",1955,33474384,18679754,0,0,,,,,,
"Europe",1955,92801791,50656664,0,0,,,,,,
"Latin America and the Caribbean",1955,47079630,25733475,0,0,,,,,,
"Central and Southern Asia",1955,122565558,65932145,0,0,,,,,,
"Central Asia",1955,3537537,2069985,0,0,,,,,,
"Southern Asia",1955,119028021,63862160,0,0,,,,,,
"Eastern and South-Eastern Asia",1955,200655638,111248525,0,0,,,,,,
"Eastern Asia",1955,156669244,87700728,0,0,,,,,,
"South-Eastern Asia",1955,43986394,23547797,0,0,,,,,,
"Northern Africa and Western Asia",1955,26218730,14559888,0,0,,,,,,
"Western Asia",1955,12827141,7066270,0,0,,,,,,
"Northern Africa",1955,13391589,7493618,0,0,,,,,,
"Sub-Saharan Africa",1955,48895559,26312270,8.78,8.7,,,,,,
"Oceania",1955,2723552,1516546,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1955,641551,350801,0,0,,,,,,
"Australia and New Zealand",1955,2082001,1165745,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1955,128358176,70502163,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1955,44627945,23898598,0,0,,,,,,
"World",1955,574414842,314639267,0.7,0.7,,,,,,
"Least developed countries",1956,55317710,29613269,7.9,7.82,,,,,,
"Landlocked developing countries",1956,27870997,15401925,0,0,,,,,,
"Small island developing States",1956,5653721,3056387,0,0,,,,,,
"Europe and Northern America",1956,128721532,71863507,0,0,,,,,,
"Northern America",1956,34708755,19239925,0,0,,,,,,
"Europe",1956,94012777,52623582,0,0,,,,,,
"Latin America and the Caribbean",1956,48730679,26745153,0,0,,,,,,
"Central and Southern Asia",1956,126481925,68823543,0,0,,,,,,
"Central Asia",1956,3727472,2320078,0,0,,,,,,
"Southern Asia",1956,122754453,66503465,0,0,,,,,,
"Eastern and South-Eastern Asia",1956,208241014,117385151,0,0,,,,,,
"Eastern Asia",1956,162960183,92847313,0,0,,,,,,
"South-Eastern Asia",1956,45280831,24537838,0,0,,,,,,
"Northern Africa and Western Asia",1956,27263726,15246063,0,0,,,,,,
"Western Asia",1956,13293613,7407094,0,0,,,,,,
"Northern Africa",1956,13970113,7838969,0,0,,,,,,
"Sub-Saharan Africa",1956,50000353,26831259,8.74,8.63,,,,,,
"Oceania",1956,2837780,1566434,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1956,661993,364275,0,0,,,,,,
"Australia and New Zealand",1956,2175787,1202159,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1956,130897319,73065666,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1956,45942824,24902113,0,0,,,,,,
"World",1956,592277009,328461110,0.7,0.7,,,,,,
"Least developed countries",1957,56621002,30289787,7.93,7.81,,,,,,
"Landlocked developing countries",1957,28727371,15936635,0,0,,,,,,
"Small island developing States",1957,5816403,3153278,0.72,0.72,,,,,,
"Europe and Northern America",1957,131972759,73097814,0,0,,,,,,
"Northern America",1957,35824647,19474258,0,0,,,,,,
"Europe",1957,96148112,53623556,0,0,,,,,,
"Latin America and the Caribbean",1957,50451311,27760493,0,0,,,,,,
"Central and Southern Asia",1957,130842767,71937533,0,0,,,,,,
"Central Asia",1957,3978649,2528685,0,0,,,,,,
"Southern Asia",1957,126864118,69408848,0,0,,,,,,
"Eastern and South-Eastern Asia",1957,217280153,123593195,0,0,,,,,,
"Eastern Asia",1957,170490599,97929746,0,0,,,,,,
"South-Eastern Asia",1957,46789554,25663449,0,0,,,,,,
"Northern Africa and Western Asia",1957,28416513,15902358,0,0,,,,,,
"Western Asia",1957,13828808,7721550,0,0,,,,,,
"Northern Africa",1957,14587705,8180808,0,0,,,,,,
"Sub-Saharan Africa",1957,51161371,27408437,8.78,8.63,,,,,,
"Oceania",1957,2951993,1601001,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1957,685414,379253,0,0,,,,,,
"Australia and New Zealand",1957,2266579,1221748,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1957,134239338,74319562,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1957,47474968,26042702,0,0,,,,,,
"World",1957,613076867,341300831,0.7,0.7,,,,,,
"Least developed countries",1958,57991256,31102486,8.55,8.43,,,,,,
"Landlocked developing countries",1958,29696137,16471048,1.29,1.3,,,,,,
"Small island developing States",1958,5988441,3251828,0.88,0.9,,,,,,
"Europe and Northern America",1958,135993791,74034058,0,0,,,,,,
"Northern America",1958,36875889,19757298,0,0,,,,,,
"Europe",1958,99117902,54276760,0,0,,,,,,
"Latin America and the Caribbean",1958,52244612,28750305,0,0,,,,,,
"Central and Southern Asia",1958,135612666,75367336,0,0,,,,,,
"Central Asia",1958,4311143,2723172,0,0,,,,,,
"Southern Asia",1958,131301523,72644164,0,0,,,,,,
"Eastern and South-Eastern Asia",1958,227550810,129850458,0,0,,,,,,
"Eastern Asia",1958,179018069,102925456,0,0,,,,,,
"South-Eastern Asia",1958,48532741,26925002,0,0,,,,,,
"Northern Africa and Western Asia",1958,29658711,16577401,0,0,,,,,,
"Western Asia",1958,14433263,8047181,0,0,,,,,,
"Northern Africa",1958,15225448,8530220,0,0,,,,,,
"Sub-Saharan Africa",1958,52373780,28098141,9.48,9.34,,,,,,
"Oceania",1958,3064107,1634962,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1958,710924,394948,0,0,,,,,,
"Australia and New Zealand",1958,2353183,1240014,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1958,138346974,75274072,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1958,49243665,27319950,0,0,,,,,,
"World",1958,636498477,354312661,0.8,0.7,,,,,,
"Least developed countries",1959,59426479,32037280,10.38,10.15,,,,,,
"Landlocked developing countries",1959,30768988,17006889,4.89,4.65,,,,,,
"Small island developing States",1959,6167683,3352392,0.89,0.92,,,,,,
"Europe and Northern America",1959,140870791,74972931,0,0,,,,,,
"Northern America",1959,38028382,20203888,0,0,,,,,,
"Europe",1959,102842409,54769043,0,0,,,,,,
"Latin America and the Caribbean",1959,54102779,29696582,0,0,,,,,,
"Central and Southern Asia",1959,140779077,78611145,0,0,,,,,,
"Central Asia",1959,4705906,2902512,0,0,,,,,,
"Southern Asia",1959,136073171,75708633,0,0,,,,,,
"Eastern and South-Eastern Asia",1959,237711721,135168932,0,0,,,,,,
"Eastern Asia",1959,187242211,106984047,0,0,,,,,,
"South-Eastern Asia",1959,50469510,28184885,0,0,,,,,,
"Northern Africa and Western Asia",1959,30969849,17273532,0,0,,,,,,
"Western Asia",1959,15095918,8392145,0,0,,,,,,
"Northern Africa",1959,15873931,8881387,0,0,,,,,,
"Sub-Saharan Africa",1959,53638669,28882200,11.52,11.27,,,,,,
"Oceania",1959,3166219,1672241,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1959,738045,410608,0,0,,,,,,
"Australia and New Zealand",1959,2428174,1261633,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1959,143298965,76234564,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1959,51207555,28595493,0,0,,,,,,
"World",1959,661239105,366277563,0.9,0.9,,,,,,
"Least developed countries",1960,60955719,33013697,10.3,10.1,,,,,,
"Landlocked developing countries",1960,31896271,17526262,4.79,4.63,,,,,,
"Small island developing States",1960,6352402,3454892,0.89,0.94,,,,,,
"Europe and Northern America",1960,145485829,75824835,0,0,,,,,,
"Northern America",1960,39430478,20769346,0,0,,,,,,
"Europe",1960,106055351,55055489,0,0,,,,,,
"Latin America and the Caribbean",1960,56019678,30633303,0,0,,,,,,
"Central and Southern Asia",1960,146207047,81412367,0,0,,,,,,
"Central Asia",1960,5118932,3054435,0,0,,,,,,
"Southern Asia",1960,141088115,78357932,0,0,,,,,,
"Eastern and South-Eastern Asia",1960,247848991,139479679,0,0,,,,,,
"Eastern Asia",1960,195259483,110068425,0,0,,,,,,
"South-Eastern Asia",1960,52589508,29411254,0,0,,,,,,
"Northern Africa and Western Asia",1960,32306003,17946265,0,0,,,,,,
"Western Asia",1960,15785002,8739990,0,0,,,,,,
"Northern Africa",1960,16521001,9206275,0,0,,,,,,
"Sub-Saharan Africa",1960,54969388,29719545,11.44,11.24,,,,,,
"Oceania",1960,3260738,1708319,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1960,766197,426510,0,0,,,,,,
"Australia and New Zealand",1960,2494541,1281809,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1960,147980370,77106644,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1960,53355705,29837764,0,0,,,,,,
"World",1960,686097674,376724313,0.9,0.9,,,,,,
"Least developed countries",1961,62556402,34003504,10.22,10.07,,,,,,
"Landlocked developing countries",1961,33010510,18053322,4.69,4.6,,,,,,
"Small island developing States",1961,6532893,3557416,0.89,0.95,,,,,,
"Europe and Northern America",1961,148950787,76740617,0,0,,,,,,
"Northern America",1961,40612152,21324091,0,0,,,,,,
"Europe",1961,108338635,55416526,0,0,,,,,,
"Latin America and the Caribbean",1961,57983835,31595125,0,0,,,,,,
"Central and Southern Asia",1961,151790810,84129730,0,0,,,,,,
"Central Asia",1961,5509528,3196125,0,0,,,,,,
"Southern Asia",1961,146281282,80933605,0,0,,,,,,
"Eastern and South-Eastern Asia",1961,256369449,142373314,0,0,,,,,,
"Eastern Asia",1961,201583853,111728933,0,0,,,,,,
"South-Eastern Asia",1961,54785596,30644381,0,0,,,,,,
"Northern Africa and Western Asia",1961,33604222,18563665,0,0,,,,,,
"Western Asia",1961,16449095,9057208,0,0,,,,,,
"Northern Africa",1961,17155127,9506457,0,0,,,,,,
"Sub-Saharan Africa",1961,56360338,30596188,11.36,11.21,,,,,,
"Oceania",1961,3345354,1746242,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1961,794590,442313,0,0,,,,,,
"Australia and New Zealand",1961,2550764,1303929,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1961,151501551,78044546,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1961,55580186,31086694,0,0,,,,,,
"World",1961,708404795,385744881,0.9,0.9,,,,,,
"Least developed countries",1962,64243732,35013109,10.15,10.03,,,,,,
"Landlocked developing countries",1962,34101620,18603139,4.62,4.57,,,,,,
"Small island developing States",1962,6725762,3664711,0.9,0.95,,,,,,
"Europe and Northern America",1962,150890930,77554049,0,0,,,,,,
"Northern America",1962,41449892,21837599,0,0,,,,,,
"Europe",1962,109441038,55716450,0,0,,,,,,
"Latin America and the Caribbean",1962,59970808,32571726,0,0,,,,,,
"Central and Southern Asia",1962,157551896,86802117,0,0,,,,,,
"Central Asia",1962,5877234,3355316,0,0,,,,,,
"Southern Asia",1962,151674662,83446801,0,0,,,,,,
"Eastern and South-Eastern Asia",1962,264718447,144865813,0,0,,,,,,
"Eastern Asia",1962,207567948,112951039,0,0,,,,,,
"South-Eastern Asia",1962,57150499,31914774,0,0,,,,,,
"Northern Africa and Western Asia",1962,34694144,19065360,0,0,,,,,,
"Western Asia",1962,17001190,9304353,0,0,,,,,,
"Northern Africa",1962,17692954,9761007,0,0,,,,,,
"Sub-Saharan Africa",1962,57804134,31477110,11.3,11.18,,,,,,
"Oceania",1962,3411180,1785089,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1962,820199,457248,0,0,,,,,,
"Australia and New Zealand",1962,2590981,1327841,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1962,153481911,78881890,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1962,57970698,32372022,0,0,,,,,,
"World",1962,729041539,394121264,0.9,0.9,,,,,,
"Least developed countries",1963,66103417,36056319,32.37,32.71,,,,,,
"Landlocked developing countries",1963,35233541,19190183,6.9,6.83,,,,,,
"Small island developing States",1963,6924408,3771735,0.91,0.96,,,,,,
"Europe and Northern America",1963,152551370,78409589,0,0,,,,,,
"Northern America",1963,42266049,22293826,0,0,,,,,,
"Europe",1963,110285321,56115763,0,0,,,,,,
"Latin America and the Caribbean",1963,61929136,33549276,0,0,,,,,,
"Central and Southern Asia",1963,163537005,89381081,15.86,16.17,,,,,,
"Central Asia",1963,6247910,3531364,0,0,,,,,,
"Southern Asia",1963,157289095,85849717,16.49,16.84,,,,,,
"Eastern and South-Eastern Asia",1963,272252233,146409797,9.2,9.63,,,,,,
"Eastern Asia",1963,212600335,113222369,0,0,,,,,,
"South-Eastern Asia",1963,59651898,33187428,41.99,42.47,,,,,,
"Northern Africa and Western Asia",1963,35803998,19578353,0,0,,,,,,
"Western Asia",1963,17564650,9567637,0,0,,,,,,
"Northern Africa",1963,18239348,10010716,0,0,,,,,,
"Sub-Saharan Africa",1963,59402754,32395705,12.62,12.5,,,,,,
"Oceania",1963,3478603,1826200,0,0,,,,,,
"Oceania (exc. Australia and New Zealand)",1963,846864,472860,0,0,,,,,,
"Australia and New Zealand",1963,2631739,1353340,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1963,155183109,79762929,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1963,60498762,33660288,41.41,41.87,,,,,,
"World",1963,748955099,401550001,7.8,8.1,,,,,,
"Least developed countries",1964,68138217,37151098,32.55,32.86,,,,,,
"Landlocked developing countries",1964,36417398,19829790,6.86,6.75,,,,,,
"Small island developing States",1964,7124315,3878146,2.72,2.78,,,,,,
"Europe and Northern America",1964,154043869,79158387,0,0,,,,,,
"Northern America",1964,43141123,22655577,0,0,,,,,,
"Europe",1964,110902746,56502810,0,0,,,,,,
"Latin America and the Caribbean",1964,63857201,34539396,0,0,,,,,,
"Central and Southern Asia",1964,169235249,91862456,15.96,16.38,,,,,,
"Central Asia",1964,6616616,3720254,0,0,,,,,,
"Southern Asia",1964,162618633,88142202,16.61,17.07,,,,,,
"Eastern and South-Eastern Asia",1964,275962934,144843001,12.18,13.12,,,,,,
"Eastern Asia",1964,213833622,110410504,3.48,3.9,,,,,,
"South-Eastern Asia",1964,62129312,34432497,42.13,42.66,,,,,,
"Northern Africa and Western Asia",1964,36949548,20127434,0,0,,,,,,
"Western Asia",1964,18184231,9878190,0,0,,,,,,
"Northern Africa",1964,18765317,10249244,0,0,,,,,,
"Sub-Saharan Africa",1964,61140163,33362173,31.92,31.62,,,,,,
"Oceania",1964,3556230,1872206,3.61,3.78,,,,,,
"Oceania (exc. Australia and New Zealand)",1964,873178,488774,14.69,14.48,,,,,,
"Australia and New Zealand",1964,2683052,1383432,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1964,156726921,80541819,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1964,63002490,34921271,41.75,42.26,,,,,,
"World",1964,764745194,405765053,10.5,11,,,,,,
"Least developed countries",1965,70254765,38299434,32.72,32.99,,,,,,
"Landlocked developing countries",1965,37621793,20509945,6.81,6.67,,,,,,
"Small island developing States",1965,7327474,3985803,5.33,5.36,,,,,,
"Europe and Northern America",1965,155448604,79712039,0,0,,,,,,
"Northern America",1965,43992769,22925731,0,0,,,,,,
"Europe",1965,111455835,56786308,0,0,,,,,,
"Latin America and the Caribbean",1965,65785583,35539638,0.29,0.29,,,,,,
"Central and Southern Asia",1965,174422657,94290102,16.15,16.6,,,,,,
"Central Asia",1965,6962371,3914051,0,0,,,,,,
"Southern Asia",1965,167460286,90376051,16.82,17.31,,,,,,
"Eastern and South-Eastern Asia",1965,276448181,140585864,12.73,14.05,,,,,,
"Eastern Asia",1965,211926875,104953644,3.7,4.28,,,,,,
"South-Eastern Asia",1965,64521306,35632220,42.36,42.82,,,,,,
"Northern Africa and Western Asia",1965,38151255,20729017,0,0,,,,,,
"Western Asia",1965,18859102,10232914,0,0,,,,,,
"Northern Africa",1965,19292153,10496103,0,0,,,,,,
"Sub-Saharan Africa",1965,62965543,34372487,31.8,31.48,,,,,,
"Oceania",1965,3640534,1923532,3.65,3.81,,,,,,
"Oceania (exc. Australia and New Zealand)",1965,899712,504786,14.78,14.52,,,,,,
"Australia and New Zealand",1965,2740822,1418746,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1965,158189426,81130785,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1965,65421018,36137006,41.98,42.43,,,,,,
"World",1965,776862357,407152679,10.8,11.4,,,,,,
"Least developed countries",1966,72438640,39502264,35.76,35.97,,,,,,
"Landlocked developing countries",1966,38842450,21204829,6.74,6.59,,,,,,
"Small island developing States",1966,7536876,4095770,19.61,19.24,,,,,,
"Europe and Northern America",1966,156809844,80144790,0,0,,,,,,
"Northern America",1966,44793622,23146175,0,0,,,,,,
"Europe",1966,112016222,56998615,0,0,,,,,,
"Latin America and the Caribbean",1966,67741902,36542354,1.88,1.84,,,,,,
"Central and Southern Asia",1966,179512218,96715296,16.34,16.83,,,,,,
"Central Asia",1966,7294358,4103257,0,0,,,,,,
"Southern Asia",1966,172217860,92612039,17.03,17.57,,,,,,
"Eastern and South-Eastern Asia",1966,275509597,136110864,16.97,19.08,,,,,,
"Eastern Asia",1966,208675436,99374619,3.95,4.68,,,,,,
"South-Eastern Asia",1966,66834161,36736245,57.62,58.04,27.8598359976762,19.12585847097,8.90427951652519,195715,141878,53837
"Northern Africa and Western Asia",1966,39412718,21385812,0,0,,,,,,
"Western Asia",1966,19555216,10600105,0,0,,,,,,
"Northern Africa",1966,19857502,10785707,0,0,,,,,,
"Sub-Saharan Africa",1966,64883840,35437663,39.73,39.59,,,,,,
"Oceania",1966,3738404,1981677,3.69,3.82,,,,,,
"Oceania (exc. Australia and New Zealand)",1966,927223,520808,14.86,14.52,,,,,,
"Australia and New Zealand",1966,2811181,1460869,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1966,159621025,81605659,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1966,67761384,37257053,57.03,57.43,27.7971477261322,19.0811279268355,8.88556642903139,197992,143550,54443
"World",1966,787608523,408318456,13.1,14,,,,,,
"Least developed countries",1967,74694116,40759382,40.14,40.33,,,,,,
"Landlocked developing countries",1967,40085995,21902679,7.3,7.15,,,,,,
"Small island developing States",1967,7752088,4207425,19.5,19.11,,,,,,
"Europe and Northern America",1967,158030457,80362571,0,0,,,,,,
"Northern America",1967,45411173,23231239,0,0,,,,,,
"Europe",1967,112619284,57131332,0,0,,,,,,
"Latin America and the Caribbean",1967,69712595,37545915,1.86,1.83,,,,,,
"Central and Southern Asia",1967,184536409,99130907,16.54,17.06,,,,,,
"Central Asia",1967,7628376,4277834,0,0,,,,,,
"Southern Asia",1967,176908033,94853073,17.26,17.83,,,,,,
"Eastern and South-Eastern Asia",1967,277634613,135453248,17.49,19.81,,,,,,
"Eastern Asia",1967,208515184,97683691,4.11,4.9,,,,,,
"South-Eastern Asia",1967,69119429,37769557,57.86,58.37,26.9555719658179,18.4435094603545,8.67200470630419,195218,140614,54604
"Northern Africa and Western Asia",1967,40753890,22102883,28.93,28.9,,,,,,
"Western Asia",1967,20252828,10977860,43.82,43.65,,,,,,
"Northern Africa",1967,20501062,11125023,14.22,14.34,,,,,,
"Sub-Saharan Africa",1967,66876777,36558345,40.05,39.88,,,,,,
"Oceania",1967,3835161,2035771,3.71,3.82,,,,,,
"Oceania (exc. Australia and New Zealand)",1967,956098,536702,14.89,14.5,,,,,,
"Australia and New Zealand",1967,2879063,1499069,0,0,,,,,,
"Europe, Northern America, Australia and New Zealand",1967,160909520,81861640,0,0,,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)",1967,70075527,38306259,57.27,57.75,26.8974081707312,18.4018609217188,8.65481189378547,197503,142285,55219
"World",1967,801379902,413189640,14.9,15.8,,,,,,
