"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Least developed countries","1950","48727924","26064517","0","0",,,,,,
"Landlocked developing countries","1950","24880867","12682939","0","0",,,,,,
"Small island developing States","1950","4916280","2602852","0","0",,,,,,
"Europe and Northern America","1950","120918805","57275815","0","0",,,,,,
"Northern America","1950","27351015","14882304","0","0",,,,,,
"Europe","1950","93567790","42393511","0","0",,,,,,
"Latin America and the Caribbean","1950","40373208","21666407","0","0",,,,,,
"Central and Southern Asia","1950","111951408","57724264","0","0",,,,,,
"Central Asia","1950","3662564","1469385","0","0",,,,,,
"Southern Asia","1950","108288844","56254879","0","0",,,,,,
"Eastern and South-Eastern Asia","1950","178792783","91798758","0","0",,,,,,
"Eastern Asia","1950","138406911","70953924","0","0",,,,,,
"South-Eastern Asia","1950","40385872","20844834","0","0",,,,,,
"Northern Africa and Western Asia","1950","23162552","11987508","0","0",,,,,,
"Western Asia","1950","11616084","5939404","0","0",,,,,,
"Northern Africa","1950","11546468","6048104","0","0",,,,,,
"Sub-Saharan Africa","1950","43841402","23568077","0","0",,,,,,
"Oceania","1950","2192812","1185828","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1950","581932","305418","0","0",,,,,,
"Australia and New Zealand","1950","1610881","880410","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1950","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1950","0","0","NaN","NaN",,,,,,
"World","1950","521232969","265206654","0","0",,,,,,
"Least developed countries","1951","49776908","26693807","0","0",,,,,,
"Landlocked developing countries","1951","25168134","12863592","0","0",,,,,,
"Small island developing States","1951","5020232","2662814","0","0",,,,,,
"Europe and Northern America","1951","120704482","57177473","0","0",,,,,,
"Northern America","1951","28295040","15537488","0","0",,,,,,
"Europe","1951","92409443","41639986","0","0",,,,,,
"Latin America and the Caribbean","1951","41471852","22309279","0","0",,,,,,
"Central and Southern Asia","1951","113481583","58753747","0","0",,,,,,
"Central Asia","1951","3552719","1409287","0","0",,,,,,
"Southern Asia","1951","109928865","57344460","0","0",,,,,,
"Eastern and South-Eastern Asia","1951","180493333","93156399","0","0",,,,,,
"Eastern Asia","1951","139613790","72017107","0","0",,,,,,
"South-Eastern Asia","1951","40879543","21139292","0","0",,,,,,
"Northern Africa and Western Asia","1951","23539706","12299574","0","0",,,,,,
"Western Asia","1951","11740113","6017199","0","0",,,,,,
"Northern Africa","1951","11799594","6282375","0","0",,,,,,
"Sub-Saharan Africa","1951","44833182","24169242","0","0",,,,,,
"Oceania","1951","2289081","1249127","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1951","588106","310832","0","0",,,,,,
"Australia and New Zealand","1951","1700976","938295","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1951","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1951","0","0","NaN","NaN",,,,,,
"World","1951","526813219","269114839","0","0",,,,,,
"Least developed countries","1952","50852590","27338446","0","0",,,,,,
"Landlocked developing countries","1952","25529242","13197843","0","0",,,,,,
"Small island developing States","1952","5124854","2727034","0","0",,,,,,
"Europe and Northern America","1952","121549159","59180201","0","0",,,,,,
"Northern America","1952","29607918","16406386","0","0",,,,,,
"Europe","1952","91941242","42773815","0","0",,,,,,
"Latin America and the Caribbean","1952","42674612","23017746","0","0",,,,,,
"Central and Southern Asia","1952","115100070","60006010","0","0",,,,,,
"Central Asia","1952","3474020","1452710","0","0",,,,,,
"Southern Asia","1952","111626051","58553300","0","0",,,,,,
"Eastern and South-Eastern Asia","1952","183724045","95994295","0","0",,,,,,
"Eastern Asia","1952","142310968","74482945","0","0",,,,,,
"South-Eastern Asia","1952","41413077","21511350","0","0",,,,,,
"Northern Africa and Western Asia","1952","24023364","12743013","0","0",,,,,,
"Western Asia","1952","11914157","6181230","0","0",,,,,,
"Northern Africa","1952","12109207","6561783","0","0",,,,,,
"Sub-Saharan Africa","1952","45843187","24769531","0","0",,,,,,
"Oceania","1952","2400523","1326104","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1952","596397","317728","0","0",,,,,,
"Australia and New Zealand","1952","1804126","1008376","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1952","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1952","0","0","NaN","NaN",,,,,,
"World","1952","535314958","277036897","0","0",,,,,,
"Least developed countries","1953","51888292","27911547","1.37","1.36",,,,,,
"Landlocked developing countries","1953","25943806","13647335","0","0",,,,,,
"Small island developing States","1953","5236568","2798586","0","0",,,,,,
"Europe and Northern America","1953","122555973","62137355","0","0",,,,,,
"Northern America","1953","30925046","17174408","0","0",,,,,,
"Europe","1953","91630927","44962947","0","0",,,,,,
"Latin America and the Caribbean","1953","44009535","23825192","0","0",,,,,,
"Central and Southern Asia","1953","116777303","61356537","0","0",,,,,,
"Central Asia","1953","3426065","1591991","0","0",,,,,,
"Southern Asia","1953","113351238","59764546","0","0",,,,,,
"Eastern and South-Eastern Asia","1953","188141014","100024792","0","0",,,,,,
"Eastern Asia","1953","146110510","78042814","0","0",,,,,,
"South-Eastern Asia","1953","42030504","21981978","0","0",,,,,,
"Northern Africa and Western Asia","1953","24618985","13289765","0","0",,,,,,
"Western Asia","1953","12151513","6432045","0","0",,,,,,
"Northern Africa","1953","12467472","6857720","0","0",,,,,,
"Sub-Saharan Africa","1953","46824112","25307470","1.52","1.5",,,,,,
"Oceania","1953","2511807","1400776","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1953","608097","326844","0","0",,,,,,
"Australia and New Zealand","1953","1903710","1073932","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1953","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1953","0","0","NaN","NaN",,,,,,
"World","1953","545438727","287341885","0.1","0.1",,,,,,
"Least developed countries","1954","52925875","28427330","7.97","7.97",,,,,,
"Landlocked developing countries","1954","26454766","14197830","0","0",,,,,,
"Small island developing States","1954","5359424","2876751","0","0",,,,,,
"Europe and Northern America","1954","124120594","65620672","0","0",,,,,,
"Northern America","1954","32190051","17891494","0","0",,,,,,
"Europe","1954","91930543","47729178","0","0",,,,,,
"Latin America and the Caribbean","1954","45485536","24742590","0","0",,,,,,
"Central and Southern Asia","1954","119175689","63284522","0","0",,,,,,
"Central Asia","1954","3434798","1809084","0","0",,,,,,
"Southern Asia","1954","115740891","61475438","0","0",,,,,,
"Eastern and South-Eastern Asia","1954","193738977","105005658","0","0",,,,,,
"Eastern Asia","1954","150861266","82346414","0","0",,,,,,
"South-Eastern Asia","1954","42877712","22659244","0","0",,,,,,
"Northern Africa and Western Asia","1954","25341616","13906147","0","0",,,,,,
"Western Asia","1954","12454958","6743000","0","0",,,,,,
"Northern Africa","1954","12886658","7163147","0","0",,,,,,
"Sub-Saharan Africa","1954","47815241","25801567","8.82","8.78",,,,,,
"Oceania","1954","2619966","1463233","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1954","623029","338003","0","0",,,,,,
"Australia and New Zealand","1954","1996937","1125230","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1954","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1954","0","0","NaN","NaN",,,,,,
"World","1954","558297617","299824386","0.8","0.8",,,,,,
"Least developed countries","1955","54061776","28986034","7.94","7.9",,,,,,
"Landlocked developing countries","1955","27105219","14811191","0","0",,,,,,
"Small island developing States","1955","5496969","2962191","0","0",,,,,,
"Europe and Northern America","1955","126236329","69301473","0","0",,,,,,
"Northern America","1955","33464774","18678111","0","0",,,,,,
"Europe","1955","92771555","50623363","0","0",,,,,,
"Latin America and the Caribbean","1955","47070029","25728813","0","0",,,,,,
"Central and Southern Asia","1955","122569303","65933955","0","0",,,,,,
"Central Asia","1955","3540325","2071415","0","0",,,,,,
"Southern Asia","1955","119028978","63862540","0","0",,,,,,
"Eastern and South-Eastern Asia","1955","200680045","111254831","0","0",,,,,,
"Eastern Asia","1955","156674877","87695439","0","0",,,,,,
"South-Eastern Asia","1955","44005169","23559393","0","0",,,,,,
"Northern Africa and Western Asia","1955","26229454","14577671","0","0",,,,,,
"Western Asia","1955","12837218","7083022","0","0",,,,,,
"Northern Africa","1955","13392237","7494649","0","0",,,,,,
"Sub-Saharan Africa","1955","48867244","26300137","8.78","8.71",,,,,,
"Oceania","1955","2733060","1522352","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1955","640805","350439","0","0",,,,,,
"Australia and New Zealand","1955","2092255","1171913","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1955","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1955","0","0","NaN","NaN",,,,,,
"World","1955","574385462","314619230","0.7","0.7",,,,,,
"Least developed countries","1956","55288747","29600888","7.9","7.82",,,,,,
"Landlocked developing countries","1956","27866391","15399801","0","0",,,,,,
"Small island developing States","1956","5648127","3054439","0","0",,,,,,
"Europe and Northern America","1956","128685785","71833088","0","0",,,,,,
"Northern America","1956","34702745","19233536","0","0",,,,,,
"Europe","1956","93983041","52599552","0","0",,,,,,
"Latin America and the Caribbean","1956","48719990","26739905","0","0",,,,,,
"Central and Southern Asia","1956","126487412","68826159","0","0",,,,,,
"Central Asia","1956","3730272","2321532","0","0",,,,,,
"Southern Asia","1956","122757140","66504627","0","0",,,,,,
"Eastern and South-Eastern Asia","1956","208248156","117391041","0","0",,,,,,
"Eastern Asia","1956","162947944","92841188","0","0",,,,,,
"South-Eastern Asia","1956","45300212","24549853","0","0",,,,,,
"Northern Africa and Western Asia","1956","27271721","15253720","0","0",,,,,,
"Western Asia","1956","13303463","7414873","0","0",,,,,,
"Northern Africa","1956","13968258","7838848","0","0",,,,,,
"Sub-Saharan Africa","1956","49971588","26819000","8.74","8.63",,,,,,
"Oceania","1956","2846993","1571757","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1956","661424","363966","0","0",,,,,,
"Australia and New Zealand","1956","2185569","1207791","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1956","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1956","0","0","NaN","NaN",,,,,,
"World","1956","592231643","328434669","0.7","0.7",,,,,,
"Least developed countries","1957","56591422","30277494","7.94","7.82",,,,,,
"Landlocked developing countries","1957","28723392","15935413","0","0",,,,,,
"Small island developing States","1957","5809444","3150151","0.73","0.72",,,,,,
"Europe and Northern America","1957","132000675","73067352","0","0",,,,,,
"Northern America","1957","35819721","19467346","0","0",,,,,,
"Europe","1957","96180955","53600007","0","0",,,,,,
"Latin America and the Caribbean","1957","50439506","27754659","0","0",,,,,,
"Central and Southern Asia","1957","130835461","71934321","0","0",,,,,,
"Central Asia","1957","3981471","2530167","0","0",,,,,,
"Southern Asia","1957","126853991","69404154","0","0",,,,,,
"Eastern and South-Eastern Asia","1957","217285122","123597495","0","0",,,,,,
"Eastern Asia","1957","170477548","97923234","0","0",,,,,,
"South-Eastern Asia","1957","46807574","25674261","0","0",,,,,,
"Northern Africa and Western Asia","1957","28423569","15913711","0","0",,,,,,
"Western Asia","1957","13842425","7735281","0","0",,,,,,
"Northern Africa","1957","14581145","8178430","0","0",,,,,,
"Sub-Saharan Africa","1957","51132309","27396518","8.78","8.64",,,,,,
"Oceania","1957","2960355","1605644","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1957","684691","378888","0","0",,,,,,
"Australia and New Zealand","1957","2275664","1226756","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1957","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1957","0","0","NaN","NaN",,,,,,
"World","1957","613076996","341269699","0.7","0.7",,,,,,
"Least developed countries","1958","57954509","31086716","8.55","8.43",,,,,,
"Landlocked developing countries","1958","29690060","16469005","1.29","1.3",,,,,,
"Small island developing States","1958","5980076","3247705","0.88","0.9",,,,,,
"Europe and Northern America","1958","136272526","74070094","0","0",,,,,,
"Northern America","1958","36869553","19752690","0","0",,,,,,
"Europe","1958","99402973","54317404","0","0",,,,,,
"Latin America and the Caribbean","1958","52231381","28743744","0","0",,,,,,
"Central and Southern Asia","1958","135616291","75368878","0","0",,,,,,
"Central Asia","1958","4313933","2724664","0","0",,,,,,
"Southern Asia","1958","131302358","72644214","0","0",,,,,,
"Eastern and South-Eastern Asia","1958","227541220","129847632","0","0",,,,,,
"Eastern Asia","1958","178998118","102915434","0","0",,,,,,
"South-Eastern Asia","1958","48543102","26932198","0","0",,,,,,
"Northern Africa and Western Asia","1958","29669991","16594209","0","0",,,,,,
"Western Asia","1958","14452408","8066920","0","0",,,,,,
"Northern Africa","1958","15217583","8527289","0","0",,,,,,
"Sub-Saharan Africa","1958","52340372","28084287","9.49","9.35",,,,,,
"Oceania","1958","3071947","1639227","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1958","710154","394576","0","0",,,,,,
"Australia and New Zealand","1958","2361793","1244651","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1958","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1958","0","0","NaN","NaN",,,,,,
"World","1958","636743726","354348070","0.8","0.7",,,,,,
"Least developed countries","1959","59398112","32025840","10.38","10.15",,,,,,
"Landlocked developing countries","1959","30765575","17005824","4.89","4.65",,,,,,
"Small island developing States","1959","6158101","3347832","0.88","0.92",,,,,,
"Europe and Northern America","1959","140880338","74972121","0","0",,,,,,
"Northern America","1959","38077174","20223996","0","0",,,,,,
"Europe","1959","102803164","54748125","0","0",,,,,,
"Latin America and the Caribbean","1959","54088584","29689541","0","0",,,,,,
"Central and Southern Asia","1959","140785526","78614432","0","0",,,,,,
"Central Asia","1959","4709506","2904476","0","0",,,,,,
"Southern Asia","1959","136076020","75709956","0","0",,,,,,
"Eastern and South-Eastern Asia","1959","237705160","135167458","0","0",,,,,,
"Eastern Asia","1959","187224340","106975009","0","0",,,,,,
"South-Eastern Asia","1959","50480820","28192449","0","0",,,,,,
"Northern Africa and Western Asia","1959","30989631","17296432","0","0",,,,,,
"Western Asia","1959","15122334","8417345","0","0",,,,,,
"Northern Africa","1959","15867297","8879087","0","0",,,,,,
"Sub-Saharan Africa","1959","53610064","28870896","11.52","11.28",,,,,,
"Oceania","1959","3173691","1676257","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1959","737159","410220","0","0",,,,,,
"Australia and New Zealand","1959","2436532","1266037","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1959","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1959","0","0","NaN","NaN",,,,,,
"World","1959","661232992","366287135","0.9","0.9",,,,,,
"Least developed countries","1960","60930378","33003576","10.3","10.11",,,,,,
"Landlocked developing countries","1960","31895718","17527180","4.79","4.63",,,,,,
"Small island developing States","1960","6336514","3449237","0.88","0.94",,,,,,
"Europe and Northern America","1960","145509332","75826066","0","0",,,,,,
"Northern America","1960","39485389","20792727","0","0",,,,,,
"Europe","1960","106023943","55033339","0","0",,,,,,
"Latin America and the Caribbean","1960","56002712","30625698","0","0",,,,,,
"Central and Southern Asia","1960","146214713","81416111","0","0",,,,,,
"Central Asia","1960","5122152","3056078","0","0",,,,,,
"Southern Asia","1960","141092562","78360033","0","0",,,,,,
"Eastern and South-Eastern Asia","1960","247829120","139470790","0","0",,,,,,
"Eastern Asia","1960","195245820","110061747","0","0",,,,,,
"South-Eastern Asia","1960","52583300","29409043","0","0",,,,,,
"Northern Africa and Western Asia","1960","32323593","17966112","0","0",,,,,,
"Western Asia","1960","15809232","8762125","0","0",,,,,,
"Northern Africa","1960","16514361","9203987","0","0",,,,,,
"Sub-Saharan Africa","1960","54943221","29710769","11.44","11.25",,,,,,
"Oceania","1960","3268241","1712440","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1960","764893","425985","0","0",,,,,,
"Australia and New Zealand","1960","2503348","1286455","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1960","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1960","0","0","NaN","NaN",,,,,,
"World","1960","686090930","376727984","0.9","0.9",,,,,,
"Least developed countries","1961","62532247","33993923","10.23","10.07",,,,,,
"Landlocked developing countries","1961","33012386","18055650","4.69","4.6",,,,,,
"Small island developing States","1961","6518564","3552617","0.89","0.94",,,,,,
"Europe and Northern America","1961","148947458","76717092","0","0",,,,,,
"Northern America","1961","40676451","21353409","0","0",,,,,,
"Europe","1961","108271007","55363683","0","0",,,,,,
"Latin America and the Caribbean","1961","57967843","31587555","0","0",,,,,,
"Central and Southern Asia","1961","151802174","84135196","0","0",,,,,,
"Central Asia","1961","5513626","3198217","0","0",,,,,,
"Southern Asia","1961","146288549","80936979","0","0",,,,,,
"Eastern and South-Eastern Asia","1961","256369165","142369438","0","0",,,,,,
"Eastern Asia","1961","201588923","111726872","0","0",,,,,,
"South-Eastern Asia","1961","54780242","30642566","0","0",,,,,,
"Northern Africa and Western Asia","1961","33538569","18542508","0","0",,,,,,
"Western Asia","1961","16432602","9056545","0","0",,,,,,
"Northern Africa","1961","17105967","9485963","0","0",,,,,,
"Sub-Saharan Africa","1961","56319819","30579763","11.37","11.21",,,,,,
"Oceania","1961","3350074","1749663","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1961","791108","441252","0","0",,,,,,
"Australia and New Zealand","1961","2558966","1308411","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1961","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1961","0","0","NaN","NaN",,,,,,
"World","1961","708295100","385681213","0.9","0.9",,,,,,
"Least developed countries","1962","64220011","35003660","10.15","10.04",,,,,,
"Landlocked developing countries","1962","34103785","18605758","4.62","4.57",,,,,,
"Small island developing States","1962","6711532","3659496","0.89","0.95",,,,,,
"Europe and Northern America","1962","150936296","77579463","0","0",,,,,,
"Northern America","1962","41515500","21869770","0","0",,,,,,
"Europe","1962","109420796","55709693","0","0",,,,,,
"Latin America and the Caribbean","1962","59947733","32559768","0","0",,,,,,
"Central and Southern Asia","1962","157556834","86804737","0","0",,,,,,
"Central Asia","1962","5881672","3357581","0","0",,,,,,
"Southern Asia","1962","151675162","83447156","0","0",,,,,,
"Eastern and South-Eastern Asia","1962","264714297","144858312","0","0",,,,,,
"Eastern Asia","1962","207569071","112945327","0","0",,,,,,
"South-Eastern Asia","1962","57145226","31912985","0","0",,,,,,
"Northern Africa and Western Asia","1962","34643090","19057432","0","0",,,,,,
"Western Asia","1962","16995975","9314821","0","0",,,,,,
"Northern Africa","1962","17647116","9742611","0","0",,,,,,
"Sub-Saharan Africa","1962","57765825","31460955","11.3","11.18",,,,,,
"Oceania","1962","3414688","1788094","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1962","816394","456162","0","0",,,,,,
"Australia and New Zealand","1962","2598294","1331932","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1962","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1962","0","0","NaN","NaN",,,,,,
"World","1962","728978761","394108759","0.9","0.9",,,,,,
"Least developed countries","1963","66080354","36047250","32.38","32.72",,,,,,
"Landlocked developing countries","1963","35236652","19193680","6.89","6.83",,,,,,
"Small island developing States","1963","6908396","3765800","0.9","0.96",,,,,,
"Europe and Northern America","1963","152624371","78456588","0","0",,,,,,
"Northern America","1963","42335012","22327582","0","0",,,,,,
"Europe","1963","110289359","56129006","0","0",,,,,,
"Latin America and the Caribbean","1963","61906709","33538303","0","0",,,,,,
"Central and Southern Asia","1963","163544404","89384853","15.86","16.17",,,,,,
"Central Asia","1963","6252623","3533769","0","0",,,,,,
"Southern Asia","1963","157291782","85851084","16.49","16.84",,,,,,
"Eastern and South-Eastern Asia","1963","272244749","146406281","9.2","9.63",,,,,,
"Eastern Asia","1963","212598346","113220696","0","0",,,,,,
"South-Eastern Asia","1963","59646403","33185586","41.99","42.47",,,,,,
"Northern Africa and Western Asia","1963","35752012","19576420","0","0",,,,,,
"Western Asia","1963","17569110","9587042","0","0",,,,,,
"Northern Africa","1963","18182902","9989379","0","0",,,,,,
"Sub-Saharan Africa","1963","59365724","32380083","12.62","12.51",,,,,,
"Oceania","1963","3482584","1829710","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1963","842267","471575","0","0",,,,,,
"Australia and New Zealand","1963","2640317","1358135","0","0",,,,,,
"North America, Europe, Australia and New Zealand","1963","0","0","NaN","NaN",,,,,,
"South Eastern Asia and Oceania (excl. Australia and New Zealand)","1963","0","0","NaN","NaN",,,,,,
"World","1963","748920551","401572238","7.8","8.1",,,,,,
"Least developed countries","1964","68117103","37143067","32.56","32.87",,,,,,
"Landlocked developing countries","1964","36422819","19834729","6.86","6.75",,,,,,
"Small island developing States","1964","7107017","3871593","2.72","2.78",,,,,,
