"Region","Year","Under.five.population","Infant.population","Population.coverage..under.5.","Population.coverage..age.0.","U5MR.median","IMR.median","CMR.median","Under.five.deaths.median","Infant.deaths.median","Child.deaths.median"
"Adhoc",1988,3234950,1744689,100,100,23.4205950856292,13.4585134491198,10.0979855103088,15501,9453,6048
"World",1988,1077941015,560545836,96.8,96.7,14.533939235038,9.6067028397433,4.97503003041571,3194695,2163851,1030844
"Adhoc",1989,3309686,1784414,100,100,21.7253411817641,12.4748414748381,9.36735598791347,14695,8955,5740
"World",1989,1090177957,570775200,97.7,97.7,14.3110543884033,9.42244327458136,4.93511192599823,3187553,2160932,1026623
"Adhoc",1990,3414080,1842562,100,100,29.457143134182,17.854842470482,11.8132239157848,20743,13280,7463
"World",1990,1105530730,580653476,100,100,14.6685770910451,9.57929056720162,5.13850980232232,3315518,2235101,1080417
"Adhoc",1991,3396350,1840227,100,100,27.2905454718297,16.5393743815923,10.9319791867387,19111,12276,6835
"World",1991,1123422934,590598080,100,100,14.6896898921391,9.54882550826362,5.19042686431626,3374095,2266090,1108005
"Adhoc",1992,3524874,1922942,100,100,24.0407521136178,14.4685897371363,9.71269132246974,17458,11210,6248
"World",1992,1144400808,600504691,100,100,14.101734023897,9.0930388056743,5.05465741423982,3294856,2193504,1101352
"Adhoc",1993,3996397,2196679,100,100,15.9175139809524,9.12203681079455,6.85803643093055,12996,8045,4951
"World",1993,1166306415,610356482,100,100,13.7599251312267,8.81707959961592,4.98681467353576,3272065,2161428,1110637
"Adhoc",1994,4482136,2483213,100,100,14.7426853853504,8.44313993376616,6.35318629247696,13504,8414,5090
"World",1994,1186596625,620019063,100,100,13.5915864320382,8.58147557807626,5.05347714466314,3283621,2136624,1146997
"Adhoc",1995,4757727,2654743,100,100,13.6978369229732,7.83435884140039,5.90977739838466,13325,8343,4982
"World",1995,1205230080,628528373,100,100,12.681930641579,8.07136864477826,4.64807835065858,3110045,2036530,1073515
"Adhoc",1996,4981301,2792771,100,100,12.7535185476815,7.28687842793224,5.50676726332805,12987,8159,4828
"World",1996,1220341478,633003390,100,100,12.5163008956606,7.93876298701883,4.61416870033593,3102396,2017171,1085225
"Adhoc",1997,5215501,2932673,100,100,11.9251466197982,6.80670189975968,5.15352321630532,12711,8000,4711
"World",1997,1229744178,631998491,100,100,12.1864084541105,7.7158959177189,4.50527476757895,3035455,1957211,1078244
"Adhoc",1998,5464312,3078246,100,100,15.5001287041031,8.79733337300758,6.7622854102126,17345,10874,6471
