"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"World","1989","486842496","251869271","94.4","94.2","13.4788233764129","6.63809076448756","6.88644546194655","660244","335500","324744"
"Adhoc","1990","1167502","639321","100","100","60.9464404806863","23.2973206535308","38.5471655021437","7166","3014","4152"
"World","1990","490454006","252096205","100","100","14.0948013199766","6.92208628842855","7.22271126214114","695784","350218","345566"
"Adhoc","1991","1184731","647993","100","100","57.5391583192909","21.8273123786047","36.5087334706984","6852","2860","3992"
"World","1991","493761232","251608248","100","100","14.1512499198712","6.93769357859257","7.26395141033333","703411","350331","353080"
"Adhoc","1992","1282173","700401","100","100","53.387085786922","20.098641645601","33.971219508486","6865","2844","4021"
"World","1992","497068650","251127038","100","100","14.2001394826425","6.92187531947775","7.32899454965468","710688","348861","361827"
"Adhoc","1993","1436104","783370","100","100","45.2317721916182","16.7659925670133","28.9511748062121","6484","2649","3835"
"World","1993","499264728","250786489","100","100","14.3205716773908","6.93415203800535","7.43799583335187","720024","349008","371016"
"Adhoc","1994","1551583","844745","100","100","42.2493121918034","15.6039497901659","27.0677258365246","6536","2657","3879"
"World","1994","501395262","251724925","100","100","15.4133833812389","7.34715831753833","8.12592753981244","778672","371256","407416"
"Adhoc","1995","1617809","879247","100","100","38.8959737818861","14.3293977362036","24.9237179127189","6266","2538","3728"
"World","1995","504529523","254617442","100","100","14.1911571336576","6.71193903420195","7.52975737187805","720724","342946","377778"
"Adhoc","1996","1670382","906386","100","100","35.6810752602804","13.1686674492242","22.8128222812563","5929","2403","3526"
"World","1996","508325671","258862583","100","100","14.1761121650499","6.62015258622072","7.60631454171415","724828","343880","380948"
"Adhoc","1997","1719497","931332","100","100","32.7371296469614","12.16077624065","20.8296582190831","5597","2279","3318"
"World","1997","513550613","264448905","100","100","14.0477403228718","6.45598094760416","7.64109010742012","724703","342561","382142"
"Adhoc","1998","1769329","957023","100","100","29.6779477608162","11.1183501615278","18.7682697947929","5218","2140","3078"
"World","1998","519249165","270217834","100","100","14.0916849375117","6.38635814906251","7.75485205104009","733991","346247","387744"
"Adhoc","1999","1820737","984664","100","100","25.738034054308","9.74245162124905","16.1529517843584","4651","1928","2723"
"World","1999","525406832","275247416","100","100","13.6786769303515","6.11581582272734","7.60939878914019","719872","337705","382167"
"Adhoc","2000","1830039","990838","100","100","22.6666228580715","8.76207988866532","14.0274526299847","4115","1744","2371"
"World","2000","533185784","280112490","100","100","13.3820972290325","5.9379636784467","7.48860058888505","714108","333650","380458"
"Adhoc","2001","1836564","998178","100","100","20.1304998427174","7.82856002394971","12.3990061829079","3661","1569","2092"
"World","2001","542305092","285046127","100","100","13.1254189386717","5.78977977554653","7.37835823239583","712065","331029","381035"
"Adhoc","2002","1933223","1057609","100","100","17.6965921833798","6.98660907778645","10.7853360322231","3382","1483","1899"
"World","2002","552311486","289704067","100","100","12.7910168248307","5.61741151285644","7.21413004916776","706663","326394","380268"
"Adhoc","2003","2058327","1134738","100","100","16.1540223770252","6.46073707742783","9.75631830702288","3282","1471","1811"
