"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Latin America and the Caribbean","1954","17101775","8927010","0","0",,,,,,
"Central and Southern Asia","1954","48306886","25646832","0","0",,,,,,
"Central Asia","1954","1972774","1090735","0","0",,,,,,
"Southern Asia","1954","46334113","24556097","0","0",,,,,,
"Eastern and South-Eastern Asia","1954","78805966","40870908","0","0",,,,,,
"Eastern Asia","1954","60802200","31327267","0","0",,,,,,
"South-Eastern Asia","1954","18003766","9543641","0","0",,,,,,
"Northern Africa and Western Asia","1954","10189714","5342168","0","0",,,,,,
"Western Asia","1954","5109352","2714179","0","0",,,,,,
"Northern Africa","1954","5080362","2627989","0","0",,,,,,
"Sub-Saharan Africa","1954","18123365","9637483","7.36","7.44",,,,,,
"Oceania","1954","958439","485395","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1954","241712","125040","0","0",,,,,,
"Australia and New Zealand","1954","716727","360356","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1954","61199623","31273589","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1954","18245478","9668680","0","0",,,,,,
"World","1954","233969039","121823028","0.6","0.6",,,,,,
"Least developed countries","1955","20410655","10845480","6.68","6.76",,,,,,
"Landlocked developing countries","1955","11097072","5956071","0","0",,,,,,
"Small island developing States","1955","2094628","1118171","0","0",,,,,,
"Europe and Northern America","1955","60365074","31262032","0","0",,,,,,
"Northern America","1955","12216305","6160874","0","0",,,,,,
"Europe","1955","48148770","25101158","0","0",,,,,,
"Latin America and the Caribbean","1955","17377979","9100599","0","0",,,,,,
"Central and Southern Asia","1955","49046468","25961467","0","0",,,,,,
"Central Asia","1955","1993576","1106073","0","0",,,,,,
"Southern Asia","1955","47052892","24855394","0","0",,,,,,
"Eastern and South-Eastern Asia","1955","79595584","40857378","0","0",,,,,,
"Eastern Asia","1955","61258259","31189805","0","0",,,,,,
"South-Eastern Asia","1955","18337326","9667573","0","0",,,,,,
"Northern Africa and Western Asia","1955","10312410","5380640","0","0",,,,,,
"Western Asia","1955","5195869","2742068","0","0",,,,,,
"Northern Africa","1955","5116541","2638572","0","0",,,,,,
"Sub-Saharan Africa","1955","18461835","9815997","7.39","7.47",,,,,,
"Oceania","1955","969717","499467","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1955","243545","125637","0","0",,,,,,
"Australia and New Zealand","1955","726173","373831","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1955","61091247","31635862","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1955","18580870","9793210","0","0",,,,,,
"World","1955","236129066","122877578","0.6","0.6",,,,,,
"Least developed countries","1956","20773461","11045741","6.71","6.79",,,,,,
"Landlocked developing countries","1956","11255438","6004475","0","0",,,,,,
"Small island developing States","1956","2133580","1136621","0","0",,,,,,
"Europe and Northern America","1956","60258766","31251036","0","0",,,,,,
"Northern America","1956","12333289","6302620","0","0",,,,,,
"Europe","1956","47925477","24948416","0","0",,,,,,
"Latin America and the Caribbean","1956","17682579","9303921","0","0",,,,,,
"Central and Southern Asia","1956","49725810","26190087","0","0",,,,,,
"Central Asia","1956","2002141","1080614","0","0",,,,,,
"Southern Asia","1956","47723669","25109474","0","0",,,,,,
"Eastern and South-Eastern Asia","1956","80519264","41047493","0","0",,,,,,
"Eastern Asia","1956","61880456","31274713","0","0",,,,,,
"South-Eastern Asia","1956","18638808","9772780","0","0",,,,,,
"Northern Africa and Western Asia","1956","10423186","5405215","0","0",,,,,,
"Western Asia","1956","5274485","2754427","0","0",,,,,,
"Northern Africa","1956","5148701","2650788","0","0",,,,,,
"Sub-Saharan Africa","1956","18809377","10001187","7.42","7.5",,,,,,
"Oceania","1956","988145","515596","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1956","245269","126396","0","0",,,,,,
"Australia and New Zealand","1956","742876","389201","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1956","61001642","31640236","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1956","18884077","9899176","0","0",,,,,,
"World","1956","238407126","123714534","0.6","0.6",,,,,,
"Least developed countries","1957","21152538","11252479","6.82","6.89",,,,,,
"Landlocked developing countries","1957","11407347","6008483","0","0",,,,,,
"Small island developing States","1957","2171856","1153019","0.77","0.76",,,,,,
"Europe and Northern America","1957","60057070","30755767","0","0",,,,,,
"Northern America","1957","12573875","6539422","0","0",,,,,,
"Europe","1957","47483195","24216346","0","0",,,,,,
"Latin America and the Caribbean","1957","18020579","9538452","0","0",,,,,,
"Central and Southern Asia","1957","50341130","26329154","0","0",,,,,,
"Central Asia","1957","2003553","1016109","0","0",,,,,,
"Southern Asia","1957","48337578","25313045","0","0",,,,,,
"Eastern and South-Eastern Asia","1957","81343339","41326838","0","0",,,,,,
"Eastern Asia","1957","62432975","31466807","0","0",,,,,,
"South-Eastern Asia","1957","18910364","9860031","0","0",,,,,,
