"Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
2014,1217869478,605481056,100,100,13.990597195126,5.92444678347648,8.11422269217851,1717419,719560,997860
2015,1213644023,607253280,100,100,13.897682010495,5.87580025165652,8.06929532634765,1698316,715723,982594
2016,1212127247,610157323,100,100,13.9253487885032,5.84838823066861,8.12447564558045,1697908,715780,982128
2017,1213873934,613328489,100,100,13.9175875061253,5.82438050453424,8.1406210762826,1698297,716538,981759
2018,1217357593,616826849,100,100,13.5603434946285,5.64840630621318,7.95688088458161,1658279,698791,959488
2019,1222144282,620742261,100,100,13.5555801610024,5.60907316408675,7.99133095693146,1663373,698316,965057
2020,1227745229,624322207,100,100,13.1432168702872,5.43847816243861,7.74686989057568,1619488,680924,938563
2021,1234905766,628439278,100,100,13.3247764650684,5.48823140774094,7.87979117473916,1651249,691702,959546
2022,1243842535,634201746,100,100,13.8365828857623,5.63427367980265,8.24878511884504,1726597,716672,1009924
2023,1254342087,641279188,100,100,13.3254707334882,5.40390509906024,7.96460560728114,1675425,694960,980465
2024,1265755718,649023947,100,100,13.2114116201337,5.31121699717476,7.94237831767784,1674826,691257,983569
