"Region","Year","Under-five population","Infant population","Population coverage (under 5)","Population coverage (age 0)","U5MR median","IMR median","CMR median","Under-five deaths median","Infant deaths median","Child deaths median"
"Least developed countries","1950","18914256","10102782","0","0",,,,,,
"Landlocked developing countries","1950","10155707","5304348","0","0",,,,,,
"Small island developing States","1950","1902355","1016009","0","0",,,,,,
"Europe and Northern America","1950","59918385","29401990","0","0",,,,,,
"Northern America","1950","12334841","5995141","0","0",,,,,,
"Europe","1950","47583545","23406849","0","0",,,,,,
"Latin America and the Caribbean","1950","15709900","8306456","0","0",,,,,,
"Central and Southern Asia","1950","47870884","25063752","0","0",,,,,,
"Central Asia","1950","1805050","867187","0","0",,,,,,
"Southern Asia","1950","46065835","24196565","0","0",,,,,,
"Eastern and South-Eastern Asia","1950","79073466","42265350","0","0",,,,,,
"Eastern Asia","1950","62705805","33492253","0","0",,,,,,
"South-Eastern Asia","1950","16367662","8773097","0","0",,,,,,
"Northern Africa and Western Asia","1950","9870757","5261618","0","0",,,,,,
"Western Asia","1950","4854501","2590176","0","0",,,,,,
"Northern Africa","1950","5016256","2671442","0","0",,,,,,
"Sub-Saharan Africa","1950","16682165","8894771","0","0",,,,,,
"Oceania","1950","1006469","484487","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1950","257417","134697","0","0",,,,,,
"Australia and New Zealand","1950","749052","349790","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1950","60667437","29751780","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1950","16625079","8907794","0","0",,,,,,
"World","1950","230132026","119678422","0","0",,,,,,
"Least developed countries","1951","19276076","10288505","0","0",,,,,,
"Landlocked developing countries","1951","10365511","5415937","0","0",,,,,,
"Small island developing States","1951","1947504","1041438","0","0",,,,,,
"Europe and Northern America","1951","60100731","29415696","0","0",,,,,,
"Northern America","1951","12244314","5992679","0","0",,,,,,
"Europe","1951","47856417","23423017","0","0",,,,,,
"Latin America and the Caribbean","1951","16016123","8466399","0","0",,,,,,
"Central and Southern Asia","1951","48648194","25459876","0","0",,,,,,
"Central Asia","1951","1865729","901869","0","0",,,,,,
"Southern Asia","1951","46782465","24558007","0","0",,,,,,
"Eastern and South-Eastern Asia","1951","80535852","43028461","0","0",,,,,,
"Eastern Asia","1951","63801093","34077974","0","0",,,,,,
"South-Eastern Asia","1951","16734760","8950487","0","0",,,,,,
"Northern Africa and Western Asia","1951","10070301","5346080","0","0",,,,,,
"Western Asia","1951","4982698","2654160","0","0",,,,,,
"Northern Africa","1951","5087603","2691920","0","0",,,,,,
"Sub-Saharan Africa","1951","16990881","9054914","0","0",,,,,,
"Oceania","1951","1011493","485761","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1951","259510","135525","0","0",,,,,,
"Australia and New Zealand","1951","751984","350236","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1951","60852714","29765932","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1951","16994269","9086012","0","0",,,,,,
"World","1951","233373574","121257185","0","0",,,,,,
"Least developed countries","1952","19648308","10479570","0","0",,,,,,
"Landlocked developing countries","1952","10560613","5562249","0","0",,,,,,
"Small island developing States","1952","1993422","1067914","0","0",,,,,,
"Europe and Northern America","1952","60219862","29800943","0","0",,,,,,
"Northern America","1952","12197398","6021764","0","0",,,,,,
"Europe","1952","48022464","23779179","0","0",,,,,,
"Latin America and the Caribbean","1952","16331044","8645174","0","0",,,,,,
"Central and Southern Asia","1952","49454176","25921514","0","0",,,,,,
"Central Asia","1952","1913543","965162","0","0",,,,,,
"Southern Asia","1952","47540633","24956352","0","0",,,,,,
"Eastern and South-Eastern Asia","1952","82066242","43765177","0","0",,,,,,
"Eastern Asia","1952","64967254","34642151","0","0",,,,,,
"South-Eastern Asia","1952","17098988","9123027","0","0",,,,,,
"Northern Africa and Western Asia","1952","10257590","5427046","0","0",,,,,,
"Western Asia","1952","5104180","2720360","0","0",,,,,,
"Northern Africa","1952","5153410","2706686","0","0",,,,,,
"Sub-Saharan Africa","1952","17307261","9222477","0","0",,,,,,
"Oceania","1952","1016205","491703","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1952","261442","136290","0","0",,,,,,
"Australia and New Zealand","1952","754763","355413","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1952","60974625","30156355","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1952","17360430","9259317","0","0",,,,,,
"World","1952","236652378","123274033","0","0",,,,,,
"Least developed countries","1953","20016848","10670067","0","0",,,,,,
"Landlocked developing countries","1953","10738009","5717556","0","0",,,,,,
"Small island developing States","1953","2039649","1094612","0","0",,,,,,
"Europe and Northern America","1953","60323650","30451903","0","0",,,,,,
"Northern America","1953","12178905","6073207","0","0",,,,,,
"Europe","1953","48144746","24378696","0","0",,,,,,
"Latin America and the Caribbean","1953","16655429","8842916","0","0",,,,,,
"Central and Southern Asia","1953","50218762","26384928","0","0",,,,,,
"Central Asia","1953","1948506","1036251","0","0",,,,,,
"Southern Asia","1953","48270257","25348677","0","0",,,,,,
"Eastern and South-Eastern Asia","1953","83389315","44175379","0","0",,,,,,
"Eastern Asia","1953","65939847","34894028","0","0",,,,,,
"South-Eastern Asia","1953","17449468","9281351","0","0",,,,,,
"Northern Africa and Western Asia","1953","10428799","5499570","0","0",,,,,,
"Western Asia","1953","5218543","2784288","0","0",,,,,,
"Northern Africa","1953","5210256","2715282","0","0",,,,,,
"Sub-Saharan Africa","1953","17621625","9392857","0","0",,,,,,
"Oceania","1953","1019458","500989","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1953","263480","137135","0","0",,,,,,
"Australia and New Zealand","1953","755978","363854","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1953","61079628","30815757","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1953","17712948","9418486","0","0",,,,,,
"World","1953","239657037","125248540","0","0",,,,,,
"Least developed countries","1954","20379073","10859933","6.01","6.13",,,,,,
"Landlocked developing countries","1954","10901238","5847481","0","0",,,,,,
"Small island developing States","1954","2084436","1119560","0","0",,,,,,
"Europe and Northern America","1954","60372006","31095393","0","0",,,,,,
"Northern America","1954","12160657","6115988","0","0",,,,,,
"Europe","1954","48211349","24979405","0","0",,,,,,
"Latin America and the Caribbean","1954","17001763","9064790","0","0",,,,,,
"Central and Southern Asia","1954","50937590","26791758","0","0",,,,,,
"Central Asia","1954","1974687","1086257","0","0",,,,,,
"Southern Asia","1954","48962904","25705501","0","0",,,,,,
"Eastern and South-Eastern Asia","1954","84498140","44280807","0","0",,,,,,
"Eastern Asia","1954","66718779","34860509","0","0",,,,,,
"South-Eastern Asia","1954","17779362","9420298","0","0",,,,,,
"Northern Africa and Western Asia","1954","10574263","5555875","0","0",,,,,,
"Western Asia","1954","5322725","2837870","0","0",,,,,,
"Northern Africa","1954","5251538","2718005","0","0",,,,,,
"Sub-Saharan Africa","1954","17936615","9566502","6.83","6.96",,,,,,
"Oceania","1954","1024978","513279","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1954","265467","137990","0","0",,,,,,
"Australia and New Zealand","1954","759511","375289","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1954","61131517","31470682","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1954","18044829","9558288","0","0",,,,,,
"World","1954","242345354","126868402","0.5","0.5",,,,,,
"Least developed countries","1955","20746918","11057536","6.07","6.19",,,,,,
"Landlocked developing countries","1955","11055702","5937297","0","0",,,,,,
"Small island developing States","1955","2128061","1142832","0","0",,,,,,
"Europe and Northern America","1955","60312928","31402580","0","0",,,,,,
"Northern America","1955","12138316","6147349","0","0",,,,,,
"Europe","1955","48174612","25255231","0","0",,,,,,
"Latin America and the Caribbean","1955","17374058","9303743","0","0",,,,,,
"Central and Southern Asia","1955","51629862","27133451","0","0",,,,,,
"Central Asia","1955","1989521","1098545","0","0",,,,,,
"Southern Asia","1955","49640341","26034906","0","0",,,,,,
"Eastern and South-Eastern Asia","1955","85544024","44418691","0","0",,,,,,
"Eastern Asia","1955","67455618","34876507","0","0",,,,,,
"South-Eastern Asia","1955","18088406","9542184","0","0",,,,,,
"Northern Africa and Western Asia","1955","10695883","5596220","0","0",,,,,,
"Western Asia","1955","5416580","2875627","0","0",,,,,,
"Northern Africa","1955","5279303","2720593","0","0",,,,,,
"Sub-Saharan Africa","1955","18262207","9749335","6.89","7.02",,,,,,
"Oceania","1955","1038556","529080","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1955","267462","138932","0","0",,,,,,
"Australia and New Zealand","1955","771094","390149","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1955","61084022","31792728","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1955","18355868","9681116","0","0",,,,,,
"World","1955","244857517","128133098","0.5","0.5",,,,,,
"Least developed countries","1956","21126219","11263059","6.12","6.24",,,,,,
"Landlocked developing countries","1956","11208783","5988039","0","0",,,,,,
"Small island developing States","1956","2171341","1164631","0","0",,,,,,
"Europe and Northern America","1956","60198624","31345116","0","0",,,,,,
"Northern America","1956","12188947","6230609","0","0",,,,,,
"Europe","1956","48009677","25114507","0","0",,,,,,
"Latin America and the Caribbean","1956","17773130","9550033","0","0",,,,,,
"Central and Southern Asia","1956","52304640","27412270","0","0",,,,,,
"Central Asia","1956","1996788","1073544","0","0",,,,,,
"Southern Asia","1956","50307852","26338726","0","0",,,,,,
"Eastern and South-Eastern Asia","1956","86655124","44673571","0","0",,,,,,
"Eastern Asia","1956","68281985","35029994","0","0",,,,,,
"South-Eastern Asia","1956","18373139","9643577","0","0",,,,,,
"Northern Africa and Western Asia","1956","10802658","5621448","0","0",,,,,,
"Western Asia","1956","5501696","2894986","0","0",,,,,,
"Northern Africa","1956","5300962","2726462","0","0",,,,,,
"Sub-Saharan Africa","1956","18604504","9943072","6.94","7.07",,,,,,
"Oceania","1956","1059998","547207","0","0",,,,,,
"Oceania (exc. Australia and New Zealand)","1956","269573","140075","0","0",,,,,,
"Australia and New Zealand","1956","790425","407132","0","0",,,,,,
"Europe, Northern America, Australia and New Zealand","1956","60989049","31752247","0","0",,,,,,
"South-Eastern Asia and Oceania (exc. Australia and New Zealand)","1956","18642712","9783652","0","0",,,,,,
"World","1956","247398676","129092714","0.5","0.5",,,,,,
"Least developed countries","1957","21515653","11473463","6.25","6.36",,,,,,
"Landlocked developing countries","1957","11359534","6002799","0","0",,,,,,
"Small island developing States","1957","2213433","1184083","0.75","0.75",,,,,,
"Europe and Northern America","1957","59981889","30831457","0","0",,,,,,
"Northern America","1957","12380292","6422138","0","0",,,,,,
"Europe","1957","47601598","24409319","0","0",,,,,,
"Latin America and the Caribbean","1957","18200170","9804387","0","0",,,,,,
"Central and Southern Asia","1957","52931301","27618693","0","0",,,,,,
"Central Asia","1957","2000395","1016478","0","0",,,,,,
"Southern Asia","1957","50930907","26602215","0","0",,,,,,
"Eastern and South-Eastern Asia","1957","87602622","44846694","0","0",,,,,,
"Eastern Asia","1957","68970978","35122345","0","0",,,,,,
"South-Eastern Asia","1957","18631644","9724349","0","0",,,,,,
"Northern Africa and Western Asia","1957","10900669","5639368","0","0",,,,,,
"Western Asia","1957","5582054","2903667","0","0",,,,,,
"Northern Africa","1957","5318615","2735701","0","0",,,,,,
